topic_id,topic_size,top_words,suggestion_1,suggestion_2,suggestion_3,central_example_1,central_example_2,central_example_3,central_example_4,central_example_5,boundary_example_1,boundary_example_2,boundary_example_3,boundary_example_4,boundary_example_5,relevance,selected_name_option,manual_name,notes,annotator_id,annotated_at
10,186,"['mamadeira', 'seringa', 'alimentar', 'dar', 'sugar', 'bico', 'chupeta', 'ponta', 'leite', 'recém']",Alimentação do recém-nascido com mamadeira,Uso de mamadeira para recém-nascidos,Oferecer leite ao recém-nascido com mamadeira,Por que não dar na chiquinha ou em uma mamadeira menor para o bebê?,Por que não dão logo uma mamadeira ao bebê?,Por que não foi usada uma mamadeira para que o bebê sugasse à vontade?,Por que não usam uma mamadeira para alimentar o bebê?,Por que usar seringa para alimentar o bebê em vez de mamadeira?,"O órgão masculino serve para receber os óvulos produzidos pela fêmea, em vez de depositá-los?",O uso de chupeta na infância está associado a distúrbios alimentares ou ao vício em drogas?,"Ao preparar a fórmula, não deveria ter colocado metade da água e depois completado com o restante para não aumentar o volume?","Existem estudos consistentes, com amostra representativa e metodologia robusta, que sustentem essa afirmação sobre chupeta na infância?","Por que alimentá-lo dessa forma, deixando-o sugar tanto?",,,,,,
11,147,"['isso', 'nesse', 'caso', 'luvas', 'você', 'procedimento', 'essa', 'foi', 'feito', 'certo']",Cuidados e procedimentos na gestação,Orientações e procedimentos durante a gravidez,Procedimentos e saúde materna na gestação,O que devo fazer nessa situação?,Como você fez isso?,Como foi essa situação?,O que fazer nessa situação?,"Você já foi assim, sabia?",Como funciona a explicação de que o cromossomo X ou Y do pai vem da mãe dele?,É აუცილary?,O que significa DCT aumentada?,Como posso obter Lugol?,"Nesse caso, existe risco de ruptura uterina durante o parto normal?",,,,,,
12,166,"['ultrassom', 'natal', 'ultrassonografia', 'saco', 'pré', 'transvaginal', 'gestacional', 'exame', 'semanas', 'mostrou']",Ultrassom no início da gestação,Ultrassonografia no início da gestação,Exame de ultrassom inicial gestacional,Já foi feito ultrassom nessa fase da gravidez?,Haverá outro ultrassom mais à frente na gravidez?,Com quantas semanas de gravidez já posso fazer um ultrassom?,"Com 3 semanas e 6 dias de gestação, ainda é muito cedo para fazer uma ultrassonografia?","Nesta gravidez, o médico consegue saber pelas ultrassonografias se já saiu tudo?",Em quanto tempo é possível ver os resultados desses exercícios?,"É possível que eu tenha uma infecção, já que meu exame preventivo mostrou uma lesão grande há algum tempo?",Você fez ultrassom?,Você já fez o ultrassom em outro lugar?,O ultrassom transvaginal pode mostrar se há cisto ou ovário policístico?,,,,,,
13,155,"['cesárea', 'cicatriz', 'seroma', 'após', 'líquido', 'pontos', 'normal', 'saindo', 'cirurgia', 'cesariana']",Cicatrização e secreção após cesárea,Saída de líquido e cicatriz após cesárea,Seroma e dor na cicatriz da cesárea,"É normal, 20 dias após a cesárea, a região ficar muito endurecida, dolorida e inchada, mesmo com quase nada de drenagem?","É normal ainda não ter tirado os pontos da cesárea após 18 dias, porque a região estava inflamada?","É normal, após retirar os pontos da cesárea, continuar vazando líquido por 6 dias, sem dor, cheiro ou febre?",É normal sentir dor e dificuldade para andar 14 dias após uma cesárea?,"É normal, 20 dias após a cesárea, ainda estar saindo secreção e os pontos ainda não terem sido retirados por causa disso?",O inchaço nos pés aconteceu desse jeito mesmo?,Há risco de o seroma encapsular ou de ser necessário fazer punção?,Como fazer a massagem para aliviar a disquesia do bebê?,"Esse pedaço de linha branca na cicatriz pode ser um ponto saindo, uma parte da sutura que ainda não caiu ou um pelo nascendo e inflamando a cicatriz?",É normal a secreção do seroma ficar amarelada e com aspecto de gordura?,,,,,,
14,149,"['nidação', 'sangramento', 'menstruação', 'esse', 'sido', 'pode', 'dias', 'ser', 'leve', 'rosado']",Sangramento de nidação e menstruação,Nidação versus menstruação,Sangramento na nidação na gravidez,Um sangramento de dois dias pode ter sido sangramento de nidação em vez de menstruação?,Um sangramento leve que durou três dias pode ser nidação?,A nidação pode coincidir com o dia da menstruação?,A nidação pode acontecer muitos dias depois da data em que a menstruação deveria vir?,Um pequeno sangramento na calcinha pode ser nidação?,A cólica do bebê pode ter sido causada pela mistura de Neocate com Pregomin na mamadeira?,O espermatozoide dura cerca de três dias?,"Uma mulher de 54 anos, com miomas e coágulos de sangue na menstruação, pode engravidar?","O que pode ser um sangramento em cor de ""borra de café"" que aconteceu 16 dias antes da menstruação em uma mulher tentante há 1 ano?","Depois de o tampão sair pela manhã, é normal sentir apenas uma leve cólica, sem sangramento e sem rompimento da bolsa?",,,,,,
15,150,"['gêmeos', 'trigêmeos', 'bebês', 'são', 'gemelar', 'gêmeas', 'gestação', 'idênticos', 'arthur', 'sofia']",Gestação de gêmeos e trigêmeos,Gravidez gemelar e trigemelar,Gestação múltipla de gêmeos,"Há dois bebês na gestação, ou seja, são gêmeos?",Uma gravidez de dois bebês significa que são gêmeos?,A gestação é de apenas um bebê ou de gêmeos?,E se a gravidez for de gêmeos?,Será que a gravidez é de gêmeos?,Uma gestante que depende da moto como único meio de transporte e mora longe do trabalho pode andar de moto?,Gêmeos que nascem com diferença de 7 horas são univitelinos?,Arthur e Sophia são gêmeos?,Arthur e Sofia são gêmeos?,Arthur e Sofia eram gêmeos?,,,,,,
16,135,"['vacina', 'bronquiolite', 'contra', 'abrysvo', 'beyfortus', 'tomar', 'aplicada', 'vacinas', 'reação', 'covid']",Vacina contra bronquiolite na gestação e no bebê,Vacina RSV na gravidez e vacinação infantil,Abrysvo Beyfortus intervalos e indicações,"Se a mãe tomar a vacina durante a gestação, o bebê também deve tomar a vacina contra bronquiolite quando nascer?","Se a gestante tomar a vacina contra bronquiolite, qual deve ser o intervalo até o bebê ser vacinado?",É melhor tomar a vacina contra bronquiolite durante a gestação ou após o nascimento do bebê?,"Após o nascimento, a vacina já pode ser aplicada no bebê?","Depois que a bebê melhorar da bronquiolite, ela pode receber essa vacina?",Qual é o tempo de proteção da Beyfortus contra o vírus VSR?,Uma criança com síndrome de Down e deficiência de G6PD pode tomar dipirona?,Existem clínicas particulares de vacinação no Canadá?,"No Ontário, Canadá, a vacina contra bronquiolite só está sendo oferecida para bebês que nascem na temporada de bronquiolite?",A bebê ficou com a mãe após o nascimento ou foi levada para outro local?,,,,,,
17,167,"['amamentar', 'amamentação', 'peito', 'bico', 'seio', 'pega', 'silicone', 'correta', 'almofada', 'posição']",Amamentação com pega e posição,Pega do bebê e posição na amamentação,Dor no peito na amamentação,O uso de mamadeira pode prejudicar a amamentação?,O que fazer para o bebê pegar o peito durante a amamentação?,Como assim não pode amamentar dessa forma se essa é a técnica mais utilizada?,A amamentação costuma ser muito dolorosa?,Estou amamentando do jeito errado há três meses?,É possível amamentar o bebê com o carro em მოძრაობimento?,Essa seringa tem o bico duro?,"Na pega correta, o movimento deve ser de baixo para cima, e não o contrário?",Existem lasers para cicatrizar a aréola que cicatrizem na hora e realmente funcionem?,O que ele tem no peito?,,,,,,
18,134,"['diu', 'mirena', 'colocação', 'implanon', 'colocar', 'fio', 'machucar', 'pênis', 'lugar', 'inserção']",Colocação de DIU e implante,Inserção de DIU e implanon,Uso de DIU e implante contraceptivo,Qual é a vantagem de colocar o DIU?,Qual é a necessidade de colocar um DIU?,A colocação do DIU costuma ser um pouco desconfortável para a mulher?,Não é mais fácil usar camisinha em vez de colocar o DIU?,É necessário estar menstruada para colocar ou retirar o DIU?,Por que não colocar um na ponta da seringa?,É necessário colocar o bebê para arrotar?,O uso de uma cinta pode machucar ou piorar a ferida após a cesárea?,É preciso colocar alguma proteção na pontinha para não machucar o bebê?,Isso pode machucar o bebê?,,,,,,
19,185,"['cesárea', 'cesariana', 'indicações', 'parto', 'cesáreo', 'normal', 'quais', 'são', 'optar', 'as']",Indicações e escolha entre cesárea e parto normal,Indicações de cesárea e opção pelo parto normal,Quando fazer cesárea ou parto normal,Por que o parto acabou sendo cesáreo?,Quais são as reais indicações de cesárea?,É melhor o parto normal do que a cesárea?,Você pode comentar um pouco sobre o parto cesáreo?,O parto normal é realmente melhor do que a cesárea?,O corte da cesárea é realmente tão גדול?,"Vale mais a pena ter o filho fora do Brasil, considerando o valor de 19.800?","A RCP em gestantes é realizada depois que o bebê nasce ou ainda durante a gravidez, com o bebê na barriga?",O parto cesáreo impede a liberação desse hormônio?,Pessoas do Ceará nascem apenas por cesariana?,,,,,,
20,160,"['dentro', 'cordão', 'umbilical', 'útero', 'respira', 'barriga', 'amniótico', 'fica', 'bebê', 'líquido']",Rotina fetal no útero e cordão umbilical,Atividades do feto no útero e cordão umbilical,Como o feto vive no útero e cordão umbilical,Por que o bebê não fica de pé dentro do útero?,O bebê não se afoga dentro do útero durante a gestação?,O que o bebê fazia dentro da barriga durante a gestação?,Como o bebê fica dentro da barriga da mãe durante a gestação?,Como o bebê fica dentro da barriga na posição cefálica?,O que é esse cordão no pescoço dela?,Você colocou uma bola dentro da barriga?,"Esse cordão no pescoço era algo para aliviar a dor, como o que bebês usam?","Por que a água não entra no ouvido, no nariz e na boca do bebê que está dentro da bolsa amniótica?","Em gestantes que usam corticoide para amadurecer o pulmão do bebê, o surfactante é liberado mais cedo?",,,,,,
21,148,"['doença', 'rosto', 'tem', 'bochechinha', 'quantos', 'bebê', 'pezinho', 'aparência', 'verde', 'essa']",Doenças e exames do bebê,Problemas de saúde e exames infantis,Condições de saúde do recém-nascido,Por que esse bebê está assim?,O que é isso no bebê?,O bebê tem algum problema de saúde?,O que a pediatra da bebê orientou sobre isso?,O bebê é doente?,A dificuldade para ouvir pode estar relacionada à suspeita de síndrome genética deleção 1p36 da filha?,O nascimento de uma criança com doença congênita indica algum erro divino ou a inexistência de Deus?,Quantos anos a Izadora tem?,"O reteste da orelhinha, já agendado, pode ser feito em qualquer horário no Hospital Rio Solimões?",Quantos anos o Kaleb tem?,,,,,,
22,130,"['grávida', 'você', 'está', 'verdade', 'estava', 'vindo', 'esta', 'engravidou', 'grávidos', 'contou']",Confirmação de gravidez e sinais,Certeza sobre estar grávida,Suspeita e confirmação da gravidez,Você realmente está grávida?,Você está realmente grávida?,Será que você não está grávida?,Você já está grávida?,Você tem certeza de que está grávida?,Está vindo mais um bebê Martins?,"Quando o médico diz que o bebê é 90% menina, isso quer dizer que ainda existe 10% de chance de ser menino?",A criança tem culpa na situação da gravidez e do aborto?,Você está vomitando?,É normal sentir muito medo do parto normal na primeira gravidez?,,,,,,
23,129,"['quantos', 'meses', 'semanas', 'idade', 'última', 'gestacional', 'gestação', 'correspondem', 'contagem', 'data']",Idade gestacional em meses e semanas,Contagem da idade gestacional em semanas e meses,Correspondência entre meses e semanas de gestação,De quantos meses está a gravidez?,De quantos meses está a gestação?,De quantos meses de gravidez a gestante está?,Com quantos meses está a gravidez?,De quantas semanas está a gravidez?,Qual é a sua idade?,Quantos meses a Sofia tem?,Posso andar de moto com 22 semanas de gravidez?,Quantos meses a Sophia tem?,A partir de que idade gestacional a fisioterapia pélvica pode ser realizada?,,,,,,
24,158,"['embrião', 'feto', 'vida', 'considerado', 'vivo', 'humano', 'um', 'cauda', 'espermatozoide', 'humana']",Vida do embrião e do feto humano,Embrião e feto considerados seres vivos,Embrião e feto como vida humana,"Se o embrião está vivo, ele tem vida?",O embrião deixa de ser vida?,Um embrião é um bebê?,O embrião é um ser humano?,O embrião também era assim?,"Se o bebê for considerado irlandês, como é emitido o documento de nascimento?",É verdade que o bebê não é considerado irlandês se a mãe e o pai não forem irlandeses?,"Quando um adulto perde a atividade cerebral, os médicos chamam isso de morte cerebral?",O desejo de protagonismo no parto por parte das mulheres pode ser considerado narcisismo?,"Em uma fertilização in vitro (FIV), a contagem das semanas de gravidez começa 7 dias depois da transferência do embrião?",,,,,,
25,122,"['mei', 'auxílio', 'maternidade', 'direito', 'receber', 'pagar', 'salário', 'parcelas', 'quem', 'atrasadas']",Direitos do MEI ao salário maternidade,Quem é MEI tem direito ao salário-maternidade,Auxílio salário maternidade para MEI,Quem tem MEI tem direito ao auxílio-maternidade?,Pagar apenas o MEI garante direito ao auxílio-maternidade?,Quem é MEI também tem direito ao auxílio-maternidade?,Uma gestante com 32 semanas que abrir um MEI e contribuir duas vezes já terá direito ao auxílio-maternidade?,"Com 10 contribuições pagas ao MEI, mesmo sem completar 10 meses corridos, a gestante tem direito ao salário-maternidade?",Ainda há tempo para meu filho de 10 meses ficar superinteligente se eu comecei a dar iodo agora?,Há alguma tentante em 2025?,Alguém engravidou depois de a Olívia completar dois meses?,Por que tantas mulheres morreram durante o parto normal neste ano?,Existe alguma forma de fazer o quadril abrir durante o parto para evitar uma cesárea de última hora?,,,,,,
26,136,"['anos', 'aos', 'engravidar', '35', '44', 'mulher', '40', 'ainda', 'possível', 'endometriose']",Gravidez após os 35 anos,Possibilidade de engravidar após 35,Idade materna e chance de engravidar,Uma mulher de 36 anos ainda pode engravidar?,Aos 34 anos ainda é possível engravidar e levar a gestação adiante?,Uma mulher de 33 anos ainda pode engravidar?,"Com 42 anos, ainda consigo engravidar?","Com 50 anos, ainda é possível engravidar?",O que devo fazer diante do medo de tomar essa vitamina B12 injetável durante a gravidez?,"Com dois abortos seguidos, exames básicos de trombofilia normais e mais de 35 anos, seria prudente usar AAS?","Se mães com mais de 35 anos tiverem mais estresse e ansiedade na vida adulta, os filhos terão maior probabilidade de desenvolver ansiedade e estresse?",É humanamente impossível engravidar de gêmeos após endometriose grave?,Uma mulher de 43 anos com esclerose múltipla deve considerar engravidar?,,,,,,
27,148,"['parto', 'posição', 'durante', 'deitada', 'parir', 'médicos', 'trabalho', 'acontece', 'cabeça', 'mulheres']",Posições e dinâmica do parto,Mudança de posição no parto,Como acontece o parto durante o trabalho,"No parto, a mulher fica de cócoras em cima da cama?",Por que os médicos não oferecem essa opção na hora do parto?,O que acontece quando a mãe não entra em trabalho de parto?,Os médicos deveriam interferir no parto ou não?,Por que mudaram o método de parto que já dava certo?,Fazer apenas essa posição é suficiente ou é preciso fazer o exercício em outras posições também?,O que significa parir de costas?,O método Billings não seria melhor para a mulher para evitar essa invasão toda?,Por que os médicos não prescrevem iodo para gestantes?,É verdade que mulheres indígenas costumam parir de cócoras e que isso evita certas consequências comuns em mulheres do meio urbano?,,,,,,
28,130,"['olívia', 'nascer', 'vai', 'olivia', 'dia', 'fevereiro', 'janeiro', 'no', '29', '30']",Previsão de nascimento da Olívia,Quando a Olívia vai nascer,Data provável do parto da Olívia,A Olívia vai nascer no dia 30 ou 31 de janeiro?,A Olívia vai nascer no dia 30 de janeiro?,A Olívia vai nascer no dia 28 de janeiro?,A Olívia vai nascer no dia 27 de janeiro?,A Olívia vai nascer em 30 de janeiro?,A bebê Daya vai nascer na Coreia ou no Brasil?,"A Olívia vai nascer no aniversário da Jihyo do Twice, no início de fevereiro?",A bebê Daya vai nascer no Brasil?,Por que deixaram esse ser nascer?,Vai nascer um rato?,,,,,,
29,138,"['dormir', 'mamar', 'noite', 'peito', 'sono', 'acordar', 'rotina', 'bruços', 'pegar', 'dorme']",Rotina e sono do bebê ao mamar,Sono do bebê e amamentação,Rotina noturna do bebê no peito,O que posso fazer quando o bebê fica o tempo todo no peito e no colo?,O que posso fazer para meu bebê dormir a noite toda sem acordar na madrugada para mamar?,O que fazer quando o bebê dorme ou parece ter preguiça de mamar?,O que fazer quando o bebê começar a virar de bruços durante o sono?,O que fazer quando a bebê de 2 meses dorme no peito depois de cerca de 3 minutos e não mama direito?,A bebê Zöe chora?,A partir de quantos meses é possível սկսել a rotina de sono do bebê?,O fato de a pessoa querer ser mãe não explicaria por que ela não reclama do parto?,Quanto custa uma noite na maternidade São Luiz Star?,Quem disse que é melhor esperar a contração e deixar o bebê sair sozinho?,,,,,,
30,131,"['aborto', 'abortar', 'alguém', 'vida', 'pessoas', 'favor', 'coragem', 'matar', 'sobre', 'como']",Aborto como direito e vida,Aborto escolha e valor da vida,Aborto matar e direito de interromper,Como alguém pode ser a favor do aborto?,Como alguém ainda pode ser a favor do aborto?,Como pode haver pessoas a favor do aborto?,Como alguém pode achar que o aborto é um direito?,Como alguém tem coragem de abortar e dizer que não é vida?,Pessoas com tireoidite de Hashimoto podem engravidar?,O hipotireoidismo pode ter sido o motivo de os meus três filhos terem nascido prematuros?,A solução de Lugol deve ser a 5% na gravidez?,Como alguém pode chamar de parasita uma criança que ainda não sabe o que é o mundo?,Alguém pode me doar um carrinho de bebê?,,,,,,
31,127,"['sexo', 'menino', 'saber', 'menina', 'descobrir', 'sexagem', 'identificar', 'ultrassom', 'indica', 'do']",Descoberta do sexo fetal na gravidez,Identificação do sexo do bebê na gestação,Saber o sexo do bebê durante a gravidez,Ainda é possível saber o sexo do bebê com 3 meses de gravidez?,"Com cinco meses de gravidez, já é possível saber o sexo do bebê?","Para saber se o bebê é menina ou menino, é preciso fazer um ultrassom?",Já é possível saber se o bebê é menina ou menino?,Com 4 semanas de gravidez já é possível saber o sexo do bebê?,Como saber as taxas dos hospitais relacionadas ao parto?,Foi possível identificar o pico de ovulação com os testes?,"Depois de uma cesárea feita há 13 anos, ainda existe possibilidade de ruptura uterina?",Qual é o sexo dos meus irmãos?,Quem fez o cromossomo responsável por determinar o sexo do bebê?,,,,,,
32,116,"['creche', 'criança', 'meses', 'palavras', 'ano', 'colocar', 'fala', 'frases', 'falar', 'desenvolvimento']",Adaptação e desenvolvimento na creche,Colocar bebê na creche e desenvolver,Desenvolvimento infantil na creche,O que um bebê com 7 meses precisa conseguir fazer?,O que um bebê de 7 meses precisa conseguir fazer?,"É normal uma bebê de 6 meses ainda não responder, mas prestar atenção quando os adultos falam com ela?",Como foi esse período até os 11 meses de vida do bebê?,Você comentou esse comportamento da bebê com o pediatra?,Por que não colocar uma borracha na ponta da seringa para deixá-la menos dura?,"Como meu namorado fez vasectomia há três meses e ainda não fez espermograma, ainda há risco de gravidez?","O que fazer se minha filha não tem NISS, NIF nem utente em Portugal?",É muito perigoso engravidar após uma cesárea feita há 1 ano e 5 meses?,Por que vocês não voltaram para casa depois de colocar o miso?,,,,,,
33,143,"['menina', 'menino', 'será', 'tabela', 'bebê', 'ou', 'saber', 'chinesa', 'sexo', 'se']",Sexo do bebê e tabela chinesa,Saber se será menino ou menina,Menino ou menina na gravidez,O bebê pode ser menino ou menina?,Será que o bebê é menino ou menina?,Você sabe se o bebê é menina ou menino?,A bebê é menina ou menino?,O bebê será uma menina?,Como saber se o bebê está chorando muito e se está com febre?,"A música ""Eu e minha casa"" foi feita para descobrir o sexo do bebê ou para saber se eram dois bebês?",Como saber se o bebê está satisfeito ou com a barriga cheia após mamar?,"Por que, ao dizer que o bebê é menino, a minha probabilidade de acertar também é de 50%?",Há notícias sobre a grávida e o bebê?,,,,,,
