pergunta_padrao_ouro,topic_id,topic_name,central_example_1,central_example_2,central_example_3
O que posso fazer para evitar o parto prematuro?,151,Quando ir à maternidade e induzir parto,"Se eu chegar às 40 semanas de gestação, devo ir ao hospital ou esperar o trabalho de parto em casa?","Ao completar 40 semanas, devo ir para a maternidade mesmo sem a bolsa romper ou sem contrações de parto?",38 semanas de gestação é cedo para entrar em trabalho de parto?
Estou sentindo contrações antes do nono mês. É normal?,68,Dor lombar e pélvica na gestação,"É normal, com 4 meses de gestação, travar e sentir dor na região entre as nádegas a ponto de não conseguir andar?","É normal, com 31 semanas de gravidez, sentir muita dor nas costas, dor na virilha, contrações todos os dias e urinar muitas vezes?","Na gravidez de 7 meses, é normal sentir cólicas por um instante, endurecimento da barriga e vontade de urinar quase o tempo todo?"
A partir de quando posso saber o sexo do bebê durante a gravidez?,31,Identificação do sexo do bebê na gestação,Ainda é possível saber o sexo do bebê com 3 meses de gravidez?,"Com cinco meses de gravidez, já é possível saber o sexo do bebê?","Para saber se o bebê é menina ou menino, é preciso fazer um ultrassom?"
Tem como saber o peso do bebê dentro do útero?,148,Percentis fetais e crescimento na gestação,"É normal a bebê estar com 3.114 g às 36 semanas e 37 semanas e 3 dias de gravidez, ou isso é motivo de preocupação?",O que devo fazer com 25 semanas de gestação se o bebê está caindo no percentil?,Está tudo bem com o bebê de 34 semanas que está no percentil 4?
A partir de quando o embrião aparece dentro do meu útero?,12,Ultrassom no início da gestação,Já foi feito ultrassom nessa fase da gravidez?,Haverá outro ultrassom mais à frente na gravidez?,Com quantas semanas de gravidez já posso fazer um ultrassom?
A partir de quando o feto se forma?,24,Embrião e feto como vida humana,"Se o embrião está vivo, ele tem vida?",O embrião deixa de ser vida?,Um embrião é um bebê?
A partir de quando o bebê começa a mexer dentro do útero?,94,Sentir o bebê mexendo na gestação,"É normal não sentir o bebê mexer por três dias estando com 18 semanas de gravidez, depois de ter sentido movimentos na 13ª semana?",É normal estar com 17 semanas de gravidez e ainda não sentir o bebê mexer?,"Na gravidez de 5 meses, já é possível sentir o bebê mexer?"
Quando posso ouvir o batimento do coração do bebê dentro do útero?,98,Escuta dos batimentos fetais,É normal não conseguir ouvir o coração do bebê com 13 semanas de gravidez?,"Com 13 semanas de gravidez, é normal não conseguir ouvir o coração do bebê com o Doppler fetal em casa?",É normal não ouvir os batimentos cardíacos do bebê em uma ultrassonografia com 5 semanas e 5 dias de gravidez?
Quando o coração do bebê começa a bater,98,Escuta dos batimentos fetais,É normal não conseguir ouvir o coração do bebê com 13 semanas de gravidez?,"Com 13 semanas de gravidez, é normal não conseguir ouvir o coração do bebê com o Doppler fetal em casa?",É normal não ouvir os batimentos cardíacos do bebê em uma ultrassonografia com 5 semanas e 5 dias de gravidez?
A partir de quando o bebê dentro do útero pode ouvir a minha voz?,20,Atividades do feto no útero e cordão umbilical,Por que o bebê não fica de pé dentro do útero?,O bebê não se afoga dentro do útero durante a gestação?,O que o bebê fazia dentro da barriga durante a gestação?
Posso pintar o cabelo durante a gravidez?,96,Cuidados com produtos na gravidez,Quais cuidados uma gestante deve ter e quais produtos ela não pode usar?,Quais produtinhos para a pele e o corpo podem ser usados na gestação?,Qual é um bom protetor solar para usar na gravidez?
Quantos quilos é esperado ganhar na gestação?,60,Barriga não cresce na gestação,A barriga não cresceu durante os primeiros meses da gravidez?,É normal a barriga de uma gestante não crescer?,É normal que a barriga de uma gestante não seja tão grande?
Ter um pouco de dor na barriga é normal?,116,Indicação de gravidez por sintomas,Esses sinais que estão acontecendo comigo podem indicar gravidez?,"Esses sintomas, junto com a menstruação que não veio, podem indicar gravidez?","Esses sintomas, junto com o atraso menstrual, podem indicar gravidez?"
Ter cólica na barriga pode ser um problema?,116,Indicação de gravidez por sintomas,Esses sinais que estão acontecendo comigo podem indicar gravidez?,"Esses sintomas, junto com a menstruação que não veio, podem indicar gravidez?","Esses sintomas, junto com o atraso menstrual, podem indicar gravidez?"
"Posso tomar os remédios que já usava antes, durante a gestação?",99,Impacto de medicamentos na gravidez,Tomei vários remédios prescritos por médicos antes de descobrir que estava grávida de 6 semanas; isso pode ter prejudicado meu bebê?,É perigoso ter tomado dipirona antes de saber que estava grávida?,"Tomar antibiótico na terceira semana de gravidez, antes de saber que estava grávida, pode causar má formação no bebê?"
"É normal sair um líquido amarelado pelo seio, durante a gravidez?",139,Dor e sensibilidade nos seios na gravidez,É possível estar grávida sem sentir dor nos seios?,Toda gestante sente dor nos seios no início da gravidez?,É normal não sentir dor nos seios na gravidez?
"Como preparar o seio para a amamentação, durante a gravidez?",17,Pega do bebê e posição na amamentação,O uso de mamadeira pode prejudicar a amamentação?,O que fazer para o bebê pegar o peito durante a amamentação?,Como assim não pode amamentar dessa forma se essa é a técnica mais utilizada?
É normal inchar as pernas durante a gravidez?,68,Dor lombar e pélvica na gestação,"É normal, com 4 meses de gestação, travar e sentir dor na região entre as nádegas a ponto de não conseguir andar?","É normal, com 31 semanas de gravidez, sentir muita dor nas costas, dor na virilha, contrações todos os dias e urinar muitas vezes?","Na gravidez de 7 meses, é normal sentir cólicas por um instante, endurecimento da barriga e vontade de urinar quase o tempo todo?"
Minhas pernas estão inchadas. Preciso ingerir menos sal na alimentação?,134,Alimentação e dieta na gestação,Como era a alimentação durante a gravidez?,Como era a alimentação antes da gravidez?,Quais alimentos uma gestante pode consumir durante a gravidez?
"Quanto de sal posso usar nos alimentos, durante a gravidez?",41,Consumo de chás e temperos na gestação,Quais chás uma gestante pode tomar?,Quais chás estão sendo tomados durante a gravidez?,Gestantes podem tomar chá de hortelã?
"Quanto mais azia, mais cabelo o bebê vai ter?",153,Leite materno no cabelo e queda pós-parto,É mentira que o leite materno fez o cabelo da bebê crescer?,É verdade que o leite materno fez o cabelo da bebê crescer muito?,O leite materno estraga o cabelo do bebê?
Posso ir ao dentista durante a gestação?,99,Impacto de medicamentos na gravidez,Tomei vários remédios prescritos por médicos antes de descobrir que estava grávida de 6 semanas; isso pode ter prejudicado meu bebê?,É perigoso ter tomado dipirona antes de saber que estava grávida?,"Tomar antibiótico na terceira semana de gravidez, antes de saber que estava grávida, pode causar má formação no bebê?"
Preciso depilar a virilha para ir às consultas de pré-natal?,96,Cuidados com produtos na gravidez,Quais cuidados uma gestante deve ter e quais produtos ela não pode usar?,Quais produtinhos para a pele e o corpo podem ser usados na gestação?,Qual é um bom protetor solar para usar na gravidez?
Preciso depilar a virilha para o parto?,27,Posições e dinâmica do parto,"No parto, a mulher fica de cócoras em cima da cama?",Por que os médicos não oferecem essa opção na hora do parto?,O que acontece quando a mãe não entra em trabalho de parto?
Posso tomar anestesia local para tratar de dentes durante a gravidez?,99,Impacto de medicamentos na gravidez,Tomei vários remédios prescritos por médicos antes de descobrir que estava grávida de 6 semanas; isso pode ter prejudicado meu bebê?,É perigoso ter tomado dipirona antes de saber que estava grávida?,"Tomar antibiótico na terceira semana de gravidez, antes de saber que estava grávida, pode causar má formação no bebê?"
Sangramento na vagina durante a gravidez é normal?,62,Sangramento no início da gravidez,O sangramento no início da gravidez pode indicar algum problema?,"Na gravidez de 6 semanas, é normal ter sangramento marrom com coágulo e estar tudo bem?",É normal sair um pouco de sangue durante a gravidez?
O movimento do bebê dentro do útero é porque ele está incomodado?,94,Sentir o bebê mexendo na gestação,"É normal não sentir o bebê mexer por três dias estando com 18 semanas de gravidez, depois de ter sentido movimentos na 13ª semana?",É normal estar com 17 semanas de gravidez e ainda não sentir o bebê mexer?,"Na gravidez de 5 meses, já é possível sentir o bebê mexer?"
O bebê parou de mexer dentro do útero. Isto acontece porque ele está com problemas?,20,Atividades do feto no útero e cordão umbilical,Por que o bebê não fica de pé dentro do útero?,O bebê não se afoga dentro do útero durante a gestação?,O que o bebê fazia dentro da barriga durante a gestação?
Durante a gestação posso fazer sexo?,113,Risco de engravidar em relação sem proteção,"Se ele não ejaculou dentro, mas houve sêmen na calcinha, ainda existe chance de gravidez?",É possível engravidar por meio de relação sexual?,"É possível engravidar tendo relação sem proteção, sem ejaculação dentro, durante o período fértil?"
É normal ficar com menos vontade de fazer sexo?,131,Como engravidar e ter filhos,Como uma pessoa faz para engravidar?,Como se faz para engravidar e ter um filho?,Como se faz para engravidar e ter um bebê?
Quando preciso parar de fazer sexo na gravidez?,121,Posição para dormir na gestação,É recomendado que a gestante durma do lado esquerdo?,Uma gestante pode dormir de barriga para cima?,"Na gravidez, dormir do lado esquerdo significa ficar com o lado esquerdo para cima ou para baixo?"
Posso dormir de barriga pra cima?,121,Posição para dormir na gestação,É recomendado que a gestante durma do lado esquerdo?,Uma gestante pode dormir de barriga para cima?,"Na gravidez, dormir do lado esquerdo significa ficar com o lado esquerdo para cima ou para baixo?"
Qual a melhor posição pra dormir?,121,Posição para dormir na gestação,É recomendado que a gestante durma do lado esquerdo?,Uma gestante pode dormir de barriga para cima?,"Na gravidez, dormir do lado esquerdo significa ficar com o lado esquerdo para cima ou para baixo?"
Porque fumar cigarro na gestação é perigoso?,41,Consumo de chás e temperos na gestação,Quais chás uma gestante pode tomar?,Quais chás estão sendo tomados durante a gravidez?,Gestantes podem tomar chá de hortelã?
Posso beber nos finais de semana?,104,Dúvidas sobre bombinha elétrica na amamentação,Quanto tempo devo deixar a bombinha elétrica carregando?,O uso da bombinha elétrica dói?,A bombinha elétrica pode ser usada enquanto está carregando?
A grávida precisa tomar vitaminas?,70,Suplementação de vitaminas na gestação,Qual suplemento vitamínico para gestante está sendo usado na gravidez?,"Na gestação, os suplementos mencionados devem ser tomados antes da refeição?",Qual suplemento a gestante tomou durante a gravidez?
Posso tomar refrigerantes na gravidez?,41,Consumo de chás e temperos na gestação,Quais chás uma gestante pode tomar?,Quais chás estão sendo tomados durante a gravidez?,Gestantes podem tomar chá de hortelã?
Como comer de forma saudável na gravidez?,134,Alimentação e dieta na gestação,Como era a alimentação durante a gravidez?,Como era a alimentação antes da gravidez?,Quais alimentos uma gestante pode consumir durante a gravidez?
É proibido fazer exame de prevenção do câncer do útero na gravidez?,12,Ultrassom no início da gestação,Já foi feito ultrassom nessa fase da gravidez?,Haverá outro ultrassom mais à frente na gravidez?,Com quantas semanas de gravidez já posso fazer um ultrassom?
"Já tive uma cesárea, posso ter parto normal na próxima gestação?",72,Possibilidade de parto normal após cesárea,"É verdade que, depois de uma cesariana, não é possível ter parto normal em uma gravidez posterior?","É possível ter um parto normal nesta gravidez, mesmo tendo feito uma cesárea no parto anterior?","É possível ter parto normal nesta segunda gravidez, mesmo tendo feito cesárea no primeiro parto?"
Minha gengiva está sangrando quando escovo os dentes. O que fazer?,138,Sangramento na gestação e após relação sexual,Sangramento há 12 dias é motivo de preocupação?,Um sangramento vermelho vivo que aconteceu sete dias após a relação pode indicar que há algo de errado?,"Se ela não menstruou mais depois desse sangramento, isso pode significar outra coisa?"
Estou salivando muito e meu apetite mudou. É por causa da gravidez?,40,Enjoo e desconforto no início da gravidez,"É normal parar de sentir dor com seis semanas de gravidez, estando com sete semanas?",É normal que os enjoos no início da gravidez impeçam de comer?,É normal sentir mais sofrimento nesta gravidez do que na primeira gravidez?
Como evitar que meu rosto fique manchado por causa da gravidez?,96,Cuidados com produtos na gravidez,Quais cuidados uma gestante deve ter e quais produtos ela não pode usar?,Quais produtinhos para a pele e o corpo podem ser usados na gestação?,Qual é um bom protetor solar para usar na gravidez?
O que fazer para não engordar muito na gestação?,60,Barriga não cresce na gestação,A barriga não cresceu durante os primeiros meses da gravidez?,É normal a barriga de uma gestante não crescer?,É normal que a barriga de uma gestante não seja tão grande?
Posso andar de moto na gravidez?,99,Impacto de medicamentos na gravidez,Tomei vários remédios prescritos por médicos antes de descobrir que estava grávida de 6 semanas; isso pode ter prejudicado meu bebê?,É perigoso ter tomado dipirona antes de saber que estava grávida?,"Tomar antibiótico na terceira semana de gravidez, antes de saber que estava grávida, pode causar má formação no bebê?"
Como usar o cinto de segurança na gravidez?,121,Posição para dormir na gestação,É recomendado que a gestante durma do lado esquerdo?,Uma gestante pode dormir de barriga para cima?,"Na gravidez, dormir do lado esquerdo significa ficar com o lado esquerdo para cima ou para baixo?"
O formato da barriga indica o sexo do bebê?,31,Identificação do sexo do bebê na gestação,Ainda é possível saber o sexo do bebê com 3 meses de gravidez?,"Com cinco meses de gravidez, já é possível saber o sexo do bebê?","Para saber se o bebê é menina ou menino, é preciso fazer um ultrassom?"
Posso passar creme hidratante nas mamas?,17,Pega do bebê e posição na amamentação,O uso de mamadeira pode prejudicar a amamentação?,O que fazer para o bebê pegar o peito durante a amamentação?,Como assim não pode amamentar dessa forma se essa é a técnica mais utilizada?
"Como posso me proteger do mosquito da dengue, zika e chikungunya?",16,Vacina contra bronquiolite na gestação e no bebê,"Se a mãe tomar a vacina durante a gestação, o bebê também deve tomar a vacina contra bronquiolite quando nascer?","Se a gestante tomar a vacina contra bronquiolite, qual deve ser o intervalo até o bebê ser vacinado?",É melhor tomar a vacina contra bronquiolite durante a gestação ou após o nascimento do bebê?
Cremes e óleos na pele evitam estrias na gravidez?,96,Cuidados com produtos na gravidez,Quais cuidados uma gestante deve ter e quais produtos ela não pode usar?,Quais produtinhos para a pele e o corpo podem ser usados na gestação?,Qual é um bom protetor solar para usar na gravidez?
Tomar sol no seio ajuda na amamentação?,17,Pega do bebê e posição na amamentação,O uso de mamadeira pode prejudicar a amamentação?,O que fazer para o bebê pegar o peito durante a amamentação?,Como assim não pode amamentar dessa forma se essa é a técnica mais utilizada?
Quando devo tomar sol nos seios?,17,Pega do bebê e posição na amamentação,O uso de mamadeira pode prejudicar a amamentação?,O que fazer para o bebê pegar o peito durante a amamentação?,Como assim não pode amamentar dessa forma se essa é a técnica mais utilizada?
Estou sentido contrações e já estou no nono mês. O que fazer?,68,Dor lombar e pélvica na gestação,"É normal, com 4 meses de gestação, travar e sentir dor na região entre as nádegas a ponto de não conseguir andar?","É normal, com 31 semanas de gravidez, sentir muita dor nas costas, dor na virilha, contrações todos os dias e urinar muitas vezes?","Na gravidez de 7 meses, é normal sentir cólicas por um instante, endurecimento da barriga e vontade de urinar quase o tempo todo?"
Tenho sentido dores na barriga e intestino preso,116,Indicação de gravidez por sintomas,Esses sinais que estão acontecendo comigo podem indicar gravidez?,"Esses sintomas, junto com a menstruação que não veio, podem indicar gravidez?","Esses sintomas, junto com o atraso menstrual, podem indicar gravidez?"
Está escorrendo um líquido pela vagina e pernas. É normal?,138,Sangramento na gestação e após relação sexual,Sangramento há 12 dias é motivo de preocupação?,Um sangramento vermelho vivo que aconteceu sete dias após a relação pode indicar que há algo de errado?,"Se ela não menstruou mais depois desse sangramento, isso pode significar outra coisa?"
Estou perdendo sangue pela vagina,138,Sangramento na gestação e após relação sexual,Sangramento há 12 dias é motivo de preocupação?,Um sangramento vermelho vivo que aconteceu sete dias após a relação pode indicar que há algo de errado?,"Se ela não menstruou mais depois desse sangramento, isso pode significar outra coisa?"
Em qual maternidade meu bebê vai nascer?,56,Mala maternidade para o hospital,O que é preciso levar na mala maternidade do bebê?,A mala da maternidade deve ser a da mãe ou a do bebê?,O lencinho foi incluído na mala da maternidade?
Como posso ter alívio da dor durante o parto?,36,Dor e analgesia no parto,É comum não sentir tanta dor durante o parto?,A dor do parto é insuportável?,É verdade que a dor do parto é insuportável?
O que é o Plano de Parto?,27,Posições e dinâmica do parto,"No parto, a mulher fica de cócoras em cima da cama?",Por que os médicos não oferecem essa opção na hora do parto?,O que acontece quando a mãe não entra em trabalho de parto?
Qual é a melhor posição no parto?,27,Posições e dinâmica do parto,"No parto, a mulher fica de cócoras em cima da cama?",Por que os médicos não oferecem essa opção na hora do parto?,O que acontece quando a mãe não entra em trabalho de parto?
Posso convidar alguém para ficar sempre do meu lado no parto?,27,Posições e dinâmica do parto,"No parto, a mulher fica de cócoras em cima da cama?",Por que os médicos não oferecem essa opção na hora do parto?,O que acontece quando a mãe não entra em trabalho de parto?
O que é episiotomia?,146,episiotomia e laceração no parto humanizado,"Durante o parto, é preferível rasgar naturalmente do que fazer episiotomia?",Não fazer episiotomia pode prejudicar o parto?,"Sem episiotomia, é possível não ter laceração nenhuma no parto?"
O tamanho do meu bebê influencia na chance de ter ou não um parto normal?,63,evolução da dilatação no parto,10 centímetros de dilatação no parto é pouco?,"Por que, ao chegar à maternidade com 10 cm de dilatação, o parto não foi normal?",A dilatação no parto vai até 10 centímetros?
Preciso levar o cartão de pré-natal no dia do parto?,56,Mala maternidade para o hospital,O que é preciso levar na mala maternidade do bebê?,A mala da maternidade deve ser a da mãe ou a do bebê?,O lencinho foi incluído na mala da maternidade?
Como guardar o meu leite na geladeira?,118,Armazenamento e oferta de leite materno,O leite materno é dado ao bebê na mamadeira?,Uma mãe pode beber o próprio leite materno?,O leite materno ainda está nutrindo o bebê?
Qual é a melhor posição para amamentar meu bebê?,17,Pega do bebê e posição na amamentação,O uso de mamadeira pode prejudicar a amamentação?,O que fazer para o bebê pegar o peito durante a amamentação?,Como assim não pode amamentar dessa forma se essa é a técnica mais utilizada?
É normal continuar com sangramento na vagina alguns dias depois do parto?,71,Sangramento e dor no pós-parto,É normal ficar sangrando após um parto natural?,O sangramento pós-parto já parou?,O sangramento no pós-parto também parou?
Quando posso recomeçar a fazer sexo após o parto?,71,Sangramento e dor no pós-parto,É normal ficar sangrando após um parto natural?,O sangramento pós-parto já parou?,O sangramento no pós-parto também parou?
Por quanto tempo é bom amamentar?,17,Pega do bebê e posição na amamentação,O uso de mamadeira pode prejudicar a amamentação?,O que fazer para o bebê pegar o peito durante a amamentação?,Como assim não pode amamentar dessa forma se essa é a técnica mais utilizada?
O meu leite é fraco?,118,Armazenamento e oferta de leite materno,O leite materno é dado ao bebê na mamadeira?,Uma mãe pode beber o próprio leite materno?,O leite materno ainda está nutrindo o bebê?
O que posso fazer para aumentar o leite?,37,Aumento da produção de leite materno,Como posso aumentar minha produção de leite materno se tenho pouco leite e consigo amamentar pouco?,Como aumentar a produção de leite materno quando estou sem leite no peito?,Como posso aumentar a produção de leite materno?
Posso voltar a tomar a mesma pílula que eu usava antes de engravidar?,1,Risco de gravidez com anticoncepcional,Tive relação no 9º dia de uso do anticoncepcional; posso engravidar?,É possível que eu esteja grávida após iniciar o anticoncepcional há 4 dias e ter tido relações?,"Tomar a pílula anticoncepcional no mesmo dia, mas com atraso de horário, oferece risco de gravidez?"
O que é Teste do Pezinho?,155,Significado do reflexo vermelho no bebê,O que significa o reflexo vermelho do olho estar preto no exame do bebê?,O que aconteceu com o olho da bebê?,E se o reflexo vermelho do olho do bebê aparecer preto?
O que é Teste do Olhinho?,155,Significado do reflexo vermelho no bebê,O que significa o reflexo vermelho do olho estar preto no exame do bebê?,O que aconteceu com o olho da bebê?,E se o reflexo vermelho do olho do bebê aparecer preto?
O que é Teste da Orelhinha?,155,Significado do reflexo vermelho no bebê,O que significa o reflexo vermelho do olho estar preto no exame do bebê?,O que aconteceu com o olho da bebê?,E se o reflexo vermelho do olho do bebê aparecer preto?
Quando eu devo consultar após o parto?,71,Sangramento e dor no pós-parto,É normal ficar sangrando após um parto natural?,O sangramento pós-parto já parou?,O sangramento no pós-parto também parou?
Quando devo me preocupar com o sangramento pós-parto (lóquio)?,71,Sangramento e dor no pós-parto,É normal ficar sangrando após um parto natural?,O sangramento pós-parto já parou?,O sangramento no pós-parto também parou?
Por quanto tempo meu leite pode ficar guardado?,118,Armazenamento e oferta de leite materno,O leite materno é dado ao bebê na mamadeira?,Uma mãe pode beber o próprio leite materno?,O leite materno ainda está nutrindo o bebê?
O que fazer se minhas mamas ficarem endurecidas ou empedradas com o leite?,37,Aumento da produção de leite materno,Como posso aumentar minha produção de leite materno se tenho pouco leite e consigo amamentar pouco?,Como aumentar a produção de leite materno quando estou sem leite no peito?,Como posso aumentar a produção de leite materno?
Após o parto posso tomar banho normalmente?,71,Sangramento e dor no pós-parto,É normal ficar sangrando após um parto natural?,O sangramento pós-parto já parou?,O sangramento no pós-parto também parou?
Quais são os cuidado com os pontos da cesariana?,13,Cicatrização e secreção após cesárea,"É normal, 20 dias após a cesárea, a região ficar muito endurecida, dolorida e inchada, mesmo com quase nada de drenagem?","É normal ainda não ter tirado os pontos da cesárea após 18 dias, porque a região estava inflamada?","É normal, após retirar os pontos da cesárea, continuar vazando líquido por 6 dias, sem dor, cheiro ou febre?"
Quando vou retirar os pontos foram dados no parto?,71,Sangramento e dor no pós-parto,É normal ficar sangrando após um parto natural?,O sangramento pós-parto já parou?,O sangramento no pós-parto também parou?
Pode sair algum tipo de secreção da região dos pontos? Quando devo me preocupar?,114,Fisioterapia pélvica e incontinência,A fisioterapia pélvica resolve mesmo esse problema?,"Na fisioterapia pélvica, esse procedimento é feito com uma luva? Não seria melhor usar uma camisinha?",Os músculos vaginais estão fracos?
Preciso de corte na vagina para o meu bebe nascer?,146,episiotomia e laceração no parto humanizado,"Durante o parto, é preferível rasgar naturalmente do que fazer episiotomia?",Não fazer episiotomia pode prejudicar o parto?,"Sem episiotomia, é possível não ter laceração nenhuma no parto?"
"Se eu não tiver força pra empurrar o bebe, será que alguém empurra minha barriga?",131,Como engravidar e ter filhos,Como uma pessoa faz para engravidar?,Como se faz para engravidar e ter um filho?,Como se faz para engravidar e ter um bebê?
Como controlar a falta de equilíbrio durante a gravidez?,40,Enjoo e desconforto no início da gravidez,"É normal parar de sentir dor com seis semanas de gravidez, estando com sete semanas?",É normal que os enjoos no início da gravidez impeçam de comer?,É normal sentir mais sofrimento nesta gravidez do que na primeira gravidez?
