comment_id,pergunta_original,topic_id,topic_name
UgyVzLoYt5Jfgo01Zt14AaABAg,"Quais são as 10 indicações mencionadas para uma gestante no oitavo mês de gestação, que já teve duas cesarianas?",14,Indicações e escolha entre cesárea e parto normal
UgyrN7mCIhC7spnBiRt4AaABAg.AMGbdpW8CnVAMOQKQe5-EL,Matar um bebê ou uma pessoa não é considerado crime?,21,Aborto como direito e vida
UgyrN7mCIhC7spnBiRt4AaABAg.AMGbdpW8CnVAMOQKQe5-EL,Por que a vida de uma pessoa ou de qualquer outro ser humano valeria mais do que a de um bebê?,16,Embrião e feto como vida humana
UgxCipps4r4UqC9N8Ul4AaABAg.AMpfpCwk0fNASL5wWeZlzi,A progesterona é usada por via vaginal ou oral?,3,Uso de progesterona na reposição
UgxCipps4r4UqC9N8Ul4AaABAg.AMpfpCwk0fNASL5wWeZlzi,Qual é a dosagem da progesterona?,3,Uso de progesterona na reposição
Ugzc7NGvcZACNbGQECV4AaABAg,"No SUS, o parto é realizado nessa posição?",32,Escolha do tipo de parto no SUS
UgwCdlXUS4BLY1fh2e54AaABAg.AINabAtyZGJAIO2_7M82Fm,É possível que eu chegue ao final da gravidez pesando 100 kg se atualmente estou com 90 kg?,38,Barriga não cresce na gestação
UgynAouQK8MCxwIu4tF4AaABAg,É comum não sentir tanta dor durante o parto?,25,Dor e analgesia no parto
UgwwX6QfLchxp0N0WJt4AaABAg.AV9rVlod5tpAVGBce9ovSS,"Depois de ficar 3 dias sem tomar desogestrel, tomar a pílula do dia seguinte e voltar ao anticoncepcional por 7 dias, é necessário tomar outra pílula do dia seguinte após ter relação com ejaculação?",2,Risco de gravidez com anticoncepcional
Ugyn4ExZDRrAhbp98IF4AaABAg.AUYXuqcXERrAVFjqh3i2F4,Há quantos meses você toma Mounjaro e amamenta sua filha?,74,Uso de Mounjaro na amamentação
Ugw-zalGOyT4GvjtUht4AaABAg,Será que a bebê está enjoadinha ou com o dentinho nascendo?,94,Dor na cesariana e anestesia
Ugz6hRCzJAKxaaO4ryZ4AaABAg,Como vestir o bebê antes de o vernix ser absorvido?,54,Banho e cuidados do recém-nascido
UgzZirDHXhVbBwagDDF4AaABAg,"Por que alguns ginecologistas, durante o climatério, prescrevem DIU ou minipílula em vez de repor o que está em falta?",53,Climatério e reposição hormonal
UgxF2GalNdUiJVdELsh4AaABAg,Quando vou ovular se parei de tomar o remédio e estou tentando engravidar?,2,Risco de gravidez com anticoncepcional
UgxF2GalNdUiJVdELsh4AaABAg,O que pode significar sentir muita dor nos seios?,90,Dor e sensibilidade nos seios na gravidez
UgySjdr1ox8ljrgZUXp4AaABAg,"Após o parto, é necessário receber alta hospitalar?",93,Descolamento e placenta baixa
Ugw9eVSP-px5D0MrUOt4AaABAg.AGYaihYcNEnAGpf4CigNcl,"Com três meses sem menstruar, é indicado fazer beta-hCG e ultrassom?",6,Interpretação do beta hCG quantitativo na gestação
Ugy-4K_2htJD7aoG3lZ4AaABAg,Como conseguir o atestado de antecipação da licença médica?,1,Auxílio maternidade do INSS
UgxtQLGvk1aq-5mgNP14AaABAg,Quais sinais ou sintomas podem acontecer na fase da nidação da gravidez?,10,Sangramento de nidação e menstruação
UgxtQLGvk1aq-5mgNP14AaABAg,Alguém pode relatar o que sentiu ou o que aconteceu durante a nidação?,10,Sangramento de nidação e menstruação
UgxIllr5ig7HEbmESeN4AaABAg,A mãe pode fazer caminhada para o bebê dormir?,20,Sono do bebê e amamentação
Ugwy3ZDQu7qBgCF7B1R4AaABAg.ANclEpt5niDANhMuJlOK87,Uma pessoa que nunca trabalhou de carteira assinada e nunca pagou INSS tem direito ao salário-maternidade?,1,Auxílio maternidade do INSS
UgwieNk3-y8TS7Uso5Z4AaABAg,"Em um plano de saúde com cobertura obstétrica e mais de 30 vidas, uma funcionária cadastrada antes de 30 dias da admissão na empresa perde a carência para parto a termo?",34,Carência e cobertura obstétrica no parto
UgyTzOGU65qKr8mjJxB4AaABAg,Quem teve o último emprego CLT em 2022 e atualmente é MEI consegue receber auxílio-maternidade apenas pela contribuição do MEI?,17,Direitos do MEI ao salário maternidade
UgyEjEedDFZ3DvetWel4AaABAg,Como fica a barriga durante uma gestação de gêmeos?,11,Gestação de gêmeos e trigêmeos
UgxCaWlj-1zOpmxhIKR4AaABAg.AFE3rsmeOKYAFMq8Yz6TJx,Como a progesterona afeta o sono e a menopausa?,3,Uso de progesterona na reposição
Ugx4E4zHszAHeGR3NPV4AaABAg.AHfcVOhW3U6AHfvkyKGA_l,"Se a bolsa estourou, o bebê vai nascer?",92,Rompimento da bolsa amniótica
UgyF8VBy7WcX3gSGO2x4AaABAg,Gestantes com intolerância à lactose podem tomar essa marca de cálcio?,37,Suplementação de cálcio e magnésio na gestação
UgwRlbSIa1Mn4LdXTz54AaABAg,A esponjinha de um teste de gravidez pode pegar a amostra do outro teste se eles forem juntados?,78,Testes de gravidez caseiros com urina
UgxMgdLkGQsgFfByNyZ4AaABAg,A placenta já existe no útero ou é formada a cada gravidez e sai junto com a bolsa gestacional?,93,Descolamento e placenta baixa
UgxYn6u3HRm4eBjC6yR4AaABAg.AIkU30x_WexAIsmpsb36Hl,A posição de cócoras é a melhor para o bebê e para a mãe no parto?,19,Posições e dinâmica do parto
UgxYn6u3HRm4eBjC6yR4AaABAg.AIkU30x_WexAIsmpsb36Hl,"Como ocorre o rasgo ou corte no parto, já que o médico geralmente usa tesoura?",95,episiotomia e laceração no parto humanizado
UgwVnkkJNHFfVEung2l4AaABAg,Como a bebê vai nascer se a gestante com 35 semanas de gravidez tem medo tanto de parto normal quanto de cesárea?,4,dilatação e sinais de trabalho de parto
Ugx8ptjypzwoMIpYjC14AaABAg,A Sarinha fala apenas inglês ou também fala português?,23,Adaptação e desenvolvimento na creche
UgztkWr_KTYn-8LZB4B4AaABAg,Por que o salário-maternidade veio no valor de R$ 5.400 se o benefício está fixado em 4 meses?,1,Auxílio maternidade do INSS
UgwNJafEyru_iOAGgmN4AaABAg,"O que devo fazer ao descobrir que estou grávida de 2 semanas, se tomo fluoxetina e clonazepam para ansiedade e não consigo parar os medicamentos?",62,Impacto de medicamentos na gravidez
UgwNJafEyru_iOAGgmN4AaABAg,É possível continuar usando fluoxetina e clonazepam no início da gravidez?,62,Impacto de medicamentos na gravidez
Ugxd7OC7dS7D7mNa4rN4AaABAg,É normal sentir queimação nas mamas durante a gestação?,90,Dor e sensibilidade nos seios na gravidez
UgzMBIXC7o_hG4uv1X14AaABAg.AJwDYbeoB36AJxnoF5ZyL-,A dor do parto normal é realmente suportável?,25,Dor e analgesia no parto
UgwugerX2uY4VNN-6Wl4AaABAg,É normal a barriga continuar enorme um ano após o parto?,81,Barriga inchada no pós-parto
UgwugerX2uY4VNN-6Wl4AaABAg,O que posso fazer para desinchar a barriga no pós-parto?,81,Barriga inchada no pós-parto
UgzpI5x-hb3pSUu9R-54AaABAg,Qual é a diferença entre induzir o parto e optar diretamente por uma cesariana quando a gestante está com 41 semanas e 3 dias e o bebê não apresenta sinais de nascer?,98,Quando ir à maternidade e induzir parto
UgyGAivSQ9Ht88icOmd4AaABAg.AO3zey5fwAIAO4DMJQZt3w,Com que idade o bebê começa a comer?,66,Introdução alimentar do bebê
UgySpgqozaHFdgADDYt4AaABAg.AMgj1hbd7YCAONkTBqmmt4,A pressão dela está normal?,33,Pré-eclâmpsia e pressão arterial na gravidez
UgwxGx2sRIq17WSsD2R4AaABAg,O teste de gravidez não precisa ser molhado na urina para funcionar?,78,Testes de gravidez caseiros com urina
UgzQykXaRd9bbdpUX6d4AaABAg.ANwpksCUF41ANx8AhO7ngI,Você não sentiu dor depois da cesárea?,94,Dor na cesariana e anestesia
UgwnjMBsKhpWOpA78CN4AaABAg,A progesterona via vaginal deve ser usada todos os dias?,3,Uso de progesterona na reposição
UgwJQiWA_LUo372ejLh4AaABAg,"A mãe apenas contribui, gera e carrega o bebê durante nove meses?",82,Aborto em gravidez decorrente de estupro
UgxUU0y41cz12BmYq1d4AaABAg,Uma mãe que está amamentando pode consumir chá de camomila?,29,Consumo de chás e temperos na gestação
Ugxt-0zEpnjWyOio3bZ4AaABAg,Há médicos contra o parto na água por causa do risco de a cabeça do bebê bater no fundo da banheira e de ele engolir água?,15,Atividades do feto no útero e cordão umbilical
Ugwx9VXBr9MPRyGhT4N4AaABAg.AIPGiU-1JN5AIPr9gvxa1l,O rombo provocado pela retirada da placenta fechou depois de um tempo?,31,Remoção manual da placenta
UgyT8672BHi3SiseJw94AaABAg.AK9niygdQCgAK_to60j-3u,Quem fez o cromossomo responsável por determinar o sexo do bebê?,22,Identificação do sexo do bebê na gestação
Ugw4ayfcbSauJTCbTRV4AaABAg,Esterilizar a bomba de leite várias vezes no esterilizador de micro-ondas pode tê-la estragado e estar fazendo sair pouco leite?,27,Uso e funcionamento de bomba de leite
Ugz0aro2j6qDooUGtyd4AaABAg,O bebê terá força e um bom pulmão quando for mamar no peito?,20,Sono do bebê e amamentação
UgyFf6Dr9Nx9gSBB86V4AaABAg.ACyZwpd35h0AT8_3rgHWDa,Como vocês estão hoje após o parto?,45,Sangramento e dor no pós-parto
UgxWe_Cw64k33s_zy2d4AaABAg.AHxf3pet4ZcAI4FDnjVoD_,"As mulheres têm algum hormônio que ajuda a suportar melhor esse tipo de dor, como a dor do parto?",25,Dor e analgesia no parto
UgyHtGXKB3ortvb1AfZ4AaABAg.AMjqFFF_U39AMjqWgmq8GR,O que posso fazer se a reposição de progesterona por via vaginal não deu certo e meu sono ficou horrível?,3,Uso de progesterona na reposição
UgwU9qKNcXtjmmMw40J4AaABAg.ADy-behgiJvAEKFbwJft6Q,O que fazer quando a progesterona por via oral está causando muito ganho de peso?,3,Uso de progesterona na reposição
UgyAeToWIoDs1PAnZPd4AaABAg.ANW4b8wKXvBASXIykKKtXA,"Como foi o parto de uma bebê com 4,5 kg para ajudar outras mães?",19,Posições e dinâmica do parto
UgxTS9bqOgxrsP1rORN4AaABAg,"Após retirar os dois ovários por causa de cistos ovarianos, devo tomar progesterona?",77,Uso de progesterona após histerectomia
UgyY5fOVoOg3-66rzv94AaABAg.AIn-jhIpq7YAQPq0wfwitL,Por que não montar a mala maternidade também para a mãe?,36,Mala maternidade para o hospital
UgxC3mebHmS0lnTfJQB4AaABAg.APqcJ2ksBixAPtMzAGEAbP,"Qual é a fonte para afirmar que um parto demorado, induzido ou com ingestão de fezes pode causar autismo?",86,Alterações nas fezes e evacuação
UgxC3mebHmS0lnTfJQB4AaABAg.APqcJ2ksBixAPtMzAGEAbP,Os médicos deveriam interferir no parto ou não?,19,Posições e dinâmica do parto
UgyJ4n4CsJS7vLyA0zd4AaABAg,É normal a pressão cair com frequência com 25 semanas de gravidez?,33,Pré-eclâmpsia e pressão arterial na gravidez
Ugwe8LOLo8A9AoaHyXN4AaABAg.AMKd0bc3sF2AMY0k4yjwAK,O atraso menstrual e o teste de gravidez negativo podem ser causados pelo estresse do dia a dia?,30,Teste negativo na gravidez com atraso menstrual
Ugwe8LOLo8A9AoaHyXN4AaABAg.AMKd0bc3sF2AMY0k4yjwAK,Devo esperar um pouco para fazer um novo teste de gravidez?,101,Quando fazer teste de gravidez
UgzDA3esqEjjv806uVl4AaABAg,É o cromossomo X ou o cromossomo Y que determina o sexo do bebê?,22,Identificação do sexo do bebê na gestação
UgxOF-symEsuB524w1F4AaABAg.ANnqLzqAt-6AOJuiaFTbB9,"Com 8 dias de atraso menstrual e uma relação sexual com coito interrompido em 15 de setembro, há possibilidade de gravidez?",67,Período fértil e risco de gravidez
UgxtP5WRXNkw-X5p6il4AaABAg,"A partir de 37 semanas de gestação, é possível diminuir a ingestão de água para antecipar o parto?",98,Quando ir à maternidade e induzir parto
UgwI3G_rorkIQ_HOzFN4AaABAg.AQPqkUv1lhEAWJn4eaPOot,"Há quantos dias a pessoa está sentindo cólica, dor nos seios e dor no umbigo, com a menstruação atrasada?",90,Dor e sensibilidade nos seios na gravidez
UgwwpDWEpGbAQVJw6lN4AaABAg.AUkuZMd_Re1AVPl74TrWmb,Como estava a sua menstruação durante essa gravidez?,85,Alimentação e dieta na gestação
UgydNqu2bbYVrPKOsOV4AaABAg.ANrOTKB1S7OANx9rtFbkxK,É normal sentir cólica ou algum desconforto depois de fazer uma ultrassonografia transvaginal com dois meses de gravidez?,8,Ultrassom no início da gestação
UgxDyvd__FxaySnFkz54AaABAg,"Qualquer mulher pode ter uma gestação de gêmeos ou mais, ou é necessário ter gêmeos na família?",11,Gestação de gêmeos e trigêmeos
UgxAS_EumgWLuuCEsKl4AaABAg,Qual é a posição da buchada após a cesárea?,52,Como é feita a cesárea
UgwOHGbmJhYMqLulpYV4AaABAg,Como um recém-nascido sofre?,54,Banho e cuidados do recém-nascido
Ugy2iL87_1Y1_Qozf5R4AaABAg,"Mesmo tendo usado preservativo na relação de três semanas atrás, posso estar grávida com a menstruação atrasada há quatro dias?",30,Teste negativo na gravidez com atraso menstrual
UgwO5uGLZHWkF22X_rh4AaABAg.AEuG0p5iRr6AEuH9B0Le2l,É melhor fazer a prevenção contra a dengue na gravidez e para bebês?,12,Vacina contra bronquiolite na gestação e no bebê
UgzuZTetRZuR6AajYj94AaABAg,"É normal o corrimento ficar rosado no último comprimido, sendo a primeira vez que isso acontece?",2,Risco de gravidez com anticoncepcional
UgzrdTf9EqJIr1Jr_wV4AaABAg,Em quanto tempo de vida a moleira do bebê deve fechar?,102,Significado do reflexo vermelho no bebê
UgzAp23F5-IgQ-X41al4AaABAg,"Por que o bebê fica em cima da bexiga durante a gravidez, fazendo a gestante precisar urinar com mais frequência?",43,Dor lombar e pélvica na gestação
UgyJw5s3ifN9eB7y38V4AaABAg,O bebê pode parar de comer por causa do nascimento dos dentes?,66,Introdução alimentar do bebê
UgyJw5s3ifN9eB7y38V4AaABAg,O que posso fazer para o bebê voltar a comer bem como antes?,20,Sono do bebê e amamentação
Ugy1ukOpuHPoa24jx0d4AaABAg,Existe alguma relação entre quase ter sofrido um aborto na gravidez e a criança nascer com autismo?,42,Aborto retido e abortamento espontâneo
UgxxLzjee1XUuVSk6uR4AaABAg,"É possível estar grávida mesmo com o exame de sangue, o teste de urina e o ultrassom sem mostrarem bebê nem a bolsa gestacional?",88,Resultado negativo em testes de gravidez
UgxxLzjee1XUuVSk6uR4AaABAg,O que pode estar acontecendo quando a menstruação atrasa e os testes de gravidez dão negativo?,78,Testes de gravidez caseiros com urina
Ugz6lgZlkYgaNfHWru54AaABAg,Quanto tempo costuma levar na Justiça Especial Cível um processo de salário-maternidade que foi negado pelo INSS e já está na Justiça há 5 meses?,1,Auxílio maternidade do INSS
UgwZRhtkYxoYb0vM9bx4AaABAg,Quais itens da linha Niina Secrets são seguros para gestantes?,59,Cuidados com produtos na gravidez
UgzS_2NHsi5I3rrR6494AaABAg,O médico já tinha um palpite tão cedo na gravidez?,8,Ultrassom no início da gestação
UgxAMu-lWGd2k91iJJB4AaABAg,Você está grávida de gêmeos?,11,Gestação de gêmeos e trigêmeos
Ugyv8J_UeTJMfuqPNMB4AaABAg,"Se eu já dei entrada no salário-maternidade com meu advogado e ainda não tive retorno, posso fazer o pedido pelo INSS mesmo com minha filha tendo 2 meses?",1,Auxílio maternidade do INSS
UgzF1_vIGQq7N5F-hHp4AaABAg,A dor de três cesáreas aparece depois que a anestesia passa?,94,Dor na cesariana e anestesia
UgwIISTfWYVX8XRZSLR4AaABAg,"Posso usar botox no cabelo enquanto estou amamentando, com uma bebê de 1 ano e 8 meses?",74,Uso de Mounjaro na amamentação
UgwCd24-f82LrZN04f54AaABAg,"O que pode ser um sangramento em cor de ""borra de café"" que aconteceu 16 dias antes da menstruação em uma mulher tentante há 1 ano?",10,Sangramento de nidação e menstruação
UgyzpFs4x8AWclRfVDN4AaABAg,A retenção de líquido que notei pode ser causada pelo adesivo de estrogênio ou pela progesterona que estou usando?,3,Uso de progesterona na reposição
UgyzpFs4x8AWclRfVDN4AaABAg,Existe diferença entre remédio convencional e bioidêntico?,65,Dicas para aumentar chances de gravidez
UgyWDGmcg4Psuv-2CjV4AaABAg,O pagamento da primeira contribuição via boleto na lotérica é válido para ter direito ao auxílio-maternidade?,1,Auxílio maternidade do INSS
UgyWDGmcg4Psuv-2CjV4AaABAg,Como o auxílio-maternidade será recebido na prática e é preciso esperar o bebê nascer para dar andamento ao processo?,1,Auxílio maternidade do INSS
UgyWDGmcg4Psuv-2CjV4AaABAg,"Se a contribuição paga não aparece no INSS, o que deve ser feito agora para solicitar o auxílio-maternidade?",1,Auxílio maternidade do INSS
Ugyooe4XXvyR06Ck-KF4AaABAg.AR26KnhBfzsASs8XfnI589,"É possível estar grávida mesmo tendo menstruado duas vezes no mês passado, com teste de gravidez negativo, corrimento marrom e barriga inchada?",24,Possibilidade de gravidez com atraso menstrual
UgwkRb8Rtt2ytkSEaLZ4AaABAg,Por que o tempo de relacionamento com o parceiro influencia o risco de pré-eclâmpsia na gravidez?,33,Pré-eclâmpsia e pressão arterial na gravidez
UgzbOPu0-qTbRVYNeTR4AaABAg.ALuMLiZ_mqHALwXbs0f3O7,O espermatozoide representa apenas os genes do pai?,16,Embrião e feto como vida humana
UgzmF1uYo5E487sn0oN4AaABAg.AOJemqT1rWfAOMMpjwBcav,A gestante fez ultrassom com Doppler nas últimas semanas da gravidez?,8,Ultrassom no início da gestação
UgxTMcRyp0ywIMmypz54AaABAg.AIOJRGB1pF0ATHjun40mkl,A sua bomba quebrou?,64,Dúvidas sobre bombinha elétrica na amamentação
Ugy5LZl2FZL9GM_-anl4AaABAg,Quais são as indicações absolutas de cesárea?,14,Indicações e escolha entre cesárea e parto normal
UgxROsDRW9uLYfTKtC14AaABAg,É normal cuspir muito durante a gravidez?,28,Enjoo e desconforto no início da gravidez
Ugzo9qy0BDrxajDdORR4AaABAg.AJ2c2eoO95nAJWJXMub5ih,A dor do parto é diferente da dor de cólica menstrual?,25,Dor e analgesia no parto
UgyIW21L2y9VEk0bZCZ4AaABAg,Quais foram as mudanças no seu corpo durante a gravidez?,59,Cuidados com produtos na gravidez
UgwToeDJTyuSBCy7uS14AaABAg,"É normal menstruar durante a reposição hormonal, após 7 anos sem menstruar?",53,Climatério e reposição hormonal
UgyOtpqqdXUd-p5Gl6d4AaABAg,Quando é possível escutar o coração do bebê batendo na gravidez?,61,Escuta dos batimentos fetais
UgxqjSvJQB8oJ-N08U54AaABAg,Qual é o problema de uma grávida beber?,73,Armazenamento e oferta de leite materno
UgzfiHyefqU31P9dfSJ4AaABAg,"Tenho direito ao auxílio-maternidade novamente nesta gravidez, considerando que trabalhei registrada por 13 anos até janeiro de 2023?",1,Auxílio maternidade do INSS
Ugw9_dCXgSwDjTfptXZ4AaABAg,"Um sangramento amarronzado por 3 dias, sem sangramento vivo, com a menstruação atrasada em 2 dias, pode indicar gravidez?",51,Sangramento marrom rosado com atraso menstrual
Ugw9_dCXgSwDjTfptXZ4AaABAg,É normal a menstruação não vir depois de um sangramento marrom de 3 dias?,7,Irregularidade do ciclo menstrual
UgxhstUX1jBVqkly5Ll4AaABAg,Por quantos dias do mês a progesterona deve ser usada?,3,Uso de progesterona na reposição
Ugy8FoVH8UVRAEb46HV4AaABAg.AM-bxMFWgFCATwydZgtSAP,A vacina da COVID já tem quatro anos e ainda existem questionamentos sobre ela?,12,Vacina contra bronquiolite na gestação e no bebê
Ugy42i8mZLcBWll5gzl4AaABAg,"É normal sentir agonia e até sensação de desmaio ao fazer essa massagem na barriga depois de uma cesárea, aos quatro meses e meio de pós-parto?",9,Cicatrização e secreção após cesárea
UgwVOKy5FbF4so1fO9l4AaABAg,É possível que um bebê de 4 meses faça isso na barriga da mãe?,23,Adaptação e desenvolvimento na creche
Ugylf8gSUuh3RYXHoHh4AaABAg.AT5jX4YCNIGAUsKQe4S6GZ,"Como você abriu essa parte da bombinha de tirar leite, já que eu tentei e não consegui?",27,Uso e funcionamento de bomba de leite
UgzFgRZs7--8j45YmD54AaABAg.AK-boZ0PQzyAK-qxT27n0_,Lenços umedecidos à base de água são melhores para a pele do bebê?,54,Banho e cuidados do recém-nascido
UgxVVgHpcns3mVoCZ4d4AaABAg,A analgesia no parto só acontece para mulheres ricas?,25,Dor e analgesia no parto
UgxVVgHpcns3mVoCZ4d4AaABAg,Por que a rede pública não se preocupa em oferecer analgesia para mulheres que passam dias em trabalho de parto?,25,Dor e analgesia no parto
UgwMe_hcPW9E_ikqow14AaABAg,"Depois de colocar o anel vaginal hoje à tarde, a menstruação pode parar ainda hoje?",2,Risco de gravidez com anticoncepcional
UgxwBedTvRi0Xgkovf14AaABAg.AFZZ-AmyW7SAIVyEvNf6CV,Depois de quanto tempo sua filha nasceu após a saída do tampão mucoso?,91,Uso de domperidona para produção de leite
Ugy6M2ryTONzZuc5ovN4AaABAg.AOcQjXleIIvAOduCo_47St,O lúpus sistêmico já existia e só se manifestou no período pós-parto por causa do estresse?,33,Pré-eclâmpsia e pressão arterial na gravidez
Ugz_J5e1TlrLTxAfKAx4AaABAg.ALlhtOiuOQgALmNKrZyQiC,Quais argumentos podem ser apresentados sobre o aborto?,21,Aborto como direito e vida
UgzIGZlVQzFozfhuC2d4AaABAg,O bebê bebe o quê dentro do útero da mãe?,15,Atividades do feto no útero e cordão umbilical
Ugw0ovrikwpg4pHIWNd4AaABAg.ALoSeDptukzALr8qTZyVBx,"Depois do parto, é possível entregar o bebê para adoção?",79,Dor nas contrações e dilatação
Ugz9WPt8MRMaByyWUeB4AaABAg,Uma gestante de 14 semanas com descolamento de placenta pode usar progesterona via vaginal?,83,Reposição de progesterona sem útero
UgwMi2zVjbTSOiVj1aB4AaABAg.AO61mx0QruxASZMdK8FwUa,"Quando é possível começar a usar o sling, já que ele não é usado com recém-nascido?",48,trocar fralda descartável e roupa do bebê
UgwMi2zVjbTSOiVj1aB4AaABAg.AO61mx0QruxASZMdK8FwUa,"Como minha filha ficaria no sling, já que ela costuma gostar de ficar virada para a frente vendo tudo?",48,trocar fralda descartável e roupa do bebê
UgxLpO15CBnjzg9w8vh4AaABAg.ATOToFS0REVAVrxghuWEvv,Os comprimidos usados para induzir o parto alteram a pressão arterial?,56,Indução do trabalho de parto
UgxLpO15CBnjzg9w8vh4AaABAg.ATOToFS0REVAVrxghuWEvv,Faz sentido induzir o parto por pressão alta e alteração nos exames de pré-eclâmpsia se os comprimidos alteram a pressão arterial?,33,Pré-eclâmpsia e pressão arterial na gravidez
UgwQgj2UttfxpjdNSYV4AaABAg,"O que pode ser um corrimento marrom persistente no início da gravidez, mesmo com o útero fechado e uma ultrassonografia normal?",40,Sangramento no início da gravidez
UgzuK5ARrYohdgy4XVB4AaABAg.AIBgCU6XDfPAIBjv3R3hyj,Você já fez a ultrassonografia da gravidez?,8,Ultrassom no início da gestação
Ugzt7eOXvxZEAe5XwXt4AaABAg,É normal a menstruação ficar irregular e passar 3 ou 4 meses sem vir?,7,Irregularidade do ciclo menstrual
UgxEcobNtVBC0ypRNsh4AaABAg.APEv4AoE6VRAPHUzjzdFEn,"Por que o bebê não se afoga no parto na água, se passa a gravidez inteira dentro de uma bolsa de água e ainda não respira?",15,Atividades do feto no útero e cordão umbilical
Ugw18jddeDBMOjkUovh4AaABAg,"Se os pulmões maduros sinalizam o início do trabalho de parto, por que bebês prematuros nascem com os pulmões ainda imaturos e precisam de UTI para respirar?",15,Atividades do feto no útero e cordão umbilical
UgxExGLgwGuWSrBRXVl4AaABAg,O Clomid deve ser tomado durante a menstruação ou após ela?,37,Suplementação de cálcio e magnésio na gestação
UgzxbLXQ3Reb-VY5Z794AaABAg,"É normal a menstruação começar marrom, depois ficar vermelha e voltar a ficar marrom?",7,Irregularidade do ciclo menstrual
UgyRGp14u_0gQAHyNKl4AaABAg,O parto natural dói?,25,Dor e analgesia no parto
Ugz41-iqERpdxwjhAEd4AaABAg,O bebê recém-nascido pode não deixar a mãe dormir?,20,Sono do bebê e amamentação
Ugzxh7aKd9js6K4OjeJ4AaABAg,Deve fazer a pausa de 7 dias após ter esquecido de tomar o anticoncepcional na segunda e na terceira semana da cartela e ter tomado os comprimidos esquecidos nos dias seguintes?,2,Risco de gravidez com anticoncepcional
