topic_id,suggestion_1,suggestion_2,suggestion_3,model,response_id,examples_sha256,error
10,Alimentação do recém-nascido com mamadeira,Uso de mamadeira para recém-nascidos,Oferecer leite ao recém-nascido com mamadeira,gpt-5.4-nano,resp_07c9e10398ca9592006aa5e88db8c887d293efa6d08bcd775e,05715568a21542be5842beb8bbf0d5c6895e856b1b5c9b29f771a98bf444c565,
11,Cuidados e procedimentos na gestação,Orientações e procedimentos durante a gravidez,Procedimentos e saúde materna na gestação,gpt-5.4-nano,resp_039ff99f179c77da006aa5e88ec8e087d2a5ffa2983cd7238b,007dbf16a0b776becd75a3c7113c63e81e1c7bb3bfc61fd414aadc1f3a685b0a,
12,Ultrassom no início da gestação,Ultrassonografia no início da gestação,Exame de ultrassom inicial gestacional,gpt-5.4-nano,resp_0697f0b42829c00b006aa5e89032fc87d291c17ffceed596a4,aba86a90981fb222dda8b3000d8880f952e7065f0fe901930ba0aad40fcd5a04,
13,Cicatrização e secreção após cesárea,Saída de líquido e cicatriz após cesárea,Seroma e dor na cicatriz da cesárea,gpt-5.4-nano,resp_02327281ec5930dd006aa5e8913da887d29ca780d4f84b0738,4be1d287c449c49759332f6ead1a3bb9ee6b78dfc7580a3330a7551f33d79ff1,
14,Sangramento de nidação e menstruação,Nidação versus menstruação,Sangramento na nidação na gravidez,gpt-5.4-nano,resp_08b6f24a604358c6006aa5e892694487d2959cd5524037364a,e648ce3666184a0dcb9c391630bd07b999e4520752ec9ab36be2228eb61806d3,
15,Gestação de gêmeos e trigêmeos,Gravidez gemelar e trigemelar,Gestação múltipla de gêmeos,gpt-5.4-nano,resp_0717121914912efb006aa5e89383bc87d2bae3b813923989b1,4eb7beb406915888d2141c35ce7ca636a0b701e6c3a09d803d332eae1aa4ff97,
16,Vacina contra bronquiolite na gestação e no bebê,Vacina RSV na gravidez e vacinação infantil,Abrysvo Beyfortus intervalos e indicações,gpt-5.4-nano,resp_0f2923acf3830dc4006aa5e894eea087d2b13869fa37ed10fa,18da7c838b98d3dc4f53530ff4e1899e257407abf2876c80ce9d7d79ce7d2cd3,
17,Amamentação com pega e posição,Pega do bebê e posição na amamentação,Dor no peito na amamentação,gpt-5.4-nano,resp_0d1bbdc0d041aadd006aa5e896b5e487d28ab9a49baafeff81,0f12d007b43a1d3d7d9f046bfd82d9eadbb5f10844de30793cd9130a8c86a129,
18,Colocação de DIU e implante,Inserção de DIU e implanon,Uso de DIU e implante contraceptivo,gpt-5.4-nano,resp_071578e43b5d516d006aa5e897b71c87d2969013284f27cb2b,6b101e6064754b1ddd2870faf483789c932d2daa08b5238e2da3ecb88c34e111,
19,Indicações e escolha entre cesárea e parto normal,Indicações de cesárea e opção pelo parto normal,Quando fazer cesárea ou parto normal,gpt-5.4-nano,resp_00d7df8e2df44629006aa5e898c80487d28e0d2fd2388ccf6e,5a6e3d177375875398ce261787ebae2f033949a886ba1ebe32ac487d5ca6b944,
20,Rotina fetal no útero e cordão umbilical,Atividades do feto no útero e cordão umbilical,Como o feto vive no útero e cordão umbilical,gpt-5.4-nano,resp_04177731e7db4991006aa5e899e94087d2a0b201082473713b,4ea50d6b36a7f74cc43e0a6435b15d01d09fc82c3be8f2c86b8cbe1510d83034,
21,Doenças e exames do bebê,Problemas de saúde e exames infantis,Condições de saúde do recém-nascido,gpt-5.4-nano,resp_08ee476d982bd671006aa5e89b0eec87d29d78bdf4f331bda0,2453f69e99f3fce42e47bc3f93c67017fee4cf5dbeef121440e48e455c54f948,
22,Confirmação de gravidez e sinais,Certeza sobre estar grávida,Suspeita e confirmação da gravidez,gpt-5.4-nano,resp_01bb24e8f9983b44006aa5e89c467487d2b383813ab1002637,46693e21b281327a8d6763d09d5afa71835c2f39c9a70075463059a717a626fe,
23,Idade gestacional em meses e semanas,Contagem da idade gestacional em semanas e meses,Correspondência entre meses e semanas de gestação,gpt-5.4-nano,resp_06251391d2776381006aa5e89d38c487d2a1ba8e12f27ccf5f,dbcce5e09744b58e48a761ddf411003dec30fc777b4e0f7659674b151ccea41e,
24,Vida do embrião e do feto humano,Embrião e feto considerados seres vivos,Embrião e feto como vida humana,gpt-5.4-nano,resp_08440c572cb655e6006aa5e89f834887d282d628ec1abdb645,445df65a6871d7580e8bc542e7ebbea73e1b18e711863feb2bb491a44bfd3ecd,
25,Direitos do MEI ao salário maternidade,Quem é MEI tem direito ao salário-maternidade,Auxílio salário maternidade para MEI,gpt-5.4-nano,resp_063ea7337bfd1859006aa5e8a0e5b887d2b5c929252f237d28,e3d20032af98e873f59317eb5b1cbf5fba2c4687373b9b53a2f1e339fb440b13,
26,Gravidez após os 35 anos,Possibilidade de engravidar após 35,Idade materna e chance de engravidar,gpt-5.4-nano,resp_072a170921390669006aa5e8a1f30087d29f617eb3f4c9b6f1,8110f1fbc78e2d959aa731cfc5c5a0c045dbd1443cff5344b759962681ead0d4,
27,Posições e dinâmica do parto,Mudança de posição no parto,Como acontece o parto durante o trabalho,gpt-5.4-nano,resp_095a9ded11059b0c006aa5e8a2faec87d2942b4c5c9003a0c1,27b08fbc6b250b68fbad17dd56580b81224487353fde5f3e0a5f2465f3886cf2,
28,Previsão de nascimento da Olívia,Quando a Olívia vai nascer,Data provável do parto da Olívia,gpt-5.4-nano,resp_06fc78298446b2e6006aa5e8a3faa487d2821067eb445a6b45,fed5a5416a6e78fdf70399a5795a5e225b35b378091117b9a088511f1ea6cad1,
29,Rotina e sono do bebê ao mamar,Sono do bebê e amamentação,Rotina noturna do bebê no peito,gpt-5.4-nano,resp_0dcc73b99cba34d0006aa5e8a5661087d2a4cccf40f19423a4,f564ed5ec3329a619791cf58b7243867bd3916e30faf4066f5783af4b2e92be6,
30,Aborto como direito e vida,Aborto escolha e valor da vida,Aborto matar e direito de interromper,gpt-5.4-nano,resp_0f8b00c54d4e6da8006aa5e8a69e8487d29dd84ef6b496d993,2c5dae85cf94052b10421663befe3ce8af3e9a9aeba553cfff463d33a521705d,
31,Descoberta do sexo fetal na gravidez,Identificação do sexo do bebê na gestação,Saber o sexo do bebê durante a gravidez,gpt-5.4-nano,resp_0d07617c57c07041006aa5e8a8069c87d2b4d697f0ca7684e2,6f1a3b0c3c729c40cb77035fd6ea6fd679ce3da11d27d0e280867dddaf665d2e,
32,Adaptação e desenvolvimento na creche,Colocar bebê na creche e desenvolver,Desenvolvimento infantil na creche,gpt-5.4-nano,resp_0c6b17fb52042485006aa5e8a91a6487d296d0173365c6cfde,c39326d9a4e6df19ea8ef4d936e26ab260632b4b6e1d21d0d7741a4b5ed2885a,
33,Sexo do bebê e tabela chinesa,Saber se será menino ou menina,Menino ou menina na gravidez,gpt-5.4-nano,resp_04dff28e13e4f2ca006aa5e8aa259c87d29b4474327509d903,5f493ca296ecf6b9abcd6010a972431a3120c2c167a28f5f337e82da08566660,
34,Estar grávida de novo,Ela está grávida novamente,Confirmar gravidez novamente,gpt-5.4-nano,resp_04a5b1cfcbb76e6a006aa5e8ab207087d28bc22de9d54c7d6b,f944199c6b2e10172ac5a98519ca024ff8963311bea4ebd7bc9945559f1e41de,
35,Possibilidade de gravidez com atraso menstrual,Suspeita de gravidez com menstruação ausente,Indícios de gravidez na ausência menstrual,gpt-5.4-nano,resp_0e137ed074236df2006aa5e8ac0d3487d285665cda88931b58,01a445663d9242d22150f5a2e92dafe58a5e4e1486c29d0f9c749987697a0ad6,
36,Dor e analgesia no parto,Dor do parto e analgesia epidural,Dor no parto e analgesia durante o trabalho de parto,gpt-5.4-nano,resp_01cccdac89a1b9a4006aa5e8ad0ab087d2bab36438f81ca41d,01f8faf313daefbb80e2aa4d7b0e9a897ef3d7e53db60c65e9870ec98ab239c1,
37,Aumento da produção de leite materno,Como aumentar o leite materno,Produção suficiente de leite materno,gpt-5.4-nano,resp_0061d29cafa4fb5e006aa5e8ae342087d29006842f7fa19237,098fc756ac88b8f1f06a05ecac524b13cc834149fb4d27ec6dd58633a98d2175,
38,Gravidez atribuída a Giovanna Alparone,Notícia de gravidez de Giovanna Alparone,Afirmação de gravidez de Giovanna Alparone,gpt-5.4-nano,resp_0fb380805eac19a2006aa5e8af756087d280ea8c5931902d3d,8d2559a84828abecbd56fd0b34ddbc2cf3709ee6400555b29228c4089ca7b2f2,
39,Uso e funcionamento de bomba de leite,Dificuldade na extração com bomba tira-leite,Carregamento e sucção da bomba elétrica,gpt-5.4-nano,resp_001c057b028d0c14006aa5e8b0b33087d2ac3475950296603a,1d75829ff9a988f905a79b23af7011a96855d0f1530e9383c3dbca58b38ff326,
40,Enjoo e desconforto no início da gravidez,Náuseas e mal-estar na gestação inicial,Enjoo e sintomas gástricos na gravidez,gpt-5.4-nano,resp_0930e861902cb491006aa5e8b23d3487d284e5ae1beca528da,08a6dc77082dd7d832192eee6a5aa8fed5f5785118e9f409909dd0a57c2a4ef6,
41,Consumo de chás e temperos na gestação,Chás e temperos durante a gravidez,Aptidão de chás e especiarias na gestação,gpt-5.4-nano,resp_0e5a7e9c2a44acf9006aa5e8b3630c87d29de6057a60009f00,79e48ecd6f81c1c4810e483863a5e4904eb8a3996541a3e300f46aee559a0102,
42,confirmação da gravidez,é verdade que está grávida,declaração de gravidez verdadeira,gpt-5.4-nano,resp_08a3972859e1daf8006aa5e8b4869087d2843e87266eceed80,331925ca85dfa459a75f02735fe3b0b7a25945fb6ddccccee6a27fe44056c0e1,
43,Gravidez com teste negativo e atraso menstrual,Possibilidade de gravidez com atraso menstrual,Teste negativo na gravidez com atraso menstrual,gpt-5.4-nano,resp_0be015612015bcef006aa5e8b5a44087d29bbf8160d96714de,08cdfe67474019944d4569d0744be24b48dc3b24cce4c2e8f40ae309e8c2750f,
44,Remoção manual da placenta,Retirada manual da placenta,Remoção da placenta por mão,gpt-5.4-nano,resp_0f637f035b7cdc25006aa5e8b6961c87d2a1dde999764a860a,456dd922ad143025df177c730f7d0d21ddf53649f65798237c8f347f1fd2c62a,
45,Direito de escolha no parto pelo SUS,Escolha do tipo de parto no SUS,Direitos da gestante no SUS parto,gpt-5.4-nano,resp_052778a4daab4e06006aa5e8b7800887d2b54d9e75f05061e7,525ccab4f3839e93a71ab6129e555e0ea9bef83e49059aeb2d9523ddec8c6fba,
46,Planejamento de ter mais um filho,Intenção de ter outro filho,Tentativa de ter novo bebê,gpt-5.4-nano,resp_0387cc78ed071d85006aa5e8b86d6487d2b28fa469c0fab2f1,c006d388573e42743e689817c9bea6e87b1b409932f97edb286e5931013291c0,
47,Oxigênio e suporte respiratório neonatal,Uso de oxigênio em UTI neonatal,Respiração assistida em UTI neonatal,gpt-5.4-nano,resp_04f3f39c3548ee37006aa5e8b9be1c87d2b465b5a06b60e9b8,d4a19da52f10e185c916c918c5092970e571904dac800a633326d1425120a0ba,
48,Barriga falsa ou verdadeira,Barriga mostrada verdadeira,Barriga de mentira ou real,gpt-5.4-nano,resp_019ad8e1c55d217c006aa5e8baaf1c87d2b20a18f8617f2227,91e1411433fe3caf2a1ab10ae84d4274db89fbf6255c57b1a8a3ed8350b89d84,
49,Suplementação de vitaminas em crianças,Doses de vitaminas para crianças,Uso de vitaminas e suplementação infantil,gpt-5.4-nano,resp_0fd225bf932aad68006aa5e8bba2fc87d29910952d7e7ce568,cfe73b9b39c1b9872e0f39edf12a3d8691b1c1dd3635426d6d98413023470f8b,
50,Pesagem e medida do bebê,Peso e tamanho do recém-nascido,Acompanhamento do peso infantil,gpt-5.4-nano,resp_0f8653e5f74d0d64006aa5e8bcb66087d2864a1f834b2ce5cf,8a74bda739dd1595ea77ee322a84d43a05993c30c81a28d4e14270ef3b02c4e2,
51,Como foi o parto normal,Parto normal ocorreu bem,Evolução do parto normal,gpt-5.4-nano,resp_0c2a7ebaa5a16a9c006aa5e8bdbc5c87d2bbd73c8729ddc3fc,7f0f40c85f41b81e9deb38511ce01fe13429c0a25abb4b720a1aaa704a2a4d07,
52,Pré-eclâmpsia e pressão arterial na gravidez,Risco de pré-eclâmpsia e pressão alta,Sinais e manejo da pré-eclâmpsia,gpt-5.4-nano,resp_05ebf6d3fcd1f847006aa5e8bebeec87d2b11909bae0f0774a,888af07aae85d74b22d0c25f2c064dd26ccb70b258095dd854f8ec055dc2b6e7,
53,Cobertura do plano no parto,Carência e cobertura obstétrica no parto,Reembolso e cobertura do parto,gpt-5.4-nano,resp_085ef5a11948041c006aa5e8bfcfa087d2805d5d2ae71b8b0b,322c0c6b3ee97df00bc794d05478e188ccfd1bc9547466410c0c0efc5955ddbb,
54,Bolsa Família e auxílio-maternidade,Bolsa Família e salário-maternidade,Bolsa Família e licença-maternidade,gpt-5.4-nano,resp_01ee1c58e0c3d41a006aa5e8c0d3f087d299cb010b108e590a,7608c3e4fc78d021b07dc8f50e0223df43ac62833af42caf469187cbc1e84541,
55,identificação do pai do bebê,quem é o pai do bebê,paternidade do bebê,gpt-5.4-nano,resp_0cfb16d18570e5dd006aa5e8c1c94c87d29bd95596f1d2db8b,5f36dabbd11123c8f7a7da5ac6b8d353b37a968d9269d367b76560c4ffbe67bf,
56,Mala maternidade para o hospital,Itens da mala maternidade hospital,O que levar na mala da maternidade,gpt-5.4-nano,resp_098173191e5cff4f006aa5e8c4629087d28dca3cf7bf810607,96dad5c42f5f1dc4cb2e7639fa259ec6bc40c8c643aa549114c13f61234376aa,
57,Emily e gravidez confirmada,Emily Vick e gravidez verdadeira,Emily grávida em questão real,gpt-5.4-nano,resp_0dd98004d2dc6491006aa5e8c54a6087d2a65187ee224cf8f9,bf86486f0680d36d1c5b4db7e27e01fe2d88f7b775be3c38b9ec04a5ac1e7a16,
58,Suplementação de cálcio e magnésio na gestação,Uso de cálcio e magnésio na gravidez,Suplementos de cálcio e magnésio na gravidez,gpt-5.4-nano,resp_030a561682386f60006aa5e8c6291c87d2898efad7210ae751,26895da9df501433dc39e7d0f5f5fbb09dc4a637c06bebba8ac1edec879571c8,
59,Resultado de teste de gravidez,Interpretação do teste de gravidez,Confiabilidade do teste de gravidez,gpt-5.4-nano,resp_082cec1c882287bd006aa5e8c7264c87d2860d4de7c5a60cf1,5a4d50fff3b42cc2bae25bfbb86d32364b4b7221bcb9001f9bfa396e6b134868,
60,Barriga não cresce na gestação,Barriga pequena na gravidez,Pouco crescimento da barriga gestante,gpt-5.4-nano,resp_0d01806e0133eea5006aa5e8c8220c87d2bb4511f93952ef17,625b9a87ce1165b1273156b06892cfef350486eaab595c9458fd81724f81156e,
61,Falha da laqueadura e gravidez,Possibilidade de gravidez após laqueadura,Risco de gestação após laqueadura tubária,gpt-5.4-nano,resp_0f680c9fe95bfc1a006aa5e8c92e1c87d28956ddb6d8529c99,9bf455fab069cc552970e3ac25e7ddd39fd450314b703f5b5c70f0ce93f18a26,
62,Sangramento no início da gravidez,Sangramento inicial na gestação,Sangramento precoce na gravidez,gpt-5.4-nano,resp_0e7ebb0d1409ccee006aa5e8ca15ac87d283e07a3f1da5e66f,37e1d659ad60c881f7863cf26d21185866db56180ee52fef65b2d2fd6a1769e3,
63,dilatação do colo no trabalho de parto,evolução da dilatação no parto,quanto dilata o colo uterino,gpt-5.4-nano,resp_02c8cb072e985142006aa5e8cb121487d294f15ecaa2464e89,feb97ff49df96efd77cbc6b628cf8e4f08980a0ea8b97340caf66b3f2589f629,
64,Ter filhos apesar de falta de condições,Ter filhos sem condições de cuidar,Gravidez e maternidade com dificuldades,gpt-5.4-nano,resp_014f69afe9590269006aa5e8cc411887d2a44bd851f4f9e5cf,a4f815f1a2351687b757dab0d9029773bc1ce7a202236fbbffd35bb921666c5d,
65,Barriga falsa na gravidez,Gravidez verdadeira ou barriga falsa,Barriga de grávida verdadeira,gpt-5.4-nano,resp_02934a435f120792006aa5e8cd34b887d2ba97892ec66d7f3c,9e5590c77786a0315b10721624cc747d8b23f90be5e6e9c74d428656b3dda407,
66,Idade gestacional e nascimento prematuro,Semanas de gestação do parto prematuro,Nascimento do bebê e idade gestacional,gpt-5.4-nano,resp_0163f61ad88fae1f006aa5e8ce291087d2910a2b0273c48433,31fc15f90b318b6fb201d3f184d8fe32a7981501cdbe3488a2b3c772e1fe8313,
67,Aborto retido e abortamento espontâneo,Abortamento retido e perdas espontâneas,Aborto retido e perda gestacional espontânea,gpt-5.4-nano,resp_04f03d37336adbc2006aa5e8cf3bb487d28d45b1f2fca57996,ff055391bbe935a84bb7a94176def51d03f01c2fdadf71718faa40e84221e03c,
68,Dores na coluna e na pelve na gravidez,Dor lombar e pélvica na gestação,Pressão pélvica e dor nas costas na gravidez,gpt-5.4-nano,resp_04885d3175f1e379006aa5e8d0334487d28bf645a667cbc298,c1cefc5c547c925c2439be5a33b73727da1ba3e4be19574920b35c9a8222bff3,
69,Próximo irmão ou irmã na gravidez,Nascer novo irmão para o filho,Possibilidade de novo bebê na família,gpt-5.4-nano,resp_0f36444f7b3e7ed4006aa5e8d2197087d2838bd8a06a85f934,5c52dd510639b933cde1c2ae475480940fbfcf930dfc7185b71d760fb9dbd37a,
70,Suplementação de vitaminas na gestação,Uso de vitaminas e suplementos na gravidez,Suplementos vitamínicos durante a gravidez,gpt-5.4-nano,resp_0d21c83002ab3a14006aa5e8d32d0087d29984c4bc920036b3,39055f607766412d4b2cf2c17df8fc409b73a8955679cf8c8ee4cc4fce961d2d,
71,Sangramento e dor no pós-parto,Sangramento no pós-parto e recuperação,Sangramento pós-parto e retorno sexual,gpt-5.4-nano,resp_05c7c14a58e7db8b006aa5e8d41df487d2be3e8d6bc873af55,ee960e660391807374eecd2e685f3eceb09b1f0ce291e42e2c7c22e7b0650ad5,
72,Parto normal após cesárea,Possibilidade de parto normal após cesárea,Tentativa de parto normal depois de cesárea,gpt-5.4-nano,resp_0b52be3379abda39006aa5e8d528d087d28228f5cb591cc290,ddfdcfb6eb2169ee6b543446afc066c093eebe35820bb15a82b72985aaf828ac,
73,Histerectomia e recuperação pós operatória,Retirada do útero e cuidados,Cirurgia de retirada do útero,gpt-5.4-nano,resp_0d25b716eaa54782006aa5e8d6a2ac87d29c5bf0886b22a5e9,9f19fe251afceb152dc800b47ef4d83535538f81e7e275a5a44fe78d4bf43f33,
74,Gravidez de cadela Estrela,Estrela grávida de filhotes,Gestação da cadela Estrela,gpt-5.4-nano,resp_057c5d36bba84a19006aa5e8d7a76887d2ab5868dcbc74b821,1f58241fa69d6ae39bb64230f999467078b8ebd5ca8d4aee204446e97289e966,
75,Condições do bebê após o nascimento,Saúde do bebê após nascer,Como está o bebê depois de nascer,gpt-5.4-nano,resp_0c382d8ba85c73d0006aa5e8d9216087d2a7ea1387c06ed0d9,7bdcb54ae893c36ade8d0097128e59116210dcb16cea163d7e6520e3b4a343cb,
76,troca de fralda e uso de descartável,uso de fralda descartável e troca,trocar fralda descartável e roupa do bebê,gpt-5.4-nano,resp_068c7eee12b8464b006aa5e8da169c87d2b2c8d0fba4308b7c,862d183d6fd394cb6f574cf7f85098e27fb1bc6e4e80e651e23b04ef6e276a27,
77,Gravidez da pessoa mostrada em vídeo,Gestante citada em vídeo,Bebê e gravidez mostrados no vídeo,gpt-5.4-nano,resp_077ef72cdfd795bb006aa5e8db4ec887d2a04478c15f81ac82,3a4db1e0a6794245dbe82377cf6b62d87f80dc80c221d42e3b908ad447fb6665,
78,Uso de taping e cinta pós-parto,Uso de faixas compressoras no pós-parto,Uso de taping na recuperação pós-parto,gpt-5.4-nano,resp_0677a497307a3839006aa5e8dc516087d292b5300cbae31efa,3cadc2be848f4be229759afea01be2864e115c79cd3045ebd1cf6f31083cf23d,
79,Data de nascimento da Olívia,Quando a Olívia vai nascer,Previsão do nascimento da Olívia,gpt-5.4-nano,resp_0138ad93538bdef4006aa5e8dd794487d2970be5680e43416f,76c900207e129370c1b374c490f8c19be152ae18fe9d82609c25f2c2450b6ac0,
80,Fórmula infantil e leite para bebês,Uso de fórmula infantil e leite materno,Oferecer fórmula infantil e leite ao bebê,gpt-5.4-nano,resp_0fa1abaee43cb5d8006aa5e8de84ec87d2acb569f320a99831,533f4ff86676beb777b8e64eb923e340ebd0f987be7b43542834c1336130f57b,
81,Sangramento rosado na suspeita de gravidez,Sangramento marrom rosado com atraso menstrual,Sangramento leve rosado e atraso menstrual,gpt-5.4-nano,resp_00e01ba2b20e7883006aa5e8dfd0b087d282a413b95760002f,cef2960a0f158a5023887903ef41605d1258f3fb5a3a76ad4002c48b7cd4729b,
82,Gravidez da Giovanna e pai do bebê,Giovanna grávida e identidade do pai,Giovanna está grávida quem é o pai,gpt-5.4-nano,resp_0ab4f67e6cf078eb006aa5e8e0ec1087d2ab63103d1ab258e2,f368e4b1403cf9605d6eb094ace47d24b9fe4394e56e53aec31b5398a9894fdb,
83,Como é feita a cesárea,Procedimento da cesárea e cortes,Incisões e camadas na cesariana,gpt-5.4-nano,resp_0eb2d971d70459fb006aa5e8e2543087d2a7694285e87a4578,10cfb76164e424312aaad1707bb916cfa481b8bb95c36e6391077360e0b1b91a,
84,Menopausa precoce e reposição hormonal,Transição menopausal e reposição hormonal,Climatério e reposição hormonal,gpt-5.4-nano,resp_0332f9a709e295f1006aa5e8e3b1c887d29b9a7d719f3f14fd,9832e0e655b69f02ec7479743e45d9e78e79b56e65aaa9ac0f79cb7f69d2b6bf,
85,Nascimento do bebê e adaptação familiar,Chegada do bebê e mudanças na família,Você e o bebê após o nascimento,gpt-5.4-nano,resp_09d7249eb74dcf7d006aa5e8e5102087d299524c4f0c6043fa,f9fae976065dfed6d6e9c8372c2251796325e06263e73e1a9f2a72fe6bd9e8af,
86,Gravidez da Mia e notícia do bebê,Mia vai ter irmão ou irmã,A mãe da Mia está grávida,gpt-5.4-nano,resp_0fe1674c9ce4bbe2006aa5e8e6181487d2b8f620b1cec640c8,1ed3b021d413686e28da21a9ecee6f7ed8aac96d666e59106c0f09dfdc8342d5,
87,Banho do recém-nascido,Higiene do recém-nascido,Banho e cuidados do recém-nascido,gpt-5.4-nano,resp_0ec63697ee0796ce006aa5e8e7601887d296a75d85ce851b1c,82cdaa1a0e40a4e20dca0c53dafb71e56eb2962cddb54220ebb3377ea3742bba,
88,Distensão abdominal fetal e encaixe,Barriga grande do bebê no útero,Bebê na barriga com distensão abdominal,gpt-5.4-nano,resp_061ba0d6ded7a8f2006aa5e8e8baf487d29d01ac0da6db121d,a8811506b11f3937974bb3b56f48adf2c80081f62795bc6b7ca2fb1ff0eb12b4,
89,Mioma uterino e gravidez,Miomas uterinos na gestação,Efeitos dos miomas na gestação,gpt-5.4-nano,resp_055ce4894bbe15ec006aa5e8e9be3487d2ad390787f754fe97,40f419a554c69db224623906d84812bed05df6fdda809e02fbecca7dfe7c36c1,
90,paternidade do pai do bebê,identidade do pai do bebê,quem é o pai do bebê,gpt-5.4-nano,resp_08f677d3b1749b63006aa5e8eb269887d29fcd74d56ad9945b,a584382195421eee3f1e10179ae1f0341a547c13c7f941511290db2a101971f0,
91,Indução do parto e métodos,Indução do trabalho de parto,Indução do parto e recursos naturais,gpt-5.4-nano,resp_07ac3798ef8bdf1f006aa5e8ec1e6487d2b8d88d6aa87fd135,bbb9f0431b99888a23cbb7a4e7d121e5bca52b01f791a4469ceac331e55070bd,
92,Consulta hospitalar e tratamento na gestação,Atendimento médico hospitalar e tratamento,Acompanhamento hospitalar e medicação na gravidez,gpt-5.4-nano,resp_004195fcb8f294f0006aa5e8ed014087d2869245229c13d47e,446f9b6954455fccdf987f4282cd0de66532bc09ba81a2771d111b34eef029db,
93,Teste de gravidez e resultado positivo,Exame de gravidez e resultado positivo,Teste para confirmar gravidez e positivo,gpt-5.4-nano,resp_03853b14b094d744006aa5e8edfa7087d28867ba1e5ad6147b,62505b296e7befb0c1fd9b5ccf645f0437fea8c134a6367e206ff7ce212f5e4b,
94,Variação dos movimentos do bebê,Quando sentir mexer do bebê,Sentir o bebê mexendo na gestação,gpt-5.4-nano,resp_0f717dcfd111a9cb006aa5e8eee64c87d2a7440e57977564b2,07607cd71e8b3cd0494c3ba32f21077cb43e2a2aa09265996dbd3480a7f9556f,
95,Conjuntivite em bebês,Conjuntivite infantil,Olhos com conjuntivite em bebê,gpt-5.4-nano,resp_07717136931e51ee006aa5e8efd30887d2a77dde2c5dddd255,c3f73c531e6a285cc9c50dd430ce1dd985d8e011ed4d628fc3f13759ee6a2429,
96,Cuidados com produtos na gravidez,Uso de cremes e protetor solar na gestação,Segurança de cosméticos e tratamentos na gravidez,gpt-5.4-nano,resp_0233a28e221b87b2006aa5e8f0e73c87d2893e2065cfe0596c,88aeffacf6c561206b4859d7deedf6a6aca96174166712d0f28d10e631546e2f,
97,Início de exercícios na gestação,Começar exercícios durante a gravidez,Fazer exercícios na gravidez sem risco,gpt-5.4-nano,resp_05b7e43be147ca5c006aa5e8f2413487d2a68ad2bfbb2939f5,5bf93b23c5afa1ddc254f49b6dae2d2fccc93e237fb0df147bcf81ab0c782ede,
