topic_id,topic_size,top_words,example_count,examples_sha256,suggestion_1,suggestion_2,suggestion_3,model,response_id,error,selected_name,decision
10,186,"['mamadeira', 'seringa', 'alimentar', 'dar', 'sugar', 'bico', 'chupeta', 'ponta', 'leite', 'recém']",50,05715568a21542be5842beb8bbf0d5c6895e856b1b5c9b29f771a98bf444c565,Alimentação do recém-nascido com mamadeira,Uso de mamadeira para recém-nascidos,Oferecer leite ao recém-nascido com mamadeira,gpt-5.4-nano,resp_07c9e10398ca9592006aa5e88db8c887d293efa6d08bcd775e,,,
11,147,"['isso', 'nesse', 'caso', 'luvas', 'você', 'procedimento', 'essa', 'foi', 'feito', 'certo']",50,007dbf16a0b776becd75a3c7113c63e81e1c7bb3bfc61fd414aadc1f3a685b0a,Cuidados e procedimentos na gestação,Orientações e procedimentos durante a gravidez,Procedimentos e saúde materna na gestação,gpt-5.4-nano,resp_039ff99f179c77da006aa5e88ec8e087d2a5ffa2983cd7238b,,,
12,166,"['ultrassom', 'natal', 'ultrassonografia', 'saco', 'pré', 'transvaginal', 'gestacional', 'exame', 'semanas', 'mostrou']",50,aba86a90981fb222dda8b3000d8880f952e7065f0fe901930ba0aad40fcd5a04,Ultrassom no início da gestação,Ultrassonografia no início da gestação,Exame de ultrassom inicial gestacional,gpt-5.4-nano,resp_0697f0b42829c00b006aa5e89032fc87d291c17ffceed596a4,,,
13,155,"['cesárea', 'cicatriz', 'seroma', 'após', 'líquido', 'pontos', 'normal', 'saindo', 'cirurgia', 'cesariana']",50,4be1d287c449c49759332f6ead1a3bb9ee6b78dfc7580a3330a7551f33d79ff1,Cicatrização e secreção após cesárea,Saída de líquido e cicatriz após cesárea,Seroma e dor na cicatriz da cesárea,gpt-5.4-nano,resp_02327281ec5930dd006aa5e8913da887d29ca780d4f84b0738,,,
14,149,"['nidação', 'sangramento', 'menstruação', 'esse', 'sido', 'pode', 'dias', 'ser', 'leve', 'rosado']",50,e648ce3666184a0dcb9c391630bd07b999e4520752ec9ab36be2228eb61806d3,Sangramento de nidação e menstruação,Nidação versus menstruação,Sangramento na nidação na gravidez,gpt-5.4-nano,resp_08b6f24a604358c6006aa5e892694487d2959cd5524037364a,,,
15,150,"['gêmeos', 'trigêmeos', 'bebês', 'são', 'gemelar', 'gêmeas', 'gestação', 'idênticos', 'arthur', 'sofia']",50,4eb7beb406915888d2141c35ce7ca636a0b701e6c3a09d803d332eae1aa4ff97,Gestação de gêmeos e trigêmeos,Gravidez gemelar e trigemelar,Gestação múltipla de gêmeos,gpt-5.4-nano,resp_0717121914912efb006aa5e89383bc87d2bae3b813923989b1,,,
16,135,"['vacina', 'bronquiolite', 'contra', 'abrysvo', 'beyfortus', 'tomar', 'aplicada', 'vacinas', 'reação', 'covid']",50,18da7c838b98d3dc4f53530ff4e1899e257407abf2876c80ce9d7d79ce7d2cd3,Vacina contra bronquiolite na gestação e no bebê,Vacina RSV na gravidez e vacinação infantil,Abrysvo Beyfortus intervalos e indicações,gpt-5.4-nano,resp_0f2923acf3830dc4006aa5e894eea087d2b13869fa37ed10fa,,,
17,167,"['amamentar', 'amamentação', 'peito', 'bico', 'seio', 'pega', 'silicone', 'correta', 'almofada', 'posição']",50,0f12d007b43a1d3d7d9f046bfd82d9eadbb5f10844de30793cd9130a8c86a129,Amamentação com pega e posição,Pega do bebê e posição na amamentação,Dor no peito na amamentação,gpt-5.4-nano,resp_0d1bbdc0d041aadd006aa5e896b5e487d28ab9a49baafeff81,,,
18,134,"['diu', 'mirena', 'colocação', 'implanon', 'colocar', 'fio', 'machucar', 'pênis', 'lugar', 'inserção']",50,6b101e6064754b1ddd2870faf483789c932d2daa08b5238e2da3ecb88c34e111,Colocação de DIU e implante,Inserção de DIU e implanon,Uso de DIU e implante contraceptivo,gpt-5.4-nano,resp_071578e43b5d516d006aa5e897b71c87d2969013284f27cb2b,,,
19,185,"['cesárea', 'cesariana', 'indicações', 'parto', 'cesáreo', 'normal', 'quais', 'são', 'optar', 'as']",50,5a6e3d177375875398ce261787ebae2f033949a886ba1ebe32ac487d5ca6b944,Indicações e escolha entre cesárea e parto normal,Indicações de cesárea e opção pelo parto normal,Quando fazer cesárea ou parto normal,gpt-5.4-nano,resp_00d7df8e2df44629006aa5e898c80487d28e0d2fd2388ccf6e,,,
20,160,"['dentro', 'cordão', 'umbilical', 'útero', 'respira', 'barriga', 'amniótico', 'fica', 'bebê', 'líquido']",50,4ea50d6b36a7f74cc43e0a6435b15d01d09fc82c3be8f2c86b8cbe1510d83034,Rotina fetal no útero e cordão umbilical,Atividades do feto no útero e cordão umbilical,Como o feto vive no útero e cordão umbilical,gpt-5.4-nano,resp_04177731e7db4991006aa5e899e94087d2a0b201082473713b,,,
21,148,"['doença', 'rosto', 'tem', 'bochechinha', 'quantos', 'bebê', 'pezinho', 'aparência', 'verde', 'essa']",50,2453f69e99f3fce42e47bc3f93c67017fee4cf5dbeef121440e48e455c54f948,Doenças e exames do bebê,Problemas de saúde e exames infantis,Condições de saúde do recém-nascido,gpt-5.4-nano,resp_08ee476d982bd671006aa5e89b0eec87d29d78bdf4f331bda0,,,
22,130,"['grávida', 'você', 'está', 'verdade', 'estava', 'vindo', 'esta', 'engravidou', 'grávidos', 'contou']",50,46693e21b281327a8d6763d09d5afa71835c2f39c9a70075463059a717a626fe,Confirmação de gravidez e sinais,Certeza sobre estar grávida,Suspeita e confirmação da gravidez,gpt-5.4-nano,resp_01bb24e8f9983b44006aa5e89c467487d2b383813ab1002637,,,
23,129,"['quantos', 'meses', 'semanas', 'idade', 'última', 'gestacional', 'gestação', 'correspondem', 'contagem', 'data']",50,dbcce5e09744b58e48a761ddf411003dec30fc777b4e0f7659674b151ccea41e,Idade gestacional em meses e semanas,Contagem da idade gestacional em semanas e meses,Correspondência entre meses e semanas de gestação,gpt-5.4-nano,resp_06251391d2776381006aa5e89d38c487d2a1ba8e12f27ccf5f,,,
24,158,"['embrião', 'feto', 'vida', 'considerado', 'vivo', 'humano', 'um', 'cauda', 'espermatozoide', 'humana']",50,445df65a6871d7580e8bc542e7ebbea73e1b18e711863feb2bb491a44bfd3ecd,Vida do embrião e do feto humano,Embrião e feto considerados seres vivos,Embrião e feto como vida humana,gpt-5.4-nano,resp_08440c572cb655e6006aa5e89f834887d282d628ec1abdb645,,,
25,122,"['mei', 'auxílio', 'maternidade', 'direito', 'receber', 'pagar', 'salário', 'parcelas', 'quem', 'atrasadas']",50,e3d20032af98e873f59317eb5b1cbf5fba2c4687373b9b53a2f1e339fb440b13,Direitos do MEI ao salário maternidade,Quem é MEI tem direito ao salário-maternidade,Auxílio salário maternidade para MEI,gpt-5.4-nano,resp_063ea7337bfd1859006aa5e8a0e5b887d2b5c929252f237d28,,,
26,136,"['anos', 'aos', 'engravidar', '35', '44', 'mulher', '40', 'ainda', 'possível', 'endometriose']",50,8110f1fbc78e2d959aa731cfc5c5a0c045dbd1443cff5344b759962681ead0d4,Gravidez após os 35 anos,Possibilidade de engravidar após 35,Idade materna e chance de engravidar,gpt-5.4-nano,resp_072a170921390669006aa5e8a1f30087d29f617eb3f4c9b6f1,,,
27,148,"['parto', 'posição', 'durante', 'deitada', 'parir', 'médicos', 'trabalho', 'acontece', 'cabeça', 'mulheres']",50,27b08fbc6b250b68fbad17dd56580b81224487353fde5f3e0a5f2465f3886cf2,Posições e dinâmica do parto,Mudança de posição no parto,Como acontece o parto durante o trabalho,gpt-5.4-nano,resp_095a9ded11059b0c006aa5e8a2faec87d2942b4c5c9003a0c1,,,
28,130,"['olívia', 'nascer', 'vai', 'olivia', 'dia', 'fevereiro', 'janeiro', 'no', '29', '30']",50,fed5a5416a6e78fdf70399a5795a5e225b35b378091117b9a088511f1ea6cad1,Previsão de nascimento da Olívia,Quando a Olívia vai nascer,Data provável do parto da Olívia,gpt-5.4-nano,resp_06fc78298446b2e6006aa5e8a3faa487d2821067eb445a6b45,,,
29,138,"['dormir', 'mamar', 'noite', 'peito', 'sono', 'acordar', 'rotina', 'bruços', 'pegar', 'dorme']",50,f564ed5ec3329a619791cf58b7243867bd3916e30faf4066f5783af4b2e92be6,Rotina e sono do bebê ao mamar,Sono do bebê e amamentação,Rotina noturna do bebê no peito,gpt-5.4-nano,resp_0dcc73b99cba34d0006aa5e8a5661087d2a4cccf40f19423a4,,,
30,131,"['aborto', 'abortar', 'alguém', 'vida', 'pessoas', 'favor', 'coragem', 'matar', 'sobre', 'como']",50,2c5dae85cf94052b10421663befe3ce8af3e9a9aeba553cfff463d33a521705d,Aborto como direito e vida,Aborto escolha e valor da vida,Aborto matar e direito de interromper,gpt-5.4-nano,resp_0f8b00c54d4e6da8006aa5e8a69e8487d29dd84ef6b496d993,,,
31,127,"['sexo', 'menino', 'saber', 'menina', 'descobrir', 'sexagem', 'identificar', 'ultrassom', 'indica', 'do']",50,6f1a3b0c3c729c40cb77035fd6ea6fd679ce3da11d27d0e280867dddaf665d2e,Descoberta do sexo fetal na gravidez,Identificação do sexo do bebê na gestação,Saber o sexo do bebê durante a gravidez,gpt-5.4-nano,resp_0d07617c57c07041006aa5e8a8069c87d2b4d697f0ca7684e2,,,
32,116,"['creche', 'criança', 'meses', 'palavras', 'ano', 'colocar', 'fala', 'frases', 'falar', 'desenvolvimento']",50,c39326d9a4e6df19ea8ef4d936e26ab260632b4b6e1d21d0d7741a4b5ed2885a,Adaptação e desenvolvimento na creche,Colocar bebê na creche e desenvolver,Desenvolvimento infantil na creche,gpt-5.4-nano,resp_0c6b17fb52042485006aa5e8a91a6487d296d0173365c6cfde,,,
33,143,"['menina', 'menino', 'será', 'tabela', 'bebê', 'ou', 'saber', 'chinesa', 'sexo', 'se']",50,5f493ca296ecf6b9abcd6010a972431a3120c2c167a28f5f337e82da08566660,Sexo do bebê e tabela chinesa,Saber se será menino ou menina,Menino ou menina na gravidez,gpt-5.4-nano,resp_04dff28e13e4f2ca006aa5e8aa259c87d29b4474327509d903,,,
34,110,"['katlen', 'ketlin', 'kat', 'ket', 'grávida', 'ketlen', 'novo', 'está', 'novamente', 'passar']",50,f944199c6b2e10172ac5a98519ca024ff8963311bea4ebd7bc9945559f1e41de,Estar grávida de novo,Ela está grávida novamente,Confirmar gravidez novamente,gpt-5.4-nano,resp_04a5b1cfcbb76e6a006aa5e8ab207087d28bc22de9d54c7d6b,,,
35,108,"['estar', 'menstruação', 'menstruado', 'tendo', 'ausência', 'grávida', 'veio', 'indicar', 'mesmo', 'menstruar']",50,01a445663d9242d22150f5a2e92dafe58a5e4e1486c29d0f9c749987697a0ad6,Possibilidade de gravidez com atraso menstrual,Suspeita de gravidez com menstruação ausente,Indícios de gravidez na ausência menstrual,gpt-5.4-nano,resp_0e137ed074236df2006aa5e8ac0d3487d285665cda88931b58,,,
36,132,"['dor', 'analgesia', 'parto', 'mulheres', 'epidural', 'dói', 'comparar', 'algumas', 'durante', 'normal']",50,01f8faf313daefbb80e2aa4d7b0e9a897ef3d7e53db60c65e9870ec98ab239c1,Dor e analgesia no parto,Dor do parto e analgesia epidural,Dor no parto e analgesia durante o trabalho de parto,gpt-5.4-nano,resp_01cccdac89a1b9a4006aa5e8ad0ab087d2bab36438f81ca41d,,,
37,107,"['produção', 'materno', 'leite', 'aumentar', 'posso', 'minha', 'fórmula', 'suficiente', 'voltar', 'colostro']",50,098fc756ac88b8f1f06a05ecac524b13cc834149fb4d27ec6dd58633a98d2175,Aumento da produção de leite materno,Como aumentar o leite materno,Produção suficiente de leite materno,gpt-5.4-nano,resp_0061d29cafa4fb5e006aa5e8ae342087d29006842f7fa19237,,,
38,89,"['alparone', 'giovanna', 'grávida', 'está', 'quem', 'pai', 'real', 'verdade', 'informação', 'falsa']",50,8d2559a84828abecbd56fd0b34ddbc2cf3709ee6400555b29228c4089ca7b2f2,Gravidez atribuída a Giovanna Alparone,Notícia de gravidez de Giovanna Alparone,Afirmação de gravidez de Giovanna Alparone,gpt-5.4-nano,resp_0fb380805eac19a2006aa5e8af756087d280ea8c5931902d3d,,,
39,111,"['bomba', 'tirar', 'leite', 'elétrica', 'bombinha', 'minutos', 'sucção', 'resolver', 'extrair', 'extratora']",50,1d75829ff9a988f905a79b23af7011a96855d0f1530e9383c3dbca58b38ff326,Uso e funcionamento de bomba de leite,Dificuldade na extração com bomba tira-leite,Carregamento e sucção da bomba elétrica,gpt-5.4-nano,resp_001c057b028d0c14006aa5e8b0b33087d2ac3475950296603a,,,
40,103,"['sentir', 'enjoos', 'enjoo', 'normal', 'início', 'gravidez', 'dor', 'ventre', 'azia', 'cólicas']",50,08a6dc77082dd7d832192eee6a5aa8fed5f5785118e9f409909dd0a57c2a4ef6,Enjoo e desconforto no início da gravidez,Náuseas e mal-estar na gestação inicial,Enjoo e sintomas gástricos na gravidez,gpt-5.4-nano,resp_0930e861902cb491006aa5e8b23d3487d284e5ae1beca528da,,,
41,98,"['chá', 'gestantes', 'tomar', 'consumir', 'café', 'podem', 'consumo', 'orégano', 'canela', 'limão']",50,79e48ecd6f81c1c4810e483863a5e4904eb8a3996541a3e300f46aee559a0102,Consumo de chás e temperos na gestação,Chás e temperos durante a gravidez,Aptidão de chás e especiarias na gestação,gpt-5.4-nano,resp_0e5a7e9c2a44acf9006aa5e8b3630c87d29de6057a60009f00,,,
42,88,"['tia', 'sara', 'mariana', 'grávida', 'bia', 'está', 'verdade', 'sarah', 'thally', 'sofia']",50,331925ca85dfa459a75f02735fe3b0b7a25945fb6ddccccee6a27fe44056c0e1,confirmação da gravidez,é verdade que está grávida,declaração de gravidez verdadeira,gpt-5.4-nano,resp_08a3972859e1daf8006aa5e8b4869087d2843e87266eceed80,,,
43,152,"['negativo', 'atraso', 'menstrual', 'teste', 'negativos', 'testes', 'estar', 'atrasada', 'farmácia', 'mesmo']",50,08cdfe67474019944d4569d0744be24b48dc3b24cce4c2e8f40ae309e8c2750f,Gravidez com teste negativo e atraso menstrual,Possibilidade de gravidez com atraso menstrual,Teste negativo na gravidez com atraso menstrual,gpt-5.4-nano,resp_0be015612015bcef006aa5e8b5a44087d29bbf8160d96714de,,,
44,102,"['placenta', 'remoção', 'mão', 'remover', 'manual', 'retirada', 'braço', 'anestesia', 'poderia', 'vagina']",50,456dd922ad143025df177c730f7d0d21ddf53649f65798237c8f347f1fd2c62a,Remoção manual da placenta,Retirada manual da placenta,Remoção da placenta por mão,gpt-5.4-nano,resp_0f637f035b7cdc25006aa5e8b6961c87d2a1dde999764a860a,,,
45,87,"['sus', 'pelo', 'natal', 'pré', 'realizado', 'analgesia', 'escolha', 'lei', 'gestante', 'escolher']",50,525ccab4f3839e93a71ab6129e555e0ea9bef83e49059aeb2d9523ddec8c6fba,Direito de escolha no parto pelo SUS,Escolha do tipo de parto no SUS,Direitos da gestante no SUS parto,gpt-5.4-nano,resp_052778a4daab4e06006aa5e8b7800887d2b54d9e75f05061e7,,,
46,125,"['filho', 'outro', 'vocês', 'vão', 'ter', 'quer', 'filhos', 'você', 'segundo', 'vai']",50,c006d388573e42743e689817c9bea6e87b1b409932f97edb286e5931013291c0,Planejamento de ter mais um filho,Intenção de ter outro filho,Tentativa de ter novo bebê,gpt-5.4-nano,resp_0387cc78ed071d85006aa5e8b86d6487d2b28fa469c0fab2f1,,,
47,96,"['oxigênio', 'respirar', 'procedimento', 'luvas', 'rápido', 'sonda', 'precisar', 'esse', 'uti', 'tão']",50,d4a19da52f10e185c916c918c5092970e571904dac800a633326d1425120a0ba,Oxigênio e suporte respiratório neonatal,Uso de oxigênio em UTI neonatal,Respiração assistida em UTI neonatal,gpt-5.4-nano,resp_04f3f39c3548ee37006aa5e8b9be1c87d2b465b5a06b60e9b8,,,
48,89,"['falsa', 'barriga', 'mostrada', 'parece', 'mentira', 'vídeo', 'dela', 'verdade', 'verdadeira', 'essa']",50,91e1411433fe3caf2a1ab10ae84d4274db89fbf6255c57b1a8a3ed8350b89d84,Barriga falsa ou verdadeira,Barriga mostrada verdadeira,Barriga de mentira ou real,gpt-5.4-nano,resp_019ad8e1c55d217c006aa5e8baaf1c87d2b20a18f8617f2227,,,
49,86,"['vitamina', 'b12', 'gotas', 'ui', 'd3', 'k2', 'crianças', 'dar', 'vitaminas', 'dose']",50,cfe73b9b39c1b9872e0f39edf12a3d8691b1c1dd3635426d6d98413023470f8b,Suplementação de vitaminas em crianças,Doses de vitaminas para crianças,Uso de vitaminas e suplementação infantil,gpt-5.4-nano,resp_0fd225bf932aad68006aa5e8bba2fc87d29910952d7e7ce568,,,
50,84,"['peso', 'kg', 'mensagem', 'pesar', 'levar', 'quilos', 'nasceu', 'pesagem', 'medir', 'vacinar']",50,8a74bda739dd1595ea77ee322a84d43a05993c30c81a28d4e14270ef3b02c4e2,Pesagem e medida do bebê,Peso e tamanho do recém-nascido,Acompanhamento do peso infantil,gpt-5.4-nano,resp_0f8653e5f74d0d64006aa5e8bcb66087d2864a1f834b2ce5cf,,,
51,100,"['tudo', 'certo', 'parto', 'deu', 'bem', 'ocorreu', 'acompanhante', 'foi', 'ela', 'conseguiu']",50,7f0f40c85f41b81e9deb38511ce01fe13429c0a25abb4b720a1aaa704a2a4d07,Como foi o parto normal,Parto normal ocorreu bem,Evolução do parto normal,gpt-5.4-nano,resp_0c2a7ebaa5a16a9c006aa5e8bdbc5c87d2bbd73c8729ddc3fc,,,
52,86,"['eclâmpsia', 'pressão', 'pré', 'arterial', 'alta', 'risco', 'parceiro', 'afetar', 'baixa', 'hellp']",50,888af07aae85d74b22d0c25f2c064dd26ccb70b258095dd854f8ec055dc2b6e7,Pré-eclâmpsia e pressão arterial na gravidez,Risco de pré-eclâmpsia e pressão alta,Sinais e manejo da pré-eclâmpsia,gpt-5.4-nano,resp_05ebf6d3fcd1f847006aa5e8bebeec87d2b11909bae0f0774a,,,
53,87,"['plano', 'saúde', 'carência', 'convênio', 'reembolso', 'cobre', 'cobertura', 'parto', 'contratar', 'custos']",50,322c0c6b3ee97df00bc794d05478e188ccfd1bc9547466410c0c0efc5955ddbb,Cobertura do plano no parto,Carência e cobertura obstétrica no parto,Reembolso e cobertura do parto,gpt-5.4-nano,resp_085ef5a11948041c006aa5e8bfcfa087d2805d5d2ae71b8b0b,,,
54,100,"['família', 'bolsa', 'recebe', 'vacinar', 'benefício', 'pesar', 'posto', 'medir', 'perde', 'quem']",50,7608c3e4fc78d021b07dc8f50e0223df43ac62833af42caf469187cbc1e84541,Bolsa Família e auxílio-maternidade,Bolsa Família e salário-maternidade,Bolsa Família e licença-maternidade,gpt-5.4-nano,resp_01ee1c58e0c3d41a006aa5e8c0d3f087d299cb010b108e590a,,,
55,109,"['pai', 'homem', 'quem', 'onde', 'filho', 'criança', 'dos', 'será', 'bebês', 'do']",50,5f36dabbd11123c8f7a7da5ac6b8d353b37a968d9269d367b76560c4ffbe67bf,identificação do pai do bebê,quem é o pai do bebê,paternidade do bebê,gpt-5.4-nano,resp_0cfb16d18570e5dd006aa5e8c1c94c87d29bd95596f1d2db8b,,,
56,83,"['mala', 'levar', 'roupa', 'roupas', 'tamanho', 'maternidade', 'hospital', 'rn', 'itens', 'coisas']",50,96dad5c42f5f1dc4cb2e7639fa259ec6bc40c8c643aa549114c13f61234376aa,Mala maternidade para o hospital,Itens da mala maternidade hospital,O que levar na mala da maternidade,gpt-5.4-nano,resp_098173191e5cff4f006aa5e8c4629087d28dca3cf7bf810607,,,
57,69,"['emily', 'vick', 'emilly', 'grávida', 'está', 'verdade', 'sarah', 'realmente', 'brincadeira', 'verdadeira']",50,bf86486f0680d36d1c5b4db7e27e01fe2d88f7b775be3c38b9ec04a5ac1e7a16,Emily e gravidez confirmada,Emily Vick e gravidez verdadeira,Emily grávida em questão real,gpt-5.4-nano,resp_0dd98004d2dc6491006aa5e8c54a6087d2a65187ee224cf8f9,,,
58,73,"['cálcio', 'magnésio', 'suplementação', 'tomar', 'deve', 'tomado', 'tipo', 'eclâmpsia', 'gestação', 'pré']",50,26895da9df501433dc39e7d0f5f5fbb09dc4a637c06bebba8ac1edec879571c8,Suplementação de cálcio e magnésio na gestação,Uso de cálcio e magnésio na gravidez,Suplementos de cálcio e magnésio na gravidez,gpt-5.4-nano,resp_030a561682386f60006aa5e8c6291c87d2898efad7210ae751,,,
59,90,"['teste', 'positivo', 'deu', 'resultado', 'falso', 'negativo', 'testes', 'digital', 'gravidez', 'exame']",50,5a4d50fff3b42cc2bae25bfbb86d32364b4b7221bcb9001f9bfa396e6b134868,Resultado de teste de gravidez,Interpretação do teste de gravidez,Confiabilidade do teste de gravidez,gpt-5.4-nano,resp_082cec1c882287bd006aa5e8c7264c87d2860d4de7c5a60cf1,,,
60,65,"['barriga', 'kg', 'dura', 'crescer', 'endurecer', 'normal', 'gestante', 'cresceu', 'engordar', 'mole']",50,625b9a87ce1165b1273156b06892cfef350486eaab595c9458fd81724f81156e,Barriga não cresce na gestação,Barriga pequena na gravidez,Pouco crescimento da barriga gestante,gpt-5.4-nano,resp_0d01806e0133eea5006aa5e8c8220c87d2bb4511f93952ef17,,,
61,62,"['laqueadura', 'tubária', 'feito', 'há', 'tendo', 'fazer', 'mesmo', 'anos', 'feita', 'fez']",50,9bf455fab069cc552970e3ac25e7ddd39fd450314b703f5b5c70f0ce93f18a26,Falha da laqueadura e gravidez,Possibilidade de gravidez após laqueadura,Risco de gestação após laqueadura tubária,gpt-5.4-nano,resp_0f680c9fe95bfc1a006aa5e8c92e1c87d28956ddb6d8529c99,,,
62,80,"['sangramento', 'marrom', 'borra', 'início', 'café', 'semanas', 'coágulos', 'gravidez', 'cólicas', 'coágulo']",50,37e1d659ad60c881f7863cf26d21185866db56180ee52fef65b2d2fd6a1769e3,Sangramento no início da gravidez,Sangramento inicial na gestação,Sangramento precoce na gravidez,gpt-5.4-nano,resp_0e7ebb0d1409ccee006aa5e8ca15ac87d283e07a3f1da5e66f,,,
63,91,"['dilatação', 'cm', 'colo', 'trabalho', 'centímetros', 'útero', 'parto', '10', 'dilatar', 'chega']",50,feb97ff49df96efd77cbc6b628cf8e4f08980a0ea8b97340caf66b3f2589f629,dilatação do colo no trabalho de parto,evolução da dilatação no parto,quanto dilata o colo uterino,gpt-5.4-nano,resp_02c8cb072e985142006aa5e8cb121487d294f15ecaa2464e89,,,
64,96,"['filhos', 'condições', 'mundo', 'filho', 'criar', 'ter', 'têm', 'cuidar', 'mulheres', 'sofrer']",50,a4f815f1a2351687b757dab0d9029773bc1ce7a202236fbbffd35bb921666c5d,Ter filhos apesar de falta de condições,Ter filhos sem condições de cuidar,Gravidez e maternidade com dificuldades,gpt-5.4-nano,resp_014f69afe9590269006aa5e8cc411887d2a44bd851f4f9e5cf,,,
65,63,"['barriga', 'falsa', 'mostrada', 'mentira', 'tamanho', 'grande', 'real', 'essa', 'verdadeira', 'desse']",50,9e5590c77786a0315b10721624cc747d8b23f90be5e6e9c74d428656b3dda407,Barriga falsa na gravidez,Gravidez verdadeira ou barriga falsa,Barriga de grávida verdadeira,gpt-5.4-nano,resp_02934a435f120792006aa5e8cd34b887d2ba97892ec66d7f3c,,,
66,89,"['prematuro', 'nasceu', 'quantas', 'semanas', 'nasce', 'ocorreu', 'complicações', 'gestação', 'sete', 'meses']",50,31fc15f90b318b6fb201d3f184d8fe32a7981501cdbe3488a2b3c772e1fe8313,Idade gestacional e nascimento prematuro,Semanas de gestação do parto prematuro,Nascimento do bebê e idade gestacional,gpt-5.4-nano,resp_0163f61ad88fae1f006aa5e8ce291087d2910a2b0273c48433,,,
