Topic_ID,Title,Count
0,maternidade | salário | auxílio | direito | inss,1267
81,rosado | sangramento | marrom | pequeno | corrimento,72
82,giovana | giovanna | pai | grávida | namorado,51
83,cesárea | corte | camadas | realizar | mãos,65
84,menopausa | hormonal | anos | reposição | aos,58
85,seu | muda | luz | você | estão,68
86,mia | irmã | irmão | cuidar | reação,70
87,banho | recém | nascido | água | vernix,99
88,barriga | distensão | falar | grande | bebê,67
89,mioma | miomas | 42 | cirurgia | cm,57
90,pai | neto | leia | luccas | lucas,56
91,indução | shake | indutor | induzir | receita,76
92,hospital | médico | tomou | consulta | medicamento,76
93,fez | teste | confirmar | exame | você,79
94,mexer | sentir | movimentos | 17 | semanas,62
95,conjuntivite | usado | olhos | olho | tratar,78
96,estrias | óleo | melasma | cicatricure | prímula,66
97,exercícios | exercício | começar | fazer | correr,61
98,coração | ouvir | batimentos | doppler | fetal,47
99,descobrir | remédios | prejudicar | tomar | formação,71
100,sexuais | relações | sexual | relação | tiveram,71
101,data | prevista | nascimento | olívia | janeiro,70
102,clarinha | mãe | sabe | novo | esperando,61
103,ácido | fólico | metilfolato | ferroso | sulfato,52
104,bombinha | elétrica | bomba | carregada | sucção,63
105,remédio | engravidar | existe | impedir | tentando,65
106,comer | suco | comida | alimentar | introdução,64
107,engravidar | tentando | vocês | tentar | tentativas,73
108,fértil | relação | período | ovulação | engravidar,71
109,exercícios | preparar | preparação | feitos | esses,63
110,contexto | gestação | segunda | evoluiu | toda,53
111,diabetes | gestacional | glicemia | jejum | relacionado,55
112,pai | quem | estiver | mencionada | nessa,45
113,ejaculação | calcinha | penetração | sêmen | proteção,42
114,urinária | pélvica | fisioterapia | vagina | incontinência,58
115,experiência | natural | parto | você | pretende,84
116,sintomas | esses | indicar | podem | descritos,56
117,gi | grávida | mostrar | zoro | está,69
118,materno | leite | oferecer | paterno | geladeira,91
119,mounjaro | enquanto | amamentando | alguma | amamentava,57
120,linha | teste | fraca | farmácia | linhas,50
121,lado | dormir | esquerdo | cima | mal,69
122,revelação | chá | descobrir | vai | sexo,62
123,perdeu | kamylinha | engravidou | perder | camilinha,70
124,histerectomia | total | progesterona | fez | repor,42
125,urina | xixi | colocado | teste | caseiro,47
126,contrações | dilatação | doem | dor | parto,67
127,sonhar | significa | luz | dando | sonho,64
128,pós | inchada | diástase | barriga | desinchar,44
129,estupro | caso | estuprada | cuidar | permitido,54
130,útero | ovários | progesterona | usar | tem,60
131,homens | engravidar | faz | sabem | ovodoação,47
132,menino | menina | acha | certeza | será,86
133,baleia | filhote | amamentação | baleias | água,69
134,alimentação | fome | alimentos | durante | dieta,66
135,cocô | fezes | evacuar | verde | força,43
136,anos | 16 | adolescente | 15 | pessoa,46
137,farmácia | negativo | testes | teste | sangue,69
138,sangramento | vermelho | vivo | apareceu | relação,42
139,seios | nos | dor | sentiu | sentir,50
140,domperidona | produção | aumentar | materno | leite,52
141,outro | ela | vem | filhos | jovem,46
142,quantas | quantos | meses | você | gestação,54
143,bolsa | estourou | contrações | estourar | romper,59
144,placenta | descolamento | acontece | baixa | fica,71
145,dói | anestesia | cesariana | cesáreas | sente,69
146,episiotomia | laceração | evitar | humanizado | parto,48
147,aas | aspirina | eclâmpsia | pré | trimestre,32
148,percentil | semanas | 34 | gestação | kg,43
149,pós | disso | normais | partos | sentiu,57
150,sintomas | sintoma | sentiu | quais | mesmos,52
151,semanas | 39 | entrar | 40 | induzir,62
152,recuperação | cesariana | cesárea | após | pós,65
153,cabelo | crescer | materno | crescimento | queda,63
154,teste | devo | fazer | atrasar | repetir,61
155,reflexo | vermelho | olho | preto | aparecer,42
156,ferro | suplementação | ferritina | endovenoso | deficiência,40
157,trompas | ectópica | trompa | obstruídas | engravidar,39
