comment_id,comentario,titulo,comentario_pai,perguntas,source_topic_id,source_topic_name,fine_topic_id,fine_topic_name
UgzTGHoeT4KiurXtQad4AaABAg,Ela ta gravid???,Será que a tia Sara está grávida mesmo?,,Ela está grávida?,3,3_grávida pessoa_grávida grávida_mamãe_engravidou,3,3_ela_grávida_está_pessoa
UgxOtBGybrJRAq52LAV4AaABAg,Sinto muita dor de cabeca usando ultragestan. Isso é normal?,Progesterona: Como Escolher a Melhor Via e Maximizar os Benefícios - EP03 | Tipos de Reposição,,É normal sentir muita dor de cabeça ao usar Utrogestan?,2,2_100 mg_vaginal_200_hormônios,2,2_progesterona_via_oral_vaginal
Ugx5Jli0vfaWPTCMwI54AaABAg.AQR87QMdtAmAVabV6vpsJA,", qual código você usou?",O código que deve ser pago para desempregadas receberem o auxílio maternidade,E se recebe bolsa família e pagar essa guia corta o bolsa família?,Qual código foi usado para pagar a guia do auxílio-maternidade?,0,0_solicitar_auxílio_benefício_contribuiu,0,0_maternidade_salário_auxílio_direito
UgxVozJ82T2k0dSVe4d4AaABAg,É uma menina?,ESCOLHENDO O NOME DO BABY SE FOR MENINO 🩵 #paternidade #maternidade,,O bebê é uma menina?,-1,-1_ovulação_fazer teste_amamentando_posição,33,33_menina_menino_será_tabela
Ugzt9K7I5GQ8BB-eEjh4AaABAg,"Oii, uma dúvida, vc teve ou ten algum sintoma de gravidez? Nova por aqui. Deus abençoe sua gestação e toda sua família","BATE PAPO SOBRE PRÉ NATAL, SUS E PLANO DE SAÚDE | MENINO OU MENINA? | RECEBI COMENTÁRIOS MALDOSOS",,Você teve ou tem algum sintoma de gravidez?,150,150_quais sintomas_sintoma gravidez_apresentar_gestação quais,150,150_sintomas_sintoma_sentiu_quais
UgxVEq_bWJNrNCpqZ6h4AaABAg,A minha funcionou mas não quer desligar,Bombinha de tirar leite não faz Sucção - Como resolver bomba de tirar leite não funciona,,"A bombinha de tirar leite está funcionando, mas não desliga; como resolver isso?",39,39_bombinha_resolver_silicone_fazendo,39,39_bomba_tirar_leite_elétrica
UgzNjc-xPHVCdLSvYc94AaABAg.AFmr30fM5WDATmK_bTy0CQ,"​ por isso é melhor o metilfolato, pq como vc vai saber se o seu organismo converte ou não o acido folico no corpo? Mais seguro o metilfolato.","Ácido Fólico ou Metilfolato na gravidez, qual é o melhor?",Metilfolato é muito superior e faz diferença sim!,Como saber se o organismo converte o ácido fólico no corpo durante a gravidez?,103,103_ácido_recomendação_deve tomado_tentando engravidar,103,103_ácido_fólico_metilfolato_ferroso
UgynnyoFPZ_tWMyuvw94AaABAg,Tadinha da Ket!! Vc tá bem?? O Davi vai ganhar irmãozinho??💜💜💜🧡🧡🧡💚💚💚possivelmente não é algo q ela comeu?? E passou mal!!,EU ESTOU MESMO GRAVIDA? *pronunciamento,,O Davi vai ganhar um irmãozinho?,69,69_irmão_vai ganhar_clara_haverá,69,69_davi_irmão_irmãozinho_davizinho
UgyO5rgKCxYEcwk-w2l4AaABAg,Para que vocês querem ter outro filho,EU ESTOU MESMO GRAVIDA? *pronunciamento,,Por que vocês querem ter outro filho?,46,46_ter outro_vão ter_ter filho_dois filhos,46,46_filho_outro_vocês_vão
UgyOXXfS9ErjrWt8aNJ4AaABAg.AKKC1vcDlTKAUBmd-ofwmu,Ensina como são as rotinas por favor,DICAS ESSENCIAIS para rotina de sono para bebês de 0-3 meses | Dra. Ana Jannuzzi,"Aqui em casa minha bebê ja dorme sozinha no berço, mas fico alerta nos sinais que ela vai demostrando de sono, nao deixo ela chegar no pico do estresse para colocar dormir, ela acorda faço a troca de fralda, dou o mama, faço os exercícios, tummy time, quando ela começa bocejar, ja vou ajeitando ela para dormir, ela dorme em torno de 2h30 e fica acordada 1h30. Assim vai intercalando a rotina do sono com passeios do lado de fora, brincadeiras no tapetinho entre outros. De noite hoje com 2 meses e 5 dias ela ja dorme a noite toda, acorda 2 vezes para mamar. Sei como foi difícil fazer com que esta realidade de hoje, virasse uma rotina, as pessoas acham q eles trocam dia pela noite, que tem q dormir direto na claridade e aqui nunca foi assim. Eu tenho um ritual do sono durante o dia e um durante a noite, e assim deu certo! Dai quando chegam aqui e ela esta dormindo, falam q ela não vai dormir de noite, só olho e penso, pobre inocente, mal sabe que ela dorme q é uma beleza de noite, quando dorme bem durante o dia! Tentei explicar várias vezes e não adianta, hoje não falo mais nada, mas também nao aceito opinião sem ter pedido, ou de quem não é profissional da área.",Como são as rotinas de sono para bebês de 0 a 3 meses?,29,29_durante dia_mamar_madrugada_chorar,29,29_dormir_mamar_noite_peito
UgwzcKgNVp4fz1wpfmN4AaABAg,E essa bola no cordão umbilical é o que?,Embrião 😱 #medicina #medico #enfermagem #enfermeiro #enfermeira Vida Gestacional e Fetal,,O que é essa bola no cordão umbilical?,20,20_dentro útero_cordão umbilical_bebê dentro_cabeça baixo,20,20_dentro_cordão_umbilical_útero
Ugygbm0LrmJsFayhTOZ4AaABAg,QUE BACANA! QUE LEGAL TER DOIS SACOS GESTACIONAL! SERA QUE VAO NASCER IDÊNTICOS?,E dessas curiosidades sobre a gestação de gêmeos vocês sabiam? ❤️❤️,,Bebês que se desenvolvem em dois sacos gestacionais vão nascer idênticos?,15,15_gêmeos_dois bebês_único_diferentes,15,15_gêmeos_trigêmeos_bebês_são
UgyiPQX4YHPAZtWwD8x4AaABAg,Você tá grávida,Quando você acha que a mulher está grávida mas não está #humor,,Você está grávida?,22,22_verdade grávida_gravidez segunda_sério_gravidez mulher,22,22_grávida_você_está_verdade
UgyuI9_dM1jHDm9DjiV4AaABAg,você tá grávida ??,Será que a tia Sara está grávida mesmo?,,A pessoa a quem o comentário se refere está grávida?,3,3_grávida pessoa_grávida grávida_mamãe_engravidou,3,3_ela_grávida_está_pessoa
UgyVB3vqqr3QRiFnNsp4AaABAg,Essa confusão de bico é mais pra recém nascido ou bebezinhos um pouco mais velhos tbm correm o mesmo risco?,Como NÃO CAUSAR a famosa CONFUSÃO DE BICO. no meu bebê? 🍼👶,,A confusão de bico acontece mais em recém-nascidos ou também em bebês mais velhos correm o mesmo risco?,-1,-1_ovulação_fazer teste_amamentando_posição,10,10_mamadeira_seringa_alimentar_dar
UgwIZP9CBxUK1ZwEhux4AaABAg.AW00eAW0dwNAW00vnZoCJc,gostaria muito de fazer algo pra ajudar ela me ajude a fazer algo pra ela,Endometriose: O Guia Definitivo para Entender e Tratar a Dor,"Boa noite eu telho uma amiga ela tem dois filho sufreo muito na gravidez e recenti menti descubreu qui tem Emetreozi tem muita ,dor qui conselho eu dou pr ela eu amo tanto ela relho comu uma filha de coração telho tres filhos idade 63",O que posso fazer para ajudar uma amiga que sofreu muito na gravidez e descobriu que tem endometriose?,-1,-1_ovulação_fazer teste_amamentando_posição,-1,-1_que_bebê_por_algo
Ugzywc0vjCVWEiXrWFN4AaABAg.AI4be1cnXS_AIkUV8llmkK,isso não faz mal pro bebê?,Dormir do Lado Errado 😱#medicina #medico #enfermagem #enfermeiro #enfermeira Dormir na Gestação,Na minha premeira filha dormia de barriga pra baixo 😂😂😂 tinha um buraco no colchão que se encaixava perfeitamente.,Dormir de barriga para baixo na gestação faz mal para o bebê?,121,121_dormir_lado esquerdo_barriga cima_nessa posição,121,121_lado_dormir_esquerdo_cima
Ugydirc7Wqqso4vtwOd4AaABAg,Quem vai ser o pai em?,giovanna alparone está grávida?? #luccasneto #trollface #shorts #alightmotion #humor #viralvideo,,Quem será o pai do bebê?,55,55_pai bebê_descobriram_pessoa comentou_diferenciar,55,55_pai_homem_quem_onde
UgxaGbbrjiiKvSYom4N4AaABAg,"Boa tarde, mãezinha, não seria melhor procurar um outro médico para ouvir mais alguma opinião ? Ele é um bebezinho lindo e inteligente",PQ A BARRIGA DE KALEB DISTENDE TANTO? 😩 #fyp #maternidade #foryoupageofficiall,,Não seria melhor procurar outro médico para ouvir mais uma opinião sobre o bebê?,-1,-1_ovulação_fazer teste_amamentando_posição,30,30_aborto_abortar_alguém_vida
Ugw4fT9F5QiHVaygo_14AaABAg,Ela fez com qual cachorro!?,A ESTRELA TÁ GRÁVIDA DE 5 FILHOTES *Ganhamos novos Pets?,,Com qual cachorro a Estrela cruzou para ficar grávida de cinco filhotes?,74,74_ficou grávida_cinco_meninos_descobriram,74,74_estrela_filhotes_dos_pai
Ugwo7m0WTokrb8nxT2F4AaABAg,31 semanas Perdi um muco igual catarro com sangue e hoje começou dores lombar queima,Como saber se estou tendo dilatação? | 5 SINAIS DE DILATAÇÃO,,"Com 31 semanas de gravidez, perder um muco com sangue e começar a sentir dor lombar em queimação pode ser sinal de dilatação?",6,6_38_semanas dias_39 semanas_33 semanas,6,6_dilatação_semanas_38_contrações
UgzBXe4Ud_b4eCLIuWh4AaABAg.AKY0y7XdJYwAKfykG_z91U,Está fazendo o pré-natal direitinho?,Como saber se estou tendo dilatação? | 5 SINAIS DE DILATAÇÃO,Estou com 26 e estou sentindo todos esses sintomas 😢,A gestante está fazendo o pré-natal direitinho?,-1,-1_ovulação_fazer teste_amamentando_posição,12,12_ultrassom_natal_ultrassonografia_saco
UgwoX3BkjecFu14msAp4AaABAg.AM3-T4Ny10XAMA_kRaWjA1,​ mano realmente existem chances de homens produzirem leite pelas mamas,O PODER DO LEITE MATERNO | Yago Stephano #biologia #animal,Agr faz do leite paterno,Homens realmente podem produzir leite pelas mamas?,-1,-1_ovulação_fazer teste_amamentando_posição,131,131_homens_engravidar_faz_sabem
UgzkXfdISHDARW8Bcfd4AaABAg,Quem.esta na menopausa e toma progesterona volta a menstruar?,Progesterona: Como Escolher a Melhor Via e Maximizar os Benefícios - EP03 | Tipos de Reposição,,Quem está na menopausa e toma progesterona pode voltar a menstruar?,2,2_100 mg_vaginal_200_hormônios,2,2_progesterona_via_oral_vaginal
UgyJL_4efFNDycxVFCV4AaABAg.AMzSg6iAIEtANE3w3uAIY9,Você conseguiu receber?,"Salário Maternidade: Como receber R$ 6.072,00 com Apenas 1 Contribuição!","Eu consegui fazer o pedido. Hoje foi aprovado, glórias a DEUS!!! Está escrito no documento que o início do pagamento é do mês 6, foi aprovado hoje no mês 9. Será que o dinheiro já está lá?",A pessoa conseguiu receber o salário-maternidade?,0,0_solicitar_auxílio_benefício_contribuiu,0,0_maternidade_salário_auxílio_direito
UgyVzLoYt5Jfgo01Zt14AaABAg,Eu quero as 10 indicações. Estou no 8 mês de gestação. 2 cesarianas e agora cheia de dúvidas,5 coisas que TODA gestante deveria saber (mas a maioria ignora!),,"Quais são as 10 indicações mencionadas para uma gestante no oitavo mês de gestação, que já teve duas cesarianas?",19,19_parto cesárea_decisão_normal cesariana_escolha,19,19_cesárea_cesariana_indicações_parto
UgyV3hCGFg09mtC4oIJ4AaABAg,"Nem sempre é fome,pode ser friozinho, dorzinha barriga.Coloca ela no peito, recém nascido precisa do contato com a mãe.Ela não mama no peito?",Ana Vitória levou a Valentina pra tomar vacina e fazer o teste do pezinho ,,O recém-nascido mama no peito?,-1,-1_ovulação_fazer teste_amamentando_posição,10,10_mamadeira_seringa_alimentar_dar
UgyWjrPSLAKCCXbtTrZ4AaABAg,Pera aí ela já fez gogogo para quem não entendeu os bichinhos que fazem go go go go go go eles entram no útero da mãe então a Giovana ela fez go go go go go go??,giovanna alparone está grávida?? #luccasneto #trollface #shorts #alightmotion #humor #viralvideo,,Giovana Alparone já teve relação sexual?,38,38_grávida pai_informação_grávida verdade_15 anos,38,38_alparone_giovanna_grávida_está
Ugyl4IMQklbAEiwKaD54AaABAg,E MENINO OU MENINA,giovanna alparone está grávida?? #luccasneto #trollface #shorts #alightmotion #humor #viralvideo,,O bebê é menino ou menina?,33,33_menina_bebê menino_esperando_sexo,33,33_menina_menino_será_tabela
UgxDq4NXZL-Al0HWp-h4AaABAg,Será q vai ser um mio ? KAKAKAKAKA,A MÃE DA MIA ESTÁ GRÁVIDA ? #gravidez #paidemenina #familia,,Será que o bebê vai ser um menino?,33,33_menina_bebê menino_esperando_sexo,33,33_menina_menino_será_tabela
UgyrN7mCIhC7spnBiRt4AaABAg.AMGbdpW8CnVAMOQKQe5-EL,"​ alguém pode te matar né que não é crime? Porque tu acha que a tua vida ou de qualquer um de nós, vale mais que de um bebê?",Como esta o bebe mais prematuro do mundo? #bebe #baby #RN #prematuro #rubervalpg,"Porisso o aborto é crime sim, doa a quem doer. Com 21 semanas olha como um bebê pode sobreviver e crescer se desenvolver. Deus abençoe esse milagre ❤",Matar um bebê ou uma pessoa não é considerado crime?,30,30_aborto_alguém pode_opinião sobre_pessoas têm,30,30_aborto_abortar_alguém_vida
UgyrN7mCIhC7spnBiRt4AaABAg.AMGbdpW8CnVAMOQKQe5-EL,"​ alguém pode te matar né que não é crime? Porque tu acha que a tua vida ou de qualquer um de nós, vale mais que de um bebê?",Como esta o bebe mais prematuro do mundo? #bebe #baby #RN #prematuro #rubervalpg,"Porisso o aborto é crime sim, doa a quem doer. Com 21 semanas olha como um bebê pode sobreviver e crescer se desenvolver. Deus abençoe esse milagre ❤",Por que a vida de uma pessoa ou de qualquer outro ser humano valeria mais do que a de um bebê?,24,24_vida_considerado_mostrado vídeo_desenvolvimento bebê,24,24_embrião_feto_vida_considerado
UgyiHvqtqexORKeGycp4AaABAg,Levou quantas pintada,giovanna alparone está grávida?? #luccasneto #trollface #shorts #alightmotion #humor #viralvideo,,Quantas vezes ela teve relação sexual para engravidar?,3,3_grávida pessoa_grávida grávida_mamãe_engravidou,3,3_ela_grávida_está_pessoa
UgxCipps4r4UqC9N8Ul4AaABAg.AMpfpCwk0fNASL5wWeZlzi,Vc usa sua progesterona via vaginal ou oral? E qual dosagem? Obrigada,Progesterona: Como Escolher a Melhor Via e Maximizar os Benefícios - EP03 | Tipos de Reposição,"Pra mim a progesterona me faz urinar muito, desincho muito e me faz emagrecer 😊",A progesterona é usada por via vaginal ou oral?,2,2_100 mg_vaginal_200_hormônios,2,2_progesterona_via_oral_vaginal
UgxCipps4r4UqC9N8Ul4AaABAg.AMpfpCwk0fNASL5wWeZlzi,Vc usa sua progesterona via vaginal ou oral? E qual dosagem? Obrigada,Progesterona: Como Escolher a Melhor Via e Maximizar os Benefícios - EP03 | Tipos de Reposição,"Pra mim a progesterona me faz urinar muito, desincho muito e me faz emagrecer 😊",Qual é a dosagem da progesterona?,2,2_100 mg_vaginal_200_hormônios,2,2_progesterona_via_oral_vaginal
Ugy0ZNfdBWolP2bbyMV4AaABAg,3:33 voce vai passar por tjdo isso denovo kat voce ta gravida ?,REAGI AO PARTO DO DAVI *emocionei,,Você vai passar por tudo isso de novo?,11,11_vai passar_três vezes_tudo novo_psicológico,11,11_isso_nesse_caso_luvas
UgwgaWVaEqD_rygTV7F4AaABAg,Meu nome é Natália sou de Recife Pernambuco estou com suspeita de gravidez como faço para descobrir se estou grávida sim ou não❤,PRIMEIRO MÊS DE GRAVIDEZ | Semana a Semana - Sintomas e Desenvolvimento do Bebê | Dr Diego Di Marco,,Como posso descobrir se estou grávida ou não?,-1,-1_ovulação_fazer teste_amamentando_posição,122,122_revelação_chá_descobrir_vai
UgwVPsbzETdfV6ld0E54AaABAg,Será que é menino ou menina,Quero dançar com você filhinho 💙✨ #shortsvideo #shorts #gravida,,Será que o bebê é menino ou menina?,33,33_menina_bebê menino_esperando_sexo,33,33_menina_menino_será_tabela
Ugyo9eDQfwNz1s5Gx_x4AaABAg,Eu quero mais ajudas para ter o parto normal.🙌🙏🙌,Parto normal não acontece por acaso: como se preparar do jeito certo para evitar uma cesárea,,Como posso ter mais ajuda para conseguir um parto normal?,-1,-1_ovulação_fazer teste_amamentando_posição,-1,-1_que_bebê_por_algo
Ugzc7NGvcZACNbGQECV4AaABAg,PK no SUS e nessa posição que e o parto ?,Grávida pode ficar de barriga para cima? Pode parir deitada de costas? Qual é a melhor posição?,,"No SUS, o parto é realizado nessa posição?",45,45_analgesia_pode escolher_acompanhamento_pré,45,45_sus_pelo_natal_pré
UgwCdlXUS4BLY1fh2e54AaABAg.AINabAtyZGJAIO2_7M82Fm,"Eu vou tentar me exercitar em casa pra não ficar tão sedentária, fazer caminhada, reduzir a quantidade de comida e aumentar fibras e água... Menina já pensou? Se ro com 90, final da gravidez vou estar com 100 😫",Muita Burocracia pra fazer os exames e consultas do pré natal pelo SUS #gestante,"Aqui no meu postinho o pré é com enfermeira fiz tudo q vc fez, exames ja pego resultado de tudo com 8 dias o do furinho do dedo fiz na hora também e ja tomei 1 vacina,como ja tomei quase todas da minha primeira gestação, so falto toma +1 com 20 semanas, também tenho que perde um pouco de peso ela ja me encaminhou pra nutricionista...",É possível que eu chegue ao final da gravidez pesando 100 kg se atualmente estou com 90 kg?,60,60_normal barriga_14 semanas_gravidez barriga_kg,60,60_barriga_kg_dura_crescer
UgxiFa7JjZplc_Jjja14AaABAg,Futura mente ele precisará de transplante?,O que nosso filho tem? Contando sua história #maternidade #fy,,"No futuro, ele precisará de um transplante?",-1,-1_ovulação_fazer teste_amamentando_posição,-1,-1_que_bebê_por_algo
UgwR9f2ElCXU0tRlYPx4AaABAg,"Dr, qual sua opinião sobre o uso de mirena? Pra quem já usa como contraceptivo, mas agora pensando em reposição hormonal, no lugar da progesterona via oral?",Progesterona: Como Escolher a Melhor Via e Maximizar os Benefícios - EP03 | Tipos de Reposição,,Qual é a opinião sobre o uso do Mirena?,18,18_lugar_pode machucar_engravidar usando_usar camisinha,18,18_diu_mirena_colocação_implanon
UgwR9f2ElCXU0tRlYPx4AaABAg,"Dr, qual sua opinião sobre o uso de mirena? Pra quem já usa como contraceptivo, mas agora pensando em reposição hormonal, no lugar da progesterona via oral?",Progesterona: Como Escolher a Melhor Via e Maximizar os Benefícios - EP03 | Tipos de Reposição,,"Para quem já usa o Mirena como contraceptivo, ele pode ser usado na reposição hormonal no lugar da progesterona via oral?",18,18_lugar_pode machucar_engravidar usando_usar camisinha,18,18_diu_mirena_colocação_implanon
UgzmZJArgPKzVtSGkPJ4AaABAg,"Quer matar a criança ,sua incompetente ?",Como ele fez isso? #bebe #uti #enfermagem  #rubervalpg,,Essa pessoa quer matar a criança?,75,75_bebê nasceu_aconteceu_criança_nessa situação,75,75_nasceu_matar_bem_criança
UgynAouQK8MCxwIu4tF4AaABAg,"Alguém que não sentiu tanta dor assim? Quando converso a respeito dos meus dois partos, as pessoas acham estranho. Mas foi uma dor bastante suportável. Eu particularmente, achava que seria pior.",Como enfrentar a dor do parto? - Dra. Ana Bárbara Jannuzzi,,É comum não sentir tanta dor durante o parto?,36,36_analgesia_algumas mulheres_parto parto_reduzir,36,36_dor_analgesia_parto_mulheres
UgwwX6QfLchxp0N0WJt4AaABAg.AV9rVlod5tpAVGBce9ovSS,"Aconteceu quase igual a mim. Tomo Desogestrel a 1 ano não tem pausa e Fazia 3 dias sem tomar anticoncepcional pq acabou não deu tempo de ir comprar. No 3 dia Acabei tomando a pílula do dia seguinte e voltei a tomar novamente o anticoncepcional passou 7 dias tomando anticoncepcional, tive relação novamente com ejaculação... Agora não sei se preciso tomar outra pílula do dia seguinte... Estou desesperada com medo.","ESQUECI DE TOMAR A PÍLULA ANTICONCEPCIONAL, E AGORA?",Ola esqueci de tomar a pílula dois dias e no terceiro dia tomei 3 porém no dia que tomei três tive relação corro risco de engravidar foi fora a ejaculação e tomo a anos fiz pausa pra descer dois dias veio marrom depois de dois dias fui tomando de novo,"Depois de ficar 3 dias sem tomar desogestrel, tomar a pílula do dia seguinte e voltar ao anticoncepcional por 7 dias, é necessário tomar outra pílula do dia seguinte após ter relação com ejaculação?",1,1_anticoncepcional_seguinte_trimestral_pausa,1,1_anticoncepcional_pílula_seguinte_tomar
Ugyn4ExZDRrAhbp98IF4AaABAg.AUYXuqcXERrAVFjqh3i2F4,A quantos meses vc toma e amamenta?,Mounjaro passa para o leite materno? Descubra,"Eu estou tomando e amamento minha filha tem 2 anos , tudo normal até aqui 😍",Há quantos meses você toma Mounjaro e amamenta sua filha?,119,119_enquanto_percebeu_efeito_amamentando,119,119_mounjaro_enquanto_amamentando_alguma
Ugw-zalGOyT4GvjtUht4AaABAg,Lorraine eu nao sei mas quando minha irma ficava assim era pq o dentinho dela tava crescendo Pd ser que ela ta enjoadinha ou o dentinho dela ta crescendo. espero ter ajudado❤amo vcs❤,A BEBÊ DA MARIANA GRÁVIDA NÃO QUER DEIXAR NINGUÉM DORMIR...,,Será que a bebê está enjoadinha ou com o dentinho nascendo?,-1,-1_ovulação_fazer teste_amamentando_posição,145,145_dói_anestesia_cesariana_cesáreas
Ugz6hRCzJAKxaaO4ryZ4AaABAg,"Que interessante! Mas e aí como faz? Ja que abosorve, como veste o bebê antea de absorver?",Bebê nasceu coberto de vernix… e encantou o mundo,,Como vestir o bebê antes de o vernix ser absorvido?,87,87_dar banho_produto_recém_limpar,87,87_banho_recém_nascido_água
UgzZirDHXhVbBwagDDF4AaABAg,Amaria entender pq alguns ginecologistaS durante i.climaterio prescrevem DIU ou mini pilula!Nao serie mais facil integrar o q falta?,Progesterona: Como Escolher a Melhor Via e Maximizar os Benefícios - EP03 | Tipos de Reposição,,"Por que alguns ginecologistas, durante o climatério, prescrevem DIU ou minipílula em vez de repor o que está em falta?",84,84_reposição hormonal_fazer reposição_menor_menstruando,84,84_menopausa_hormonal_anos_reposição
Ugx-o6xj5at9c3oOIBN4AaABAg,Faz vídeo dos seus perfumes atualizados e mostra quais te deu enjôo e os que vc mais usou de boa,SKINCARE E CUIDADOS CORPORAIS NA GRAVIDEZ  - Diário da Gravidez #16 ,,Quais dos seus perfumes atuais causaram enjoo na gravidez e quais você conseguiu usar sem problema?,-1,-1_ovulação_fazer teste_amamentando_posição,150,150_sintomas_sintoma_sentiu_quais
UgxF2GalNdUiJVdELsh4AaABAg,Eu parei de tomar o meu remédio e estou tentando engravidar eu tenho 31 anos meu marido tem 27 quando que vou ovular sinto muito dor no meu seios o que isso?,PRIMEIRO MÊS DE GRAVIDEZ | Semana a Semana - Sintomas e Desenvolvimento do Bebê | Dr Diego Di Marco,,Quando vou ovular se parei de tomar o remédio e estou tentando engravidar?,1,1_anticoncepcional_seguinte_trimestral_pausa,1,1_anticoncepcional_pílula_seguinte_tomar
UgxF2GalNdUiJVdELsh4AaABAg,Eu parei de tomar o meu remédio e estou tentando engravidar eu tenho 31 anos meu marido tem 27 quando que vou ovular sinto muito dor no meu seios o que isso?,PRIMEIRO MÊS DE GRAVIDEZ | Semana a Semana - Sintomas e Desenvolvimento do Bebê | Dr Diego Di Marco,,O que pode significar sentir muita dor nos seios?,-1,-1_ovulação_fazer teste_amamentando_posição,139,139_seios_nos_dor_sentiu
UgxUgNWnc6ZmFpaW30J4AaABAg,"Mas esse vídeo me trouxe uma dúvida: vamos supor que, por qualquer motivo, o bebê não possa ser amamentado pela mãe. Isso teria algum impacto significativo na vida dele quando jovem ou adulto??",O PODER DO LEITE MATERNO | Yago Stephano #biologia #animal,,"Se um bebê não puder ser amamentado pela mãe, isso pode ter algum impacto significativo na vida dele quando jovem ou adulto?",-1,-1_ovulação_fazer teste_amamentando_posição,141,141_outro_ela_vem_filhos
UgySjdr1ox8ljrgZUXp4AaABAg,É que tem que receber alta né,REAGI AO PARTO DO DAVI *emocionei,,"Após o parto, é necessário receber alta hospitalar?",-1,-1_ovulação_fazer teste_amamentando_posição,144,144_placenta_descolamento_acontece_baixa
