Topic,Count,Name,Representation,Representative_Docs
9,151,9_menstruação_menstruar_menstrual_descer,"['menstruação', 'menstruar', 'menstrual', 'descer', 'desceu', 'dias', 'ficar', 'normal', 'atraso', 'mês']","['O que significa a menstruação vir duas vezes quase no mesmo mês, com um sangramento curto, irregular e escuro amarronzado?', 'É normal continuar com dor no bico dos seios, dor de cabeça e cólicas depois de ficar um mês sem menstruar e a menstruação ter descido normalmente?', 'O que pode significar ficar um mês sem menstruar e depois a menstruação descer bastante, com dor nos mamilos, muita cólica e dor de cabeça?']"
10,186,10_mamadeira_seringa_alimentar_dar,"['mamadeira', 'seringa', 'alimentar', 'dar', 'sugar', 'bico', 'chupeta', 'ponta', 'leite', 'recém']","['Por que usar seringa para alimentar o bebê em vez de mamadeira?', 'Não seria melhor usar mamadeira em vez de seringa para alimentar o bebê?', 'Por que não usar um bico de mamadeira na seringa para alimentar o bebê?']"
11,147,11_isso_nesse_caso_luvas,"['isso', 'nesse', 'caso', 'luvas', 'você', 'procedimento', 'essa', 'foi', 'feito', 'certo']","['O que devo fazer nessa situação?', 'Vocês vão passar por tudo de novo?', 'Você vai passar por tudo isso de novo?']"
12,166,12_ultrassom_natal_ultrassonografia_saco,"['ultrassom', 'natal', 'ultrassonografia', 'saco', 'pré', 'transvaginal', 'gestacional', 'exame', 'semanas', 'mostrou']","['Por que o ultrassom feito em 17/03 não mostrou nem o saco gestacional, mas o exame feito no final do mês já mostrou?', 'É normal que, com 5 semanas e 5 dias de gestação, o ultrassom mostre apenas o saco gestacional?', 'É normal o saco gestacional não aparecer no ultrassom da maternidade mesmo com três exames beta-hCG positivos e estimativa de 5 semanas e 9 dias de gravidez?']"
13,155,13_cesárea_cicatriz_seroma_após,"['cesárea', 'cicatriz', 'seroma', 'após', 'líquido', 'pontos', 'normal', 'saindo', 'cirurgia', 'cesariana']","['É normal ficar com os pés inchados por três dias após a cesárea e a laqueadura, seis dias depois do parto?', 'É normal sair um líquido amarelo-claro, sem dor e sem cheiro, 15 dias após uma cesariana?', 'É normal sair um líquido rosado cinco dias após a cesárea e a laqueadura, e o que devo fazer?']"
14,149,14_nidação_sangramento_menstruação_esse,"['nidação', 'sangramento', 'menstruação', 'esse', 'sido', 'pode', 'dias', 'ser', 'leve', 'rosado']","['O sangramento pequeno que tive antes da menstruação pode ter sido nidação?', 'O sangramento vermelho claro e rosado com cólicas leves que ocorreu nos dias 6 e 7/4 pode ter sido nidação em vez de menstruação?', 'Um sangramento marrom, em pequena quantidade, ocorrido uma semana após a relação e 10 dias antes da menstruação pode ser sangramento de nidação?']"
15,150,15_gêmeos_trigêmeos_bebês_são,"['gêmeos', 'trigêmeos', 'bebês', 'são', 'gemelar', 'gêmeas', 'gestação', 'idênticos', 'arthur', 'sofia']","['A gestação é de gêmeos?', 'Como é uma gestação de gêmeos que não são vitelinos?', 'Será que a gestação é de gêmeos?']"
16,135,16_vacina_bronquiolite_contra_abrysvo,"['vacina', 'bronquiolite', 'contra', 'abrysvo', 'beyfortus', 'tomar', 'aplicada', 'vacinas', 'reação', 'covid']","['A vacina contra bronquiolite ainda é indicada para uma criança de 1 ano e 7 meses?', 'Se a vacina Abrysvo foi tomada na gestação, ainda é recomendável aplicar a vacina contra bronquiolite no bebê após os 6 meses de idade?', 'Se a mãe tomar a vacina durante a gestação, o bebê também deve tomar a vacina contra bronquiolite quando nascer?']"
17,167,17_amamentar_amamentação_peito_bico,"['amamentar', 'amamentação', 'peito', 'bico', 'seio', 'pega', 'silicone', 'correta', 'almofada', 'posição']","['Como posso conseguir amamentar meu filho se ele está tomando fórmula e não consegue fazer a sucção na minha mama por eu não ter o bico do peito?', 'O laser no bico do seio pode ajudar na cicatrização durante a amamentação?', 'Como fazer a pega correta para amamentar quando a mãe não tem bico do seio?']"
18,134,18_diu_mirena_colocação_implanon,"['diu', 'mirena', 'colocação', 'implanon', 'colocar', 'fio', 'machucar', 'pênis', 'lugar', 'inserção']","['O pênis encosta no DIU durante a relação sexual?', 'O DIU pode machucar o homem durante a relação íntima?', 'Há risco de engravidar se o DIU sair do lugar durante uma relação sexual?']"
19,185,19_cesárea_cesariana_indicações_parto,"['cesárea', 'cesariana', 'indicações', 'parto', 'cesáreo', 'normal', 'quais', 'são', 'optar', 'as']","['O parto normal ou a cesárea doem?', 'O que é melhor: parto normal ou cesárea?', 'É melhor o parto normal do que a cesárea?']"
20,160,20_dentro_cordão_umbilical_útero,"['dentro', 'cordão', 'umbilical', 'útero', 'respira', 'barriga', 'amniótico', 'fica', 'bebê', 'líquido']","['Como fica o bebê dentro do útero quando está de cabeça para baixo?', 'O bebê se enrola no cordão umbilical dentro do útero?', 'Os bebês brincam com o cordão umbilical dentro do útero?']"
21,148,21_doença_rosto_tem_bochechinha,"['doença', 'rosto', 'tem', 'bochechinha', 'quantos', 'bebê', 'pezinho', 'aparência', 'verde', 'essa']","['É normal que a recém-nascida esteja com o rosto meio branco?', 'É necessário fazer mais exames se o teste do meu filho deu alterado para essa doença de cadeia longa e o segundo teste deu normal, considerando que ele tem 30 dias?', 'Você já ouviu falar de bebês que nascem com o corpo comum, o rosto bem branco como uma máscara e olhos pretos grandes em formato de amêndoas?']"
22,130,22_grávida_você_está_verdade,"['grávida', 'você', 'está', 'verdade', 'estava', 'vindo', 'esta', 'engravidou', 'grávidos', 'contou']","['Você está grávida e vai passar por tudo isso de novo?', 'Você está grávida de verdade e há alguma prova disso?', 'Você está grávida ou é ela que está grávida?']"
23,129,23_quantos_meses_semanas_idade,"['quantos', 'meses', 'semanas', 'idade', 'última', 'gestacional', 'gestação', 'correspondem', 'contagem', 'data']","['Como devo contar a idade gestacional se meu ciclo é irregular e o médico informou que estou com 4 a 5 semanas de gravidez, devo considerar 4 ou 5 semanas?', 'Como fazer a contagem da idade gestacional quando não se sabe a data da última menstruação e o ciclo é irregular?', 'Como devo fazer a contagem da idade gestacional se não sei a data da minha última menstruação e tenho ciclo irregular?']"
24,158,24_embrião_feto_vida_considerado,"['embrião', 'feto', 'vida', 'considerado', 'vivo', 'humano', 'um', 'cauda', 'espermatozoide', 'humana']","['Se o embrião está vivo, ele tem vida?', 'Na medicina, qual é a diferença entre um feto ser considerado apenas um ser vivo e ser considerado vida humana?', 'Qual é a diferença entre um feto ser considerado apenas um ser vivo e ser considerado vida humana pela medicina?']"
25,122,25_mei_auxílio_maternidade_direito,"['mei', 'auxílio', 'maternidade', 'direito', 'receber', 'pagar', 'salário', 'parcelas', 'quem', 'atrasadas']","['Quem está com o MEI desativado, mas contribuiu neste ano, ainda consegue receber o auxílio-maternidade?', 'Uma MEI que contribuiu apenas uma vez em julho deste ano e tem parto previsto para o fim de janeiro de 2026 tem direito ao salário-maternidade?', 'Se eu abrir um MEI agora e pagar a primeira contribuição, ainda consigo receber o auxílio-maternidade, mesmo com minha filha já tendo 4 meses?']"
26,136,26_anos_aos_engravidar_35,"['anos', 'aos', 'engravidar', '35', '44', 'mulher', '40', 'ainda', 'possível', 'endometriose']","['É possível engravidar aos 35 anos?', 'Quem teve eclâmpsia pós-parto há 22 anos pode engravidar novamente aos 40 anos?', 'A idade ou a saúde do esposo de 42 anos pode trazer algum problema para uma gravidez planejada após os 35 anos, ou isso é apenas um mito?']"
27,148,27_parto_posição_durante_deitada,"['parto', 'posição', 'durante', 'deitada', 'parir', 'médicos', 'trabalho', 'acontece', 'cabeça', 'mulheres']","['É sério que parir deitada de costas é realmente a pior posição para o parto?', 'A posição deitada durante o parto pode fazer o bebê demorar mais para sair ou aumentar a dor da mulher?', 'Se parir deitada de costas realmente é pior, por que a medicina continua fazendo o parto dessa forma mesmo com toda a tecnologia e novos conhecimentos?']"
28,130,28_olívia_nascer_vai_olivia,"['olívia', 'nascer', 'vai', 'olivia', 'dia', 'fevereiro', 'janeiro', 'no', '29', '30']","['Olívia vai nascer no dia 28, 29 ou 1º de fevereiro?', 'A Olivia vai nascer no dia 28 de janeiro ou entre 6 e 9 de fevereiro?', 'A bebê Olívia vai nascer no dia 28, 29 ou 30 de janeiro?']"
29,138,29_dormir_mamar_noite_peito,"['dormir', 'mamar', 'noite', 'peito', 'sono', 'acordar', 'rotina', 'bruços', 'pegar', 'dorme']","['O que posso fazer quando meu bebê, no período de exterogestação, sente sono, mas chora quando tento fazê-lo dormir e só consegue dormir no colo?', 'É normal uma bebê de 4 meses querer mamar o tempo todo, dormir e acordar chorando procurando o peito por mais de 12 horas?', 'O que posso fazer para meu bebê dormir a noite toda sem acordar na madrugada para mamar?']"
30,131,30_aborto_abortar_alguém_vida,"['aborto', 'abortar', 'alguém', 'vida', 'pessoas', 'favor', 'coragem', 'matar', 'sobre', 'como']","['Como alguém pode defender o aborto diante do milagre da vida?', 'Como alguém pode achar que o aborto é um direito?', 'Como alguém pode ser a favor do aborto?']"
31,127,31_sexo_menino_saber_menina,"['sexo', 'menino', 'saber', 'menina', 'descobrir', 'sexagem', 'identificar', 'ultrassom', 'indica', 'do']","['Já foi possível saber o sexo do bebê?', 'É possível saber o sexo do bebê com 13 semanas de gestação?', 'É possível saber o sexo do bebê com 9 semanas de gestação por meio do exame de sexagem fetal?']"
32,116,32_creche_criança_meses_palavras,"['creche', 'criança', 'meses', 'palavras', 'ano', 'colocar', 'fala', 'frases', 'falar', 'desenvolvimento']","['É normal que uma criança de 1 ano e 6 meses ainda não forme frases de duas palavras e fale pouco espontaneamente, apenas repetindo palavras?', 'É normal uma criança de 1 ano e 5 meses ainda não falar e só dizer palavras ou sons enrolados?', 'É normal uma criança de 1 ano e 4 meses ainda não estar andando, mesmo já tendo alcançado outros marcos do desenvolvimento?']"
33,143,33_menina_menino_será_tabela,"['menina', 'menino', 'será', 'tabela', 'bebê', 'ou', 'saber', 'chinesa', 'sexo', 'se']","['Qual é o sexo do bebê, menino ou menina?', 'Qual será o sexo do bebê, menino ou menina?', 'Qual é o sexo do bebê, menina ou menino?']"
34,110,34_katlen_ketlin_kat_ket,"['katlen', 'ketlin', 'kat', 'ket', 'grávida', 'ketlen', 'novo', 'está', 'novamente', 'passar']","['A Ketlen vai ter outro filho?', 'Ketlin vai ter outro filho?', 'Kat vai passar por tudo isso de novo, novamente em um parto?']"
35,108,35_estar_menstruação_menstruado_tendo,"['estar', 'menstruação', 'menstruado', 'tendo', 'ausência', 'grávida', 'veio', 'indicar', 'mesmo', 'menstruar']","['É possível estar grávida, tendo menstruado em 21/07, tido relação em 08/08 e 10/08, e a menstruação ainda não ter vindo até hoje?', 'Minha última menstruação veio em 10 de janeiro e não desceu em fevereiro nem em março; isso pode indicar gravidez?', 'É possível estar grávida mesmo tendo ficado sem menstruar no mês passado e tendo menstruado neste mês, com sono e barriga inchada?']"
36,132,36_dor_analgesia_parto_mulheres,"['dor', 'analgesia', 'parto', 'mulheres', 'epidural', 'dói', 'comparar', 'algumas', 'durante', 'normal']","['A analgesia no parto reduz apenas a dor das contrações na barriga ou também a dor na vagina na hora em que o bebê sai?', 'Por que algumas mulheres que fizeram parto normal são contra tomar remédio para reduzir a dor do parto?', 'Por que não há analgesia para aliviar a dor durante o parto normal?']"
37,107,37_produção_materno_leite_aumentar,"['produção', 'materno', 'leite', 'aumentar', 'posso', 'minha', 'fórmula', 'suficiente', 'voltar', 'colostro']","['Como fazer para aumentar a produção de leite materno?', 'Como posso aumentar minha produção de leite materno?', 'Como posso aumentar a produção de leite materno?']"
38,89,38_alparone_giovanna_grávida_está,"['alparone', 'giovanna', 'grávida', 'está', 'quem', 'pai', 'real', 'verdade', 'informação', 'falsa']","['A Giovanna Alparone está grávida de verdade ou é barriga falsa?', 'Se Giovanna Alparone estiver grávida, quem é o pai do bebê?', 'Se for verdade que Giovanna Alparone está grávida, quem é o pai do bebê?']"
39,111,39_bomba_tirar_leite_elétrica,"['bomba', 'tirar', 'leite', 'elétrica', 'bombinha', 'minutos', 'sucção', 'resolver', 'extrair', 'extratora']","['Como consertar a sucção da bombinha de tirar leite?', 'Como resolver uma bombinha de tirar leite que faz sucção, mas depois o motor escapa da parte de plástico e não cria vácuo suficiente para grudar?', 'Há algum problema de encaixe na válvula de silicone da sucção da bomba elétrica de tirar leite, já que ela não fica subindo e descendo e a bombinha só puxa e fica parada?']"
40,103,40_sentir_enjoos_enjoo_normal,"['sentir', 'enjoos', 'enjoo', 'normal', 'início', 'gravidez', 'dor', 'ventre', 'azia', 'cólicas']","['É normal sentir dores leves no baixo ventre e na lombar no início da gravidez, por volta de 4 semanas?', 'É normal, no primeiro trimestre da gravidez, não sentir pressão baixa, mal-estar, enjoos e fraqueza, mesmo sem conseguir comer nada?', 'É normal sentir dor no estômago, enjoo, cólica e dor no pé da barriga com 3 semanas de gravidez?']"
41,98,41_chá_gestantes_tomar_consumir,"['chá', 'gestantes', 'tomar', 'consumir', 'café', 'podem', 'consumo', 'orégano', 'canela', 'limão']","['Gestantes podem tomar chá de hortelã?', 'Gestantes podem tomar chá da casca do abacaxi?', 'Gestantes podem tomar chá de erva-doce?']"
42,88,42_tia_sara_mariana_grávida,"['tia', 'sara', 'mariana', 'grávida', 'bia', 'está', 'verdade', 'sarah', 'thally', 'sofia']","['É verdade mesmo que a tia Sara está grávida?', 'A Tia Sara está grávida de verdade?', 'Tia Sara está grávida de verdade?']"
43,152,43_negativo_atraso_menstrual_teste,"['negativo', 'atraso', 'menstrual', 'teste', 'negativos', 'testes', 'estar', 'atrasada', 'farmácia', 'mesmo']","['Com 5 dias de atraso menstrual e teste de farmácia negativo, ainda é possível estar grávida?', 'Tive nidação sete dias após a relação, mas com dois dias de atraso menstrual o teste de farmácia deu negativo; ainda posso estar grávida?', 'É possível estar grávida mesmo com teste de farmácia negativo, sentindo sintomas de gravidez e com sete dias de atraso menstrual?']"
44,102,44_placenta_remoção_mão_remover,"['placenta', 'remoção', 'mão', 'remover', 'manual', 'retirada', 'braço', 'anestesia', 'poderia', 'vagina']","['A remoção da placenta precisa ser feita manualmente, com a mão?', 'Como a mão e parte do braço entram para realizar a remoção da placenta?', 'Na remoção manual da placenta, entra apenas a mão ou também o braço?']"
45,87,45_sus_pelo_natal_pré,"['sus', 'pelo', 'natal', 'pré', 'realizado', 'analgesia', 'escolha', 'lei', 'gestante', 'escolher']","['Essa mulher tem direito ao SUS para fazer o pré-natal?', 'O acompanhamento pré-natal foi feito pelo SUS?', 'O SUS oferece acompanhamento pré-natal para a mulher grávida?']"
46,125,46_filho_outro_vocês_vão,"['filho', 'outro', 'vocês', 'vão', 'ter', 'quer', 'filhos', 'você', 'segundo', 'vai']","['Isso quer dizer que vocês vão ter relações sexuais para tentar ter outro bebê?', 'Quando vocês vão ter outro filho?', 'Vocês vão ter outro filho?']"
47,96,47_oxigênio_respirar_procedimento_luvas,"['oxigênio', 'respirar', 'procedimento', 'luvas', 'rápido', 'sonda', 'precisar', 'esse', 'uti', 'tão']","['A equipe de uma UTI neonatal sabe o que está fazendo ao cuidar do bebê?', 'Esse bebê vai precisar ficar sempre com oxigênio ou está usando sonda?', 'Ao cuidar de um bebê na UTI, é melhor lavar sempre as mãos em vez de usar luvas?']"
48,89,48_falsa_barriga_mostrada_parece,"['falsa', 'barriga', 'mostrada', 'parece', 'mentira', 'vídeo', 'dela', 'verdade', 'verdadeira', 'essa']","['Isso é verdade ou é barriga falsa?', 'A barriga mostrada no vídeo é falsa ou verdadeira?', 'A barriga mostrada no vídeo é de verdade ou parece ser falsa?']"
49,86,49_vitamina_b12_gotas_ui,"['vitamina', 'b12', 'gotas', 'ui', 'd3', 'k2', 'crianças', 'dar', 'vitaminas', 'dose']","['Qual é a dose ideal de vitamina B12 para crianças autistas?', 'Para uma criança de 3 anos e 15 kg, a dose de vitamina D de 200 UI é de 3 gotas?', 'Qual dose de vitamina D posso dar ao meu filho de 3 anos, que pesa 18 kg?']"
50,84,50_peso_kg_mensagem_pesar,"['peso', 'kg', 'mensagem', 'pesar', 'levar', 'quilos', 'nasceu', 'pesagem', 'medir', 'vacinar']","['Devo me preocupar se não recebi a mensagem para levar as crianças para vacinar, pesar e medir?', 'Como o livro de marcação pode já ter acabado se a mensagem para levar as crianças para vacinar, pesar e medir chegou este mês?', 'Por que a mensagem para levar as crianças para vacinar, pesar e medir apareceu novamente se eu já fiz a pesagem no posto e meu benefício está liberado?']"
51,100,51_tudo_certo_parto_deu,"['tudo', 'certo', 'parto', 'deu', 'bem', 'ocorreu', 'acompanhante', 'foi', 'ela', 'conseguiu']","['O parto deu tudo certo?', 'Deu tudo certo com a evolução do trabalho de parto?', 'O parto da gestante deu tudo certo?']"
52,86,52_eclâmpsia_pressão_pré_arterial,"['eclâmpsia', 'pressão', 'pré', 'arterial', 'alta', 'risco', 'parceiro', 'afetar', 'baixa', 'hellp']","['Se a pressão arterial fica em torno de 10 ou 11 e não aumentou até agora, isso caracteriza pré-eclâmpsia?', 'É possível haver risco de pré-eclâmpsia com 33 semanas de gravidez, pressão arterial normal e exame de urina de 24 horas com 348 mg/h?', 'Faz sentido induzir o parto por pressão alta e alteração nos exames de pré-eclâmpsia se os comprimidos alteram a pressão arterial?']"
53,87,53_plano_saúde_carência_convênio,"['plano', 'saúde', 'carência', 'convênio', 'reembolso', 'cobre', 'cobertura', 'parto', 'contratar', 'custos']","['Qual é o plano de saúde que cobriu o parto na maternidade São Luiz Star?', 'Por que uma empresa que visa lucro venderia um plano de saúde sem carência para parto?', 'Ao contratar um plano de saúde que cobre apenas pronto-socorro, há desconto no valor do parto particular?']"
54,100,54_família_bolsa_recebe_vacinar,"['família', 'bolsa', 'recebe', 'vacinar', 'benefício', 'pesar', 'posto', 'medir', 'perde', 'quem']","['Se uma mulher grávida que recebe Bolsa Família contribuir para o INSS, isso pode prejudicar o benefício do Bolsa Família?', 'Quem recebe Bolsa Família tem direito ao auxílio-maternidade?', 'Se uma mulher que recebe Bolsa Família contribuir para o INSS, isso pode prejudicar o benefício do Bolsa Família?']"
55,109,55_pai_homem_quem_onde,"['pai', 'homem', 'quem', 'onde', 'filho', 'criança', 'dos', 'será', 'bebês', 'do']","['O pai do bebê é o ex?', 'Quem será o pai do bebê?', 'Quem vai ser o pai do bebê?']"
56,83,56_mala_levar_roupa_roupas,"['mala', 'levar', 'roupa', 'roupas', 'tamanho', 'maternidade', 'hospital', 'rn', 'itens', 'coisas']","['Por que levar tanta roupa para o hospital na hora do parto?', 'A roupa e os itens da mala maternidade são todos tamanho RN?', 'Em uma segunda gestação, devo levar mais itens na mala maternidade por precaução, mesmo que o hospital tenha pedido apenas poucas coisas para o bebê e para a mãe?']"
57,69,57_emily_vick_emilly_grávida,"['emily', 'vick', 'emilly', 'grávida', 'está', 'verdade', 'sarah', 'realmente', 'brincadeira', 'verdadeira']","['Sara está realmente grávida?', 'Como a Emily vai ficar grávida depois de ter feito cirurgia para ficar magra?', 'Tia Sarah está realmente grávida?']"
58,73,58_cálcio_magnésio_suplementação_tomar,"['cálcio', 'magnésio', 'suplementação', 'tomar', 'deve', 'tomado', 'tipo', 'eclâmpsia', 'gestação', 'pré']","['Existe diferença entre cálcio e carbonato de cálcio na suplementação durante a gestação?', 'O cálcio para a prevenção da pré-eclâmpsia deve ser tomado puro ou com vitamina D?', 'Uma gestante com 36 semanas, sem sinais de pré-eclâmpsia, deve parar de tomar a suplementação de cálcio prescrita em duas cápsulas de 500 mg por dia?']"
59,90,59_teste_positivo_deu_resultado,"['teste', 'positivo', 'deu', 'resultado', 'falso', 'negativo', 'testes', 'digital', 'gravidez', 'exame']","['Será que o teste de gravidez deu positivo?', 'O teste de gravidez deu positivo ou negativo?', 'O resultado do teste de gravidez deu positivo?']"
60,65,60_barriga_kg_dura_crescer,"['barriga', 'kg', 'dura', 'crescer', 'endurecer', 'normal', 'gestante', 'cresceu', 'engordar', 'mole']","['É normal a barriga de uma gestante parecer menor em um vídeo do que em outro?', 'É normal a barriga de uma gestante não crescer?', 'É normal que a barriga de uma gestante com 13 semanas de gravidez permaneça mole e sem endurecer?']"
61,62,61_laqueadura_tubária_feito_há,"['laqueadura', 'tubária', 'feito', 'há', 'tendo', 'fazer', 'mesmo', 'anos', 'feita', 'fez']","['É possível engravidar por fertilização in vitro mesmo tendo feito laqueadura há 15 anos?', 'É possível estar grávida mesmo tendo feito laqueadura?', 'É possível estar grávida mesmo tendo feito laqueadura há 4 anos?']"
62,80,62_sangramento_marrom_borra_início,"['sangramento', 'marrom', 'borra', 'início', 'café', 'semanas', 'coágulos', 'gravidez', 'cólicas', 'coágulo']","['É normal ter borra de café, leve sangramento, cólicas e pequenos coágulos no início da gestação?', 'Uma mulher com 4 semanas de gravidez e sangramento parecido com borra de café corre risco de perder o bebê?', 'Na gravidez de 6 semanas, é normal ter sangramento marrom com coágulo e estar tudo bem?']"
63,91,63_dilatação_cm_colo_trabalho,"['dilatação', 'cm', 'colo', 'trabalho', 'centímetros', 'útero', 'parto', '10', 'dilatar', 'chega']","['Com 10 cm de dilatação, como o corpo do bebê passa no parto depois da cabeça?', 'Por que o bebê não desceu mesmo com 10 cm de dilatação, contrações ritmadas e bolsa rompida?', 'Por que, ao chegar à maternidade com 10 cm de dilatação, o parto não foi normal?']"
64,96,64_filhos_condições_mundo_filho,"['filhos', 'condições', 'mundo', 'filho', 'criar', 'ter', 'têm', 'cuidar', 'mulheres', 'sofrer']","['Por que ter filhos?', 'O que aconteceria se uma mãe não quisesse ter filhos?', 'Por que alguém que não tem condições de ter filhos os coloca no mundo?']"
65,63,65_barriga_falsa_mostrada_mentira,"['barriga', 'falsa', 'mostrada', 'mentira', 'tamanho', 'grande', 'real', 'essa', 'verdadeira', 'desse']","['Essa barriga de grávida é falsa ou verdadeira?', 'A moça está grávida ou a barriga é falsa?', 'A gravidez mostrada é mentira e a barriga é falsa?']"
66,89,66_prematuro_nasceu_quantas_semanas,"['prematuro', 'nasceu', 'quantas', 'semanas', 'nasce', 'ocorreu', 'complicações', 'gestação', 'sete', 'meses']","['Com quantas semanas de gestação o bebê nasceu?', 'Com quantas semanas de gestação ela estava quando ocorreu o parto prematuro?', 'Com quantas semanas de gestação ocorreu o parto prematuro?']"
67,75,67_aborto_retido_espontâneo_curetagem,"['aborto', 'retido', 'espontâneo', 'curetagem', 'boldo', 'expelir', 'perda', 'abortamento', 'tomou', 'abortar']","['O que aconteceu para eu ter sofrido um aborto espontâneo com oito semanas e três dias de gestação?', 'Depois de um aborto espontâneo com curetagem, posso engravidar novamente daqui a 3 meses?', 'É possível engravidar novamente um ciclo após um aborto espontâneo?']"
68,79,68_sentir_urinar_dor_muita,"['sentir', 'urinar', 'dor', 'muita', 'normal', 'costas', 'andar', 'pé', 'vontade', 'semanas']","['É normal, com 31 semanas de gravidez, sentir muita dor nas costas, dor na virilha, contrações todos os dias e urinar muitas vezes?', 'É normal, com 37 semanas de gravidez, sentir muitas dores na coluna, no pé da barriga e pressão, a ponto de travar e dificultar andar, virar na cama, deitar ou se levantar?', 'É normal sentir muita dor no pé da barriga, peso nos quadris, cólicas e vontade de urinar toda hora com 28 semanas e 3 dias de gravidez?']"
