topic_id,disagreement_type,topic_size,top_words,suggestion_1,suggestion_2,suggestion_3,central_example_1,central_example_2,central_example_3,central_example_4,central_example_5,boundary_example_1,boundary_example_2,boundary_example_3,boundary_example_4,boundary_example_5,victoria_relevance,victoria_name_option,victoria_selected_name,victoria_notes,gabriel_relevance,gabriel_name_option,gabriel_selected_name,gabriel_notes,relevance,selected_name_option,manual_name,notes,annotator_id,annotated_at
67,name,75,"['aborto', 'retido', 'espontâneo', 'curetagem', 'boldo', 'expelir', 'perda', 'abortamento', 'tomou', 'abortar']",Aborto retido e abortamento espontâneo,Abortamento retido e perdas espontâneas,Aborto retido e perda gestacional espontânea,Você fez exames para saber a causa do aborto?,É possível abortar antes de 7 semanas de gestação?,Você fez curetagem após o aborto?,"Com 4 semanas de gestação, será necessário fazer um procedimento ou apenas tomar medicamentos para o aborto?",Até quanto tempo é possível abortar?,Os cuidados com medicamentos são suficientes para um bebê diagnosticado com G6PD?,"Por que Deus permitiu a perda de um bebê na gestação, se a pessoa acredita em Deus?",Existe alguma relação entre quase ter sofrido um aborto na gravidez e a criança nascer com autismo?,O TSH acima de 14 no primeiro aborto espontâneo e quase 5 no segundo pode ter relação com os abortos espontâneos da filha?,"No caso de Streptococcus positivo na gravidez, você tomou antibiótico antes do parto ou somente durante o parto?",relevante,3,Aborto retido e perda gestacional espontânea,,relevante,1,Aborto retido e abortamento espontâneo,,,,,,,
76,name,69,"['fralda', 'trocar', 'xixi', 'fraldas', 'cocô', 'descartável', 'usa', 'pacote', 'algodão', 'roupinhas']",troca de fralda e uso de descartável,uso de fralda descartável e troca,trocar fralda descartável e roupa do bebê,Não é preciso trocar a fralda ou colocar roupa na filha?,É realmente necessário deixar de trocar a fralda do bebê por 12 horas?,Há algum problema em deixar a fralda do bebê por horas se ele não estiver incomodado e a fralda for de boa qualidade?,Qual tamanho de fralda a bebê usa?,"É normal deixar uma fralda no bebê por 12 horas, mesmo cheia de xixi?","Após uma cerclagem feita com 12 semanas de gravidez, é possível continuar trabalhando 12 horas em um serviço administrativo, às segundas, quartas e sextas-feiras?",Seu filho com pé torto congênito já teve recidiva ou precisou trocar a órtese?,Há algum problema em permanecer com o ponto da cesárea?,"Como funciona para o bebê não entrar em contato com sangue, xixi ou cocô no parto, seja na cesariana ou no parto normal?",É deselegante pedir PIX no convite do chá de fraldas caso a pessoa não tenha tempo de comprar o presente?,relevante,3,trocar fralda descartável e roupa do bebê,,relevante,1,troca de fralda e uso de descartável,,,,,,,
80,name,71,"['fórmula', 'leite', 'alergia', 'ml', 'nan', 'infantil', 'integral', 'vaca', 'quantidade', 'intestino']",Fórmula infantil e leite para bebês,Uso de fórmula infantil e leite materno,Oferecer fórmula infantil e leite ao bebê,O leite em fórmula é o ideal para o bebê até 1 ano de idade?,"Se o bebê não quer mamadeira, como dar fórmula?","Depois de 1 ano de idade, pode dar leite comum integral ao bebê?",Leite de vaca industrializado pode ser dado ao bebê?,Um bebê de 2 meses pode estar tomando leite de vaca?,É possível fazer transplante de intestino em uma criança?,Qual foi o motivo da perda gestacional e houve algum motivo específico?,A água para preparar a fórmula deve ser quente ou em temperatura ambiente?,"É possível fazer um bolo de aniversário sem açúcar para bebê com alergia a ovo, leite e amendoim?","Para preparar 180 ml de fórmula Nan EspessAR para o bebê, devo usar 90 ml de água a 70 °C, adicionar 6 medidas da fórmula, agitar bem e depois completar com água mineral até a marca de 180 ml?",relevante,1,Fórmula infantil e leite para bebês,,relevante,2,Uso de fórmula infantil e leite materno,,,,,,,
81,name,72,"['rosado', 'sangramento', 'marrom', 'pequeno', 'corrimento', 'sinal', 'atraso', 'menstrual', 'dias', 'indicar']",Sangramento rosado na suspeita de gravidez,Sangramento marrom rosado com atraso menstrual,Sangramento leve rosado e atraso menstrual,"Um sangramento rosado e leve, que durou 3 dias e depois ficou mais amarronzado, pode ser sinal de gravidez?","Menstruação atrasada há 15 dias, com borra marrom e sangue rosa por dois dias, pode indicar gravidez?","Um sangramento marrom, em pouca quantidade, ocorrido 10 dias antes da menstruação e uma semana após a relação pode estar relacionado à gravidez?","Com um mês de atraso menstrual, sangramento rosado e dor na barriga, pode ser gravidez?",Um sangramento rosinha bem claro que apareceu ontem e depois não veio mais nada pode ser sinal de gravidez?,"Quando a bolsa estoura, o líquido pode sair em pouca quantidade, várias vezes?","O atraso menstrual de 21 dias pode estar relacionado à endometriose, ao endometrioma ou ao mioma?","Há risco de gravidez após a relação, mesmo com o parceiro tendo feito vasectomia há anos, considerando que houve um pequeno sangramento dois dias depois e um pouco mais no quarto dia?",Esse corrimento rosado com ardência pode ter relação com a idade?,É normal ter corrimento rosa com alguns grumos brancos?,relevante,2,Sangramento marrom rosado com atraso menstrual,,relevante,1,Sangramento rosado na suspeita de gravidez,,,,,,,
96,name,66,"['estrias', 'óleo', 'melasma', 'cicatricure', 'prímula', 'solar', 'creme', 'gel', 'protetor', 'durante']",Cuidados com produtos na gravidez,Uso de cremes e protetor solar na gestação,Segurança de cosméticos e tratamentos na gravidez,Quais cuidados uma gestante deve ter e quais produtos ela não pode usar?,Quais produtinhos para a pele e o corpo podem ser usados na gestação?,Qual é um bom protetor solar para usar na gravidez?,Você usou protetor solar durante a gravidez?,O uso de creme e óleo durante o dia mancha muito as roupas na gravidez?,A metformina pode ser usada para tratar um cisto policístico no ovário direito?,Qual é o óleo de rícino e onde ele pode ser comprado?,Esse creme é sem enxágue?,Qual é a dosagem do óleo de prímula indicada?,Quais cuidados uma pessoa com hipotireoidismo deve ter ao engravidar?,relevante,2,Uso de cremes e protetor solar na gestação,,relevante,1,Cuidados com produtos na gravidez,,,,,,,
97,name,61,"['exercícios', 'exercício', 'começar', 'fazer', 'correr', 'esses', 'partir', 'posso', 'treino', 'terceiro']",Início de exercícios na gestação,Começar exercícios durante a gravidez,Fazer exercícios na gravidez sem risco,A partir de quantas semanas de gestação já pode começar a fazer esses exercícios?,Gestantes com 30 semanas de gravidez já podem começar a fazer esses exercícios?,Começar a praticar exercícios na gravidez representa risco para o bebê?,"Gestantes de 4 meses, com gravidez saudável até o momento, já podem fazer exercícios?",Qual é o melhor horário para fazer esses exercícios durante a gestação?,"Em um ciclo de 25 dias, quando devo começar a fazer os testes de ovulação?",Uma criança estuprada deve engravidar e correr o risco de morrer?,O que posso começar a fazer para que meu bebê tenha uma mamada mais tranquila na mamadeira?,Posso fazer esse exercício?,"O que fazer para aquecer o bebê quando estiver muito frio, sem correr os riscos de cobri-lo com cobertor?",relevante,3,Fazer exercícios na gravidez sem risco,,relevante,1,Início de exercícios na gestação,,,,,,,
99,name,71,"['descobrir', 'remédios', 'prejudicar', 'tomar', 'formação', 'paracetamol', 'uso', 'dipirona', 'má', 'antes']",Riscos de remédios na gestação,Impacto de medicamentos na gravidez,Efeitos de remédios no feto,Tomei vários remédios prescritos por médicos antes de descobrir que estava grávida de 6 semanas; isso pode ter prejudicado meu bebê?,É perigoso ter tomado dipirona antes de saber que estava grávida?,"Tomar antibiótico na terceira semana de gravidez, antes de saber que estava grávida, pode causar má formação no bebê?",O remédio que foi tomado antes de descobrir a gravidez pode ter causado algum problema ao bebê ou aumentado o risco de algo pior?,O bebê pode ter algum problema por eu ter tomado remédios para ansiedade e depressão antes de descobrir que estava grávida?,Por que a minha filha continua com esse problema e ele vai e volta mesmo depois de tomar vários remédios?,"O que fazer para evitar que ele mame à noite e me cause dor, mesmo depois de eu ter tomado medicação para secar o leite?",A suspeita de gravidez molar é compatível com a presença de restos ovulares?,O uso de Utrogestan na gestação pode causar má-formação na genitália masculina do feto?,A gestante pode tomar Zina ODT (dicloridrato de levocetirizina) para rinite durante a gravidez?,relevante,2,Impacto de medicamentos na gravidez,,relevante,1,Riscos de remédios na gestação,,,,,,,
104,name,63,"['bombinha', 'elétrica', 'bomba', 'carregada', 'sucção', 'liga', 'borracha', 'engolir', 'errada', 'uso']",Uso da bombinha elétrica para lactação,Funcionamento da bombinha elétrica de leite,Dúvidas sobre bombinha elétrica na amamentação,Quanto tempo devo deixar a bombinha elétrica carregando?,O uso da bombinha elétrica dói?,A bombinha elétrica pode ser usada enquanto está carregando?,A bombinha elétrica funciona bem para quem tem bico pequeno ou ela é muito grande para esse caso?,"Se eu tiver apenas uma bombinha, ainda posso fazer esse procedimento?",Por que um furo de agulha faz com que muito líquido se perca lentamente?,"No pós-parto de cesárea, essa massagem pode ser feita quantas vezes ao dia?",Um bebê de 3 meses que faz barulho na barriga ao mamar e vomita muito depois da mamada pode estar sendo alimentado de forma errada ou a fórmula pode não estar fazendo bem?,"Se eu comer tâmaras, isso pode ajudar no parto mesmo sem nenhuma dilatação?",Esse procedimento pode ajudar a fortalecer o movimento de sucção do bebê para mamar no peito?,relevante,1,Uso da bombinha elétrica para lactação,,relevante,3,Dúvidas sobre bombinha elétrica na amamentação,,,,,,,
105,name,65,"['remédio', 'engravidar', 'existe', 'impedir', 'tentando', 'rápido', 'espermatozoides', 'contínuo', 'dicas', 'deseja']",Remédios e estratégias para engravidar,Opções e tratamentos para engravidar,Dicas para aumentar chances de gravidez,O que posso fazer para engravidar sem precisar passar por tratamentos?,O que posso fazer após quase um ano tentando engravidar sem conseguir?,O remédio para engravidar rápido deu certo?,O que posso fazer para conseguir engravidar depois de tentar por quase dois anos sem sucesso?,Existe remédio para engravidar quando a mulher não consegue engravidar?,Quais dicas de higiene natural e quais posições confortáveis podem ajudar uma bebê de 54 dias com cólica e disquesia?,Existe diferença entre remédio convencional e bioidêntico?,Devo impedir que o bebê chupe o dedo?,Qual é o nome do remédio mencionado para o bebê?,"Depois de oito meses sem tomar um remédio de uso contínuo, ele ainda pode estar fazendo efeito?",relevante,1,Remédios e estratégias para engravidar,,relevante,3,Dicas para aumentar chances de gravidez,,,,,,,
109,name,63,"['exercícios', 'preparar', 'preparação', 'feitos', 'esses', 'exercício', 'devem', 'indicados', 'parto', 'para']",Exercícios para preparação do parto,Exercícios para se preparar para o parto,Exercícios na preparação para o parto,Esses exercícios para se preparar para o parto normal dão certo quando são feitos nessa fase da gestação?,Os exercícios para se preparar para o parto normal podem ser feitos no início da gestação ou apenas no final?,Gestantes com 5 meses de gravidez podem fazer esses exercícios para se preparar para o parto normal?,Gestantes com 20 semanas podem fazer esses exercícios de preparação para o parto normal?,Com quantos meses de gravidez devo começar os exercícios para o parto normal?,É possível preparar o Aptamil AR com água quente?,"Para um bebê de 9 meses, os 4 puffs indicados de 6 em 6 horas devem ser engolidos?","Para preparar 130 ml, quantas colheres de fórmula devo usar?",Esse exercício ajuda na lubrificação?,"Como saber quais exames devem ser feitos quando o médico não informa nada, no caso de um bebê com percentil 5?",relevante,1,Exercícios para preparação do parto,,relevante,2,Exercícios para se preparar para o parto,,,,,,,
111,name,55,"['diabetes', 'gestacional', 'glicemia', 'jejum', 'relacionado', 'glicose', 'controlada', 'controlar', 'insulina', 'gestante']",Diabetes gestacional e controle,Controle da diabetes gestacional,Glicemia na diabetes gestacional,"Com diabetes gestacional controlada, é possível ter parto normal?",O que fazer após descobrir diabetes gestacional com 37 semanas de gravidez?,Como é a gestação em mulheres com diabetes?,"Em casos de diabetes e pressão alta na gravidez, é obrigatório adiantar o parto?","Há outras gestantes com diabetes mellitus tipo 2, com 6 semanas de gravidez, aguardando retorno médico para começar a insulina?",É normal ter dificuldade para introduzir o aplicador do promestrieno quando se tem atrofia vaginal?,Esse tipo de dificuldade para mamar pode estar relacionado a algum problema gastroesofágico ou ao freio lingual?,Que tipo de tinta é usada na arte gestacional?,O hipotireoidismo pode estar relacionado ao atraso menstrual?,A melancia tem índice glicêmico alto?,relevante,1,Diabetes gestacional e controle,,relevante,2,Controle da diabetes gestacional,,,,,,,
120,name,50,"['linha', 'teste', 'fraca', 'farmácia', 'linhas', 'positivo', 'resultado', 'indica', 'traços', 'duas']",Resultado de teste de gravidez,Interpretação do teste de gravidez,Significado do resultado do teste,"Um teste de gravidez de farmácia com duas linhas rosas, sendo a segunda bem fraca e distante da primeira, indica um resultado positivo?","Um teste de gravidez feito antes do atraso menstrual, com uma linha forte e outra fraca, pode indicar gravidez?",Um teste de gravidez de farmácia com uma linha forte e outra muito fraca indica que estou grávida?,"Um teste de gravidez que ficou positivo, bem clarinho, aparecendo depois de 5 minutos, indica gravidez?",Um teste de gravidez com uma linha forte e outra bem fraquinha indica positivo?,Você já tem a camiseta rosa dos ursinhos que mostrou antes para usar com essa calça?,Por que o leite natural da vaca é considerado muito forte para o bebê?,Por que o êmbolo foi pressionado rapidamente?,"Você indica o biscoito ""Meu Primeiro Lanchinho"" da Mucilon para bebê?","O que pode significar um teste de farmácia em que aparecem dois traços, mas o segundo traço depois desaparece?",relevante,1,Resultado de teste de gravidez,,relevante,2,Interpretação do teste de gravidez,,,,,,,
125,name,47,"['urina', 'xixi', 'colocado', 'teste', 'caseiro', 'testes', 'cotonete', 'feito', 'feitos', 'comida']",Testes de gravidez caseiros com urina,Como fazer teste de gravidez com urina,Teste de gravidez com urina e cotonete,O teste de gravidez é feito com urina?,O teste de gravidez não é feito com urina?,O teste de gravidez precisa ser feito com xixi?,O teste de gravidez é feito no xixi?,O teste de gravidez é feito com urina de verdade?,O que acontece se um embrião for colocado no útero de outro animal?,"Por que, biologicamente, o ser humano é feito para fazer isso?",O que a bebê fez foi por impulso ou porque ela sabia que estava na hora da comida?,Esse bebê vai ser colocado para adoção?,O bebê ainda não foi colocado no berço?,relevante,1,Testes de gravidez caseiros com urina,,relevante,2,Como fazer teste de gravidez com urina,,,,,,,
126,name,67,"['contrações', 'dilatação', 'doem', 'dor', 'parto', 'as', 'contração', 'cm', 'partos', 'sentir']",Dor do trabalho de parto,Dor nas contrações e dilatação,Intensidade da dor no parto,As contrações do parto realmente não doem?,As contrações do parto não doem?,As contrações de parto realmente doem?,Contrações de parto podem não doer?,As contrações de parto doem?,A pílula de levonorgestrel pode ter causado essa alteração no sangramento e na menstruação?,O que são contrações miojo?,"Por que Deus, segundo a teologia, teria criado um mecanismo de parto que gera tanto sofrimento e que matou tantas mães e bebês?",Como um hospital em Porto Alegre pode ter 97% de partos por cesárea?,Os partos na época das pedras eram realmente assim?,relevante,2,Dor nas contrações e dilatação,,relevante,1,Dor do trabalho de parto,,,,,,,
127,name,64,"['sonhar', 'significa', 'luz', 'dando', 'sonho', 'significar', 'fazia', 'mulher', 'que', 'mexendo']",Sonhos com gravidez e parto,Interpretação de sonhos com gestação,Significado de sonhos de gravidez,O que significa sonhar que está fazendo o parto de outra pessoa?,O que significa sonhar que estava perdendo o bebê?,O que significa sonhar que fez uma cesariana?,O que significa sonhar que eu estava tendo um bebê e fazia o parto sozinha?,O que significa sonhar que estou grávida e que vou dar à luz sem sentir dor?,Como a luz do ambiente externo consegue atravessar as sete camadas de pele até o bebê durante a gravidez?,"Mesmo o teste do pezinho da minha bebê não tendo mencionado G6PD, ela pode ter herdado essa deficiência?","Se a mulher estiver grávida, o Vitacid afeta apenas o bebê?",O que significa um bebê de 2 meses ter traço falciforme?,Isso pode significar que o bebê de 1 mês não está satisfeito com o leite materno?,relevante,1,Sonhos com gravidez e parto,,relevante,3,Significado de sonhos de gravidez,,,,,,,
138,name,42,"['sangramento', 'vermelho', 'vivo', 'apareceu', 'relação', 'errado', 'sangue', 'machucado', 'algo', 'significar']",Sangramento na gravidez e após relação,Sangramento na gestação e após relação sexual,Sangramento vaginal na gravidez e após relação,Sangramento há 12 dias é motivo de preocupação?,Um sangramento vermelho vivo que aconteceu sete dias após a relação pode indicar que há algo de errado?,"Se ela não menstruou mais depois desse sangramento, isso pode significar outra coisa?",Esse sangramento ocorreu no período em que a menstruação era para descer ou apareceu antes?,Isso é menstruação ou outro tipo de sangramento?,"Como são os pensamentos de uma pessoa com TOC na gravidez, se ela pensa que fez algo de errado ou que falou algo errado, muitas vezes relacionado à gravidez?",A incompatibilidade de tipo sanguíneo e fator Rh pode ocorrer entre pais sem parentesco?,O sangue era vermelho vivo?,A ausência dessas cólicas significa que pode haver algo errado com a gestação?,"Sete dias após uma relação desprotegida e o uso do Dia D, cólicas e uma secreção rosada por dois dias podem indicar gravidez?",relevante,2,Sangramento na gestação e após relação sexual,,relevante,1,Sangramento na gravidez e após relação,,,,,,,
140,name,52,"['domperidona', 'produção', 'aumentar', 'materno', 'leite', 'efeitos', 'colaterais', 'começou', 'riscos', 'quais']",Domperidona para aumentar leite materno,Uso de domperidona para produção de leite,Efeitos e riscos da domperidona no leite,A domperidona funciona mesmo para aumentar a produção de leite materno?,A domperidona realmente funciona para aumentar a produção de leite materno?,O uso de domperidona para aumentar a produção de leite materno causou efeitos colaterais?,Uma gestante de 8 meses que ainda não está produzindo leite pode tomar domperidona para aumentar a produção de leite?,Você chegou a começar a tomar domperidona para aumentar a produção de leite materno?,O Kaleb já começou a mastigar?,Qual a porcentagem de iodo que foi tomada?,Há algum risco em colocar dois embriões em uma fertilização in vitro?,Quais são os riscos e cuidados necessários para engravidar depois dos 30 anos tendo tireoidite de Hashimoto?,A prescrição de Qlaira e Prolut Nor para adenomiose significa que já comecei a terapia hormonal?,relevante,2,Uso de domperidona para produção de leite,,relevante,1,Domperidona para aumentar leite materno,,,,,,,
